Date,iShares Russell Mid-Cap Value_Open_average,iShares Russell Mid-Cap Value_Open_max,iShares Russell Mid-Cap Value_Open_min,iShares Russell Mid-Cap Value_Open_volatility,iShares Russell Mid-Cap Value_Open_change,iShares Russell Mid-Cap Value_High_average,iShares Russell Mid-Cap Value_High_max,iShares Russell Mid-Cap Value_High_min,iShares Russell Mid-Cap Value_High_volatility,iShares Russell Mid-Cap Value_High_change,iShares Russell Mid-Cap Value_Low_average,iShares Russell Mid-Cap Value_Low_max,iShares Russell Mid-Cap Value_Low_min,iShares Russell Mid-Cap Value_Low_volatility,iShares Russell Mid-Cap Value_Low_change,iShares Russell Mid-Cap Value_Close_average,iShares Russell Mid-Cap Value_Close_max,iShares Russell Mid-Cap Value_Close_min,iShares Russell Mid-Cap Value_Close_volatility,iShares Russell Mid-Cap Value_Close_change
2018-01-14,91.53,91.53,91.53,0.0,0.0,92.2,92.2,92.2,0.0,0.0,91.5,91.5,91.5,0.0,0.0,92.2,92.2,92.2,0.0,0.0
2018-01-21,92.65,92.65,92.65,0.0,0.0,92.71,92.71,92.71,0.0,0.0,91.99,91.99,91.99,0.0,0.0,92.04,92.04,92.04,0.0,0.0
2018-01-28,88.38,88.38,88.38,0.0,0.0,89.13,89.13,89.13,0.0,0.0,85.94,85.94,85.94,0.0,0.0,85.94,85.94,85.94,0.0,0.0
2018-02-04,85.36,85.36,85.36,0.0,0.0,86.34,86.34,86.34,0.0,0.0,84.66,84.66,84.66,0.0,0.0,85.82,85.82,85.82,0.0,0.0
2018-02-11,88.02,88.02,88.02,0.0,0.0,88.96,88.96,88.96,0.0,0.0,87.99,87.99,87.99,0.0,0.0,88.41,88.41,88.41,0.0,0.0
2018-02-18,88.71,88.71,88.71,0.0,0.0,88.88,88.88,88.88,0.0,0.0,88.05,88.05,88.05,0.0,0.0,88.8,88.8,88.8,0.0,0.0
2018-02-25,86.24,86.24,86.24,0.0,0.0,87.91,87.91,87.91,0.0,0.0,86.02,86.02,86.02,0.0,0.0,87.72,87.72,87.72,0.0,0.0
2018-03-04,89.59,89.59,89.59,0.0,0.0,89.78,89.78,89.78,0.0,0.0,89.32,89.32,89.32,0.0,0.0,89.48,89.48,89.48,0.0,0.0
2018-03-11,88.68,88.68,88.68,0.0,0.0,88.74,88.74,88.74,0.0,0.0,87.53,87.53,87.53,0.0,0.0,88.09,88.09,88.09,0.0,0.0
2018-03-18,85.51,85.51,85.51,0.0,0.0,86.17,86.17,86.17,0.0,0.0,84.68,84.68,84.68,0.0,0.0,86.09,86.09,86.09,0.0,0.0
