Date,First Trust Managed Municipal_Open_average,First Trust Managed Municipal_Open_max,First Trust Managed Municipal_Open_min,First Trust Managed Municipal_Open_volatility,First Trust Managed Municipal_Open_change,First Trust Managed Municipal_High_average,First Trust Managed Municipal_High_max,First Trust Managed Municipal_High_min,First Trust Managed Municipal_High_volatility,First Trust Managed Municipal_High_change,First Trust Managed Municipal_Low_average,First Trust Managed Municipal_Low_max,First Trust Managed Municipal_Low_min,First Trust Managed Municipal_Low_volatility,First Trust Managed Municipal_Low_change,First Trust Managed Municipal_Close_average,First Trust Managed Municipal_Close_max,First Trust Managed Municipal_Close_min,First Trust Managed Municipal_Close_volatility,First Trust Managed Municipal_Close_change
2018-01-14,53.36,53.36,53.36,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2018-01-21,53.02,53.02,53.02,0.0,0.0,53.02,53.02,53.02,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2018-01-28,52.62,52.62,52.62,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2018-02-04,52.69,52.69,52.69,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2018-02-11,52.52,52.52,52.52,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-02-18,52.61,52.61,52.61,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-02-25,52.62,52.62,52.62,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-03-04,52.44,52.44,52.44,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2018-03-11,52.44,52.44,52.44,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2018-03-18,52.51,52.51,52.51,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-03-25,52.45,52.45,52.45,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-04-01,52.66,52.66,52.66,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-04-08,52.72,52.72,52.72,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2018-04-15,52.53,52.53,52.53,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.43,52.43,52.43,0.0,0.0
2018-04-22,52.34,52.34,52.34,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2018-04-29,52.67,52.67,52.67,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-05-06,52.68,52.68,52.68,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.69,52.69,52.69,0.0,0.0
2018-05-13,52.47,52.47,52.47,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-05-20,52.55,52.55,52.55,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.6,52.6,52.6,0.0,0.0
