Date,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Open_average,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Open_max,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Open_min,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Open_volatility,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Open_change,VelocityShares VIX Short Term linked to SP 500 VIXEtf_High_average,VelocityShares VIX Short Term linked to SP 500 VIXEtf_High_max,VelocityShares VIX Short Term linked to SP 500 VIXEtf_High_min,VelocityShares VIX Short Term linked to SP 500 VIXEtf_High_volatility,VelocityShares VIX Short Term linked to SP 500 VIXEtf_High_change,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Low_average,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Low_max,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Low_min,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Low_volatility,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Low_change,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Close_average,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Close_max,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Close_min,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Close_volatility,VelocityShares VIX Short Term linked to SP 500 VIXEtf_Close_change
2018-01-14,56.75,56.75,56.75,0.0,0.0,57.75,57.75,57.75,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2018-01-21,58.2,58.2,58.2,0.0,0.0,59.1,59.1,59.1,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-01-28,63.35,63.35,63.35,0.0,0.0,70.75,70.75,70.75,0.0,0.0,63.35,63.35,63.35,0.0,0.0,69.45,69.45,69.45,0.0,0.0
2018-02-04,107.0,107.0,107.0,0.0,0.0,119.25,119.25,119.25,0.0,0.0,102.85,102.85,102.85,0.0,0.0,105.7,105.7,105.7,0.0,0.0
2018-02-11,90.05,90.05,90.05,0.0,0.0,90.45,90.45,90.45,0.0,0.0,85.35,85.35,85.35,0.0,0.0,88.85,88.85,88.85,0.0,0.0
2018-02-18,90.3,90.3,90.3,0.0,0.0,90.6,90.6,90.6,0.0,0.0,85.36,85.36,85.36,0.0,0.0,85.4,85.4,85.4,0.0,0.0
2018-02-25,104.95,104.95,104.95,0.0,0.0,106.7,106.7,106.7,0.0,0.0,95.17,95.17,95.17,0.0,0.0,95.85,95.85,95.85,0.0,0.0
2018-03-04,86.35,86.35,86.35,0.0,0.0,86.35,86.35,86.35,0.0,0.0,80.8,80.8,80.8,0.0,0.0,80.8,80.8,80.8,0.0,0.0
2018-03-11,84.45,84.45,84.45,0.0,0.0,84.55,84.55,84.55,0.0,0.0,81.7,81.7,81.7,0.0,0.0,83.6,83.6,83.6,0.0,0.0
2018-03-18,98.3,98.3,98.3,0.0,0.0,105.9,105.9,105.9,0.0,0.0,95.85,95.85,95.85,0.0,0.0,105.8,105.8,105.8,0.0,0.0
2018-03-25,104.95,104.95,104.95,0.0,0.0,105.65,105.65,105.65,0.0,0.0,99.5,99.5,99.5,0.0,0.0,100.0,100.0,100.0,0.0,0.0
2018-04-01,102.2,102.2,102.2,0.0,0.0,109.4,109.4,109.4,0.0,0.0,99.95,99.95,99.95,0.0,0.0,105.25,105.25,105.25,0.0,0.0
2018-04-08,96.95,96.95,96.95,0.0,0.0,98.2,98.2,98.2,0.0,0.0,95.0,95.0,95.0,0.0,0.0,95.7,95.7,95.7,0.0,0.0
2018-04-15,86.65,86.65,86.65,0.0,0.0,90.55,90.55,90.55,0.0,0.0,86.0,86.0,86.0,0.0,0.0,89.6,89.6,89.6,0.0,0.0
2018-04-22,88.35,88.35,88.35,0.0,0.0,90.4,90.4,90.4,0.0,0.0,87.2,87.2,87.2,0.0,0.0,87.55,87.55,87.55,0.0,0.0
2018-04-29,88.85,88.85,88.85,0.0,0.0,89.45,89.45,89.45,0.0,0.0,84.45,84.45,84.45,0.0,0.0,84.9,84.9,84.9,0.0,0.0
2018-05-06,77.25,77.25,77.25,0.0,0.0,77.75,77.75,77.75,0.0,0.0,75.65,75.65,75.65,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2018-05-13,74.45,74.45,74.45,0.0,0.0,75.75,75.75,75.75,0.0,0.0,74.0,74.0,74.0,0.0,0.0,74.65,74.65,74.65,0.0,0.0
2018-05-20,72.6,72.6,72.6,0.0,0.0,72.95,72.95,72.95,0.0,0.0,71.0,71.0,71.0,0.0,0.0,72.2,72.2,72.2,0.0,0.0
2018-05-27,75.15,75.15,75.15,0.0,0.0,75.15,75.15,75.15,0.0,0.0,73.7,73.7,73.7,0.0,0.0,74.8,74.8,74.8,0.0,0.0
2018-06-03,70.7,70.7,70.7,0.0,0.0,70.8,70.8,70.8,0.0,0.0,68.47,68.47,68.47,0.0,0.0,68.85,68.85,68.85,0.0,0.0
2018-06-10,67.55,67.55,67.55,0.0,0.0,68.65,68.65,68.65,0.0,0.0,66.65,66.65,66.65,0.0,0.0,66.85,66.85,66.85,0.0,0.0
2018-06-17,70.0,70.0,70.0,0.0,0.0,70.8,70.8,70.8,0.0,0.0,69.15,69.15,69.15,0.0,0.0,70.35,70.35,70.35,0.0,0.0
2018-06-24,77.45,77.45,77.45,0.0,0.0,78.2,78.2,78.2,0.0,0.0,75.55,75.55,75.55,0.0,0.0,78.1,78.1,78.1,0.0,0.0
2018-07-01,76.15,76.15,76.15,0.0,0.0,76.35,76.35,76.35,0.0,0.0,72.1,72.1,72.1,0.0,0.0,72.3,72.3,72.3,0.0,0.0
2018-07-08,67.7,67.7,67.7,0.0,0.0,68.2,68.2,68.2,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.35,66.35,66.35,0.0,0.0
2018-07-15,66.75,66.75,66.75,0.0,0.0,67.0,67.0,67.0,0.0,0.0,65.35,65.35,65.35,0.0,0.0,66.1,66.1,66.1,0.0,0.0
2018-07-22,64.0,64.0,64.0,0.0,0.0,68.25,68.25,68.25,0.0,0.0,63.95,63.95,63.95,0.0,0.0,66.35,66.35,66.35,0.0,0.0
