Date,First Trust Consumer Discretionary AlphaDEX_etf_Open_average,First Trust Consumer Discretionary AlphaDEX_etf_Open_max,First Trust Consumer Discretionary AlphaDEX_etf_Open_min,First Trust Consumer Discretionary AlphaDEX_etf_Open_volatility,First Trust Consumer Discretionary AlphaDEX_etf_Open_change,First Trust Consumer Discretionary AlphaDEX_etf_High_average,First Trust Consumer Discretionary AlphaDEX_etf_High_max,First Trust Consumer Discretionary AlphaDEX_etf_High_min,First Trust Consumer Discretionary AlphaDEX_etf_High_volatility,First Trust Consumer Discretionary AlphaDEX_etf_High_change,First Trust Consumer Discretionary AlphaDEX_etf_Low_average,First Trust Consumer Discretionary AlphaDEX_etf_Low_max,First Trust Consumer Discretionary AlphaDEX_etf_Low_min,First Trust Consumer Discretionary AlphaDEX_etf_Low_volatility,First Trust Consumer Discretionary AlphaDEX_etf_Low_change,First Trust Consumer Discretionary AlphaDEX_etf_Close_average,First Trust Consumer Discretionary AlphaDEX_etf_Close_max,First Trust Consumer Discretionary AlphaDEX_etf_Close_min,First Trust Consumer Discretionary AlphaDEX_etf_Close_volatility,First Trust Consumer Discretionary AlphaDEX_etf_Close_change
2018-01-14,44.3,44.3,44.3,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.72,44.72,44.72,0.0,0.0
2018-01-21,44.96,44.96,44.96,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.79,44.79,44.79,0.0,0.0,45.16,45.16,45.16,0.0,0.0
2018-01-28,43.69,43.69,43.69,0.0,0.0,43.74,43.74,43.74,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2018-02-04,41.57,41.57,41.57,0.0,0.0,41.79,41.79,41.79,0.0,0.0,40.14,40.14,40.14,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2018-02-11,43.01,43.01,43.01,0.0,0.0,43.34,43.34,43.34,0.0,0.0,42.9,42.9,42.9,0.0,0.0,43.14,43.14,43.14,0.0,0.0
2018-02-18,42.54,42.54,42.54,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2018-02-25,41.08,41.08,41.08,0.0,0.0,41.83,41.83,41.83,0.0,0.0,40.88,40.88,40.88,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-03-04,42.19,42.19,42.19,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2018-03-11,42.1,42.1,42.1,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.1,42.1,42.1,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2018-03-18,40.87,40.87,40.87,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.06,40.06,40.06,0.0,0.0,40.06,40.06,40.06,0.0,0.0
2018-03-25,40.57,40.57,40.57,0.0,0.0,41.13,41.13,41.13,0.0,0.0,40.57,40.57,40.57,0.0,0.0,41.03,41.03,41.03,0.0,0.0
2018-04-01,41.62,41.62,41.62,0.0,0.0,41.78,41.78,41.78,0.0,0.0,40.73,40.73,40.73,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-04-08,41.47,41.47,41.47,0.0,0.0,41.47,41.47,41.47,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2018-04-15,41.27,41.27,41.27,0.0,0.0,41.31,41.31,41.31,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.87,40.87,40.87,0.0,0.0
2018-04-22,41.13,41.13,41.13,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.9,40.9,40.9,0.0,0.0,41.02,41.02,41.02,0.0,0.0
2018-04-29,39.86,39.86,39.86,0.0,0.0,40.52,40.52,40.52,0.0,0.0,39.86,39.86,39.86,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-05-06,40.46,40.46,40.46,0.0,0.0,40.61,40.61,40.61,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2018-05-13,41.09,41.09,41.09,0.0,0.0,41.09,41.09,41.09,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.99,40.99,40.99,0.0,0.0
2018-05-20,40.97,40.97,40.97,0.0,0.0,41.25,41.25,41.25,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2018-05-27,41.0,41.0,41.0,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-06-03,42.66,42.66,42.66,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2018-06-10,43.19,43.19,43.19,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.6,43.6,43.6,0.0,0.0
2018-06-17,43.74,43.74,43.74,0.0,0.0,43.75,43.75,43.75,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-06-24,42.74,42.74,42.74,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-07-01,42.63,42.63,42.63,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.57,42.57,42.57,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2018-07-08,43.06,43.06,43.06,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.06,43.06,43.06,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2018-07-15,43.29,43.29,43.29,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.01,43.01,43.01,0.0,0.0
2018-07-22,42.7,42.7,42.7,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2018-07-29,42.32,42.32,42.32,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.32,42.32,42.32,0.0,0.0,42.53,42.53,42.53,0.0,0.0
2018-08-05,42.87,42.87,42.87,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.94,42.94,42.94,0.0,0.0
