Date,Franklin LibertyQ Emerging MarketsEtf_Open_average,Franklin LibertyQ Emerging MarketsEtf_Open_max,Franklin LibertyQ Emerging MarketsEtf_Open_min,Franklin LibertyQ Emerging MarketsEtf_Open_volatility,Franklin LibertyQ Emerging MarketsEtf_Open_change,Franklin LibertyQ Emerging MarketsEtf_High_average,Franklin LibertyQ Emerging MarketsEtf_High_max,Franklin LibertyQ Emerging MarketsEtf_High_min,Franklin LibertyQ Emerging MarketsEtf_High_volatility,Franklin LibertyQ Emerging MarketsEtf_High_change,Franklin LibertyQ Emerging MarketsEtf_Low_average,Franklin LibertyQ Emerging MarketsEtf_Low_max,Franklin LibertyQ Emerging MarketsEtf_Low_min,Franklin LibertyQ Emerging MarketsEtf_Low_volatility,Franklin LibertyQ Emerging MarketsEtf_Low_change,Franklin LibertyQ Emerging MarketsEtf_Close_average,Franklin LibertyQ Emerging MarketsEtf_Close_max,Franklin LibertyQ Emerging MarketsEtf_Close_min,Franklin LibertyQ Emerging MarketsEtf_Close_volatility,Franklin LibertyQ Emerging MarketsEtf_Close_change
2018-01-14,34.85,34.85,34.85,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2018-01-21,35.32,35.32,35.32,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2018-01-28,34.62,34.62,34.62,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2018-02-04,32.97,32.97,32.97,0.0,0.0,33.17,33.17,33.17,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-02-11,34.2,34.2,34.2,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2018-02-18,34.3,34.3,34.3,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2018-02-25,33.32,33.32,33.32,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-03-04,34.09,34.09,34.09,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-03-11,33.98,33.98,33.98,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-03-18,33.44,33.44,33.44,0.0,0.0,33.47,33.47,33.47,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2018-03-25,33.63,33.63,33.63,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2018-04-01,33.54,33.54,33.54,0.0,0.0,33.54,33.54,33.54,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.1,33.1,33.1,0.0,0.0
