Date,UPS_Open_average,UPS_Open_max,UPS_Open_min,UPS_Open_volatility,UPS_Open_change,UPS_High_average,UPS_High_max,UPS_High_min,UPS_High_volatility,UPS_High_change,UPS_Low_average,UPS_Low_max,UPS_Low_min,UPS_Low_volatility,UPS_Low_change,UPS_Close_average,UPS_Close_max,UPS_Close_min,UPS_Close_volatility,UPS_Close_change,UPS_Volume_average,UPS_Volume_max,UPS_Volume_min,UPS_Volume_volatility,UPS_Volume_change
2018-01-14,133.794,134.65,132.52,2.1299999999999955,-1.8899999999999864,134.31,135.53,132.99,2.539999999999992,-1.7199999999999989,132.148,133.53,131.14,2.390000000000015,-0.6200000000000045,133.284,134.01,132.86,1.1499999999999773,-0.01999999999998181,3599637,4126546,3099993,1026553,-1026553
2018-01-21,132.262,132.87,131.21,1.6599999999999966,-0.11000000000001364,132.816,133.56,131.97,1.5900000000000034,0.6899999999999977,130.484,131.04,129.71,1.329999999999984,-0.29999999999998295,131.682,132.72,130.64,2.0800000000000125,-1.4300000000000068,2756137,3166768,2044532,1122236,-198971
2018-01-28,122.592,130.37,115.89,14.480000000000004,-14.480000000000004,123.232,130.74,116.31,14.430000000000007,-14.430000000000007,120.22999999999999,128.1,113.21,14.89,-14.89,120.94200000000001,128.11,113.3,14.810000000000016,-14.810000000000016,8334865,14405947,4124859,10281088,3994778
2018-02-04,110.374,112.62,107.0,5.6200000000000045,-5.6200000000000045,111.368,115.89,107.08,8.810000000000002,-8.810000000000002,107.95,111.62,103.81,7.810000000000002,-4.27000000000001,109.32,112.71,106.31,6.3999999999999915,-6.3999999999999915,8802939,11749078,6677261,5071817,-5071817
2018-02-11,106.735,107.15,105.99,1.1600000000000108,1.1200000000000045,107.965,108.77,107.1,1.6700000000000017,-1.1099999999999994,105.5025,105.9,105.09,0.8100000000000023,0.4000000000000057,107.2175,108.31,106.4,1.9099999999999966,-1.1599999999999966,6429156,7557854,5535121,2022733,-1438244
2018-02-18,105.488,106.7,104.4,2.299999999999997,0.45000000000000284,106.848,108.44,105.62,2.819999999999993,1.789999999999992,104.768,106.01,104.33,1.6800000000000068,1.6800000000000068,105.634,108.07,104.7,3.3699999999999903,3.3599999999999994,4522199,5515976,3357008,2158968,-1136214
2018-02-25,106.14,108.24,104.96,3.280000000000001,-2.8999999999999915,107.384,109.29,106.17,3.1200000000000045,-2.3900000000000006,104.602,105.68,103.95,1.730000000000004,-1.0500000000000114,105.542,106.43,104.41,2.0200000000000102,0.12000000000000455,5140844,8701867,3605108,5096759,1392328
2018-03-04,109.134,110.22,107.49,2.730000000000004,2.730000000000004,110.26,110.75,109.55,1.2000000000000028,0.7099999999999937,107.782,108.91,106.31,2.5999999999999943,2.5799999999999983,109.42,110.38,108.8,1.5799999999999983,-0.8900000000000006,5618761,8590537,3124847,5465690,-5465690
2018-03-11,109.728,110.3,109.04,1.259999999999991,0.5999999999999943,110.566,111.2,110.01,1.1899999999999977,0.3299999999999983,108.712,109.57,107.44,2.1299999999999955,-1.6800000000000068,109.43599999999999,110.91,108.46,2.450000000000003,-0.8700000000000045,3515480,5679167,2310874,3368293,-166687
2018-03-18,106.302,108.64,103.06,5.579999999999998,-5.579999999999998,107.024,109.58,103.92,5.659999999999997,-5.409999999999997,104.554,107.64,101.45,6.189999999999998,-5.61999999999999,105.098,108.03,101.66,6.3700000000000045,-4.329999999999998,3516579,4278803,2512978,1765825,1323109
