Date,Barclays Women in Leadership_Open_average,Barclays Women in Leadership_Open_max,Barclays Women in Leadership_Open_min,Barclays Women in Leadership_Open_volatility,Barclays Women in Leadership_Open_change,Barclays Women in Leadership_High_average,Barclays Women in Leadership_High_max,Barclays Women in Leadership_High_min,Barclays Women in Leadership_High_volatility,Barclays Women in Leadership_High_change,Barclays Women in Leadership_Low_average,Barclays Women in Leadership_Low_max,Barclays Women in Leadership_Low_min,Barclays Women in Leadership_Low_volatility,Barclays Women in Leadership_Low_change,Barclays Women in Leadership_Close_average,Barclays Women in Leadership_Close_max,Barclays Women in Leadership_Close_min,Barclays Women in Leadership_Close_volatility,Barclays Women in Leadership_Close_change
2018-01-14,69.31,69.31,69.31,0.0,0.0,69.31,69.31,69.31,0.0,0.0,69.31,69.31,69.31,0.0,0.0,69.31,69.31,69.31,0.0,0.0
2018-01-21,70.29,70.29,70.29,0.0,0.0,70.29,70.29,70.29,0.0,0.0,70.23,70.23,70.23,0.0,0.0,70.23,70.23,70.23,0.0,0.0
2018-01-28,64.92,64.92,64.92,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.92,64.92,64.92,0.0,0.0
2018-02-04,68.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0,0.0,0.0
2018-02-11,65.86,65.86,65.86,0.0,0.0,65.86,65.86,65.86,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0
2018-02-18,65.53,65.53,65.53,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.53,65.53,65.53,0.0,0.0
2018-02-25,66.02,66.02,66.02,0.0,0.0,66.02,66.02,66.02,0.0,0.0,66.02,66.02,66.02,0.0,0.0,66.02,66.02,66.02,0.0,0.0
2018-03-04,65.79,65.79,65.79,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.79,65.79,65.79,0.0,0.0
2018-03-11,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0
2018-03-18,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0,64.42,64.42,64.42,0.0,0.0,64.42,64.42,64.42,0.0,0.0
2018-03-25,63.92,63.92,63.92,0.0,0.0,63.92,63.92,63.92,0.0,0.0,63.92,63.92,63.92,0.0,0.0,63.92,63.92,63.92,0.0,0.0
2018-04-01,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0,65.12,65.12,65.12,0.0,0.0
2018-04-08,66.5,66.5,66.5,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.5,66.5,66.5,0.0,0.0
2018-04-15,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0
2018-04-22,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0
2018-04-29,64.5,64.5,64.5,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2018-05-06,65.95,65.95,65.95,0.0,0.0,66.0,66.0,66.0,0.0,0.0,65.95,65.95,65.95,0.0,0.0,66.0,66.0,66.0,0.0,0.0
2018-05-13,66.83,66.83,66.83,0.0,0.0,66.83,66.83,66.83,0.0,0.0,66.83,66.83,66.83,0.0,0.0,66.83,66.83,66.83,0.0,0.0
2018-05-20,66.63,66.63,66.63,0.0,0.0,66.63,66.63,66.63,0.0,0.0,66.63,66.63,66.63,0.0,0.0,66.63,66.63,66.63,0.0,0.0
2018-05-27,65.56,65.56,65.56,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.56,65.56,65.56,0.0,0.0
2018-06-03,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.42,65.42,65.42,0.0,0.0,65.42,65.42,65.42,0.0,0.0
2018-06-10,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2018-06-17,65.91,65.91,65.91,0.0,0.0,66.52,66.52,66.52,0.0,0.0,65.91,65.91,65.91,0.0,0.0,66.52,66.52,66.52,0.0,0.0
2018-06-24,67.13,67.13,67.13,0.0,0.0,67.13,67.13,67.13,0.0,0.0,67.13,67.13,67.13,0.0,0.0,67.13,67.13,67.13,0.0,0.0
2018-07-01,66.97,66.97,66.97,0.0,0.0,66.97,66.97,66.97,0.0,0.0,66.97,66.97,66.97,0.0,0.0,66.97,66.97,66.97,0.0,0.0
2018-07-08,68.79,68.79,68.79,0.0,0.0,68.79,68.79,68.79,0.0,0.0,68.79,68.79,68.79,0.0,0.0,68.79,68.79,68.79,0.0,0.0
2018-07-15,68.75,68.75,68.75,0.0,0.0,68.75,68.75,68.75,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-07-22,67.18,67.18,67.18,0.0,0.0,67.18,67.18,67.18,0.0,0.0,67.15,67.15,67.15,0.0,0.0,67.15,67.15,67.15,0.0,0.0
2018-07-29,67.65,67.65,67.65,0.0,0.0,68.07,68.07,68.07,0.0,0.0,67.65,67.65,67.65,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2018-08-05,67.41,67.41,67.41,0.0,0.0,67.41,67.41,67.41,0.0,0.0,67.41,67.41,67.41,0.0,0.0,67.41,67.41,67.41,0.0,0.0
2018-08-12,68.61,68.61,68.61,0.0,0.0,68.61,68.61,68.61,0.0,0.0,68.61,68.61,68.61,0.0,0.0,68.61,68.61,68.61,0.0,0.0
2018-08-19,68.52,68.52,68.52,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.52,68.52,68.52,0.0,0.0,68.58,68.58,68.58,0.0,0.0
2018-08-26,68.0,68.0,68.0,0.0,0.0,68.07,68.07,68.07,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.07,68.07,68.07,0.0,0.0
2018-09-02,68.6,68.6,68.6,0.0,0.0,68.6,68.6,68.6,0.0,0.0,68.6,68.6,68.6,0.0,0.0,68.6,68.6,68.6,0.0,0.0
