Date,VelocityShares 1x Long VSTOXX FuturesEtf_Open_average,VelocityShares 1x Long VSTOXX FuturesEtf_Open_max,VelocityShares 1x Long VSTOXX FuturesEtf_Open_min,VelocityShares 1x Long VSTOXX FuturesEtf_Open_volatility,VelocityShares 1x Long VSTOXX FuturesEtf_Open_change,VelocityShares 1x Long VSTOXX FuturesEtf_High_average,VelocityShares 1x Long VSTOXX FuturesEtf_High_max,VelocityShares 1x Long VSTOXX FuturesEtf_High_min,VelocityShares 1x Long VSTOXX FuturesEtf_High_volatility,VelocityShares 1x Long VSTOXX FuturesEtf_High_change,VelocityShares 1x Long VSTOXX FuturesEtf_Low_average,VelocityShares 1x Long VSTOXX FuturesEtf_Low_max,VelocityShares 1x Long VSTOXX FuturesEtf_Low_min,VelocityShares 1x Long VSTOXX FuturesEtf_Low_volatility,VelocityShares 1x Long VSTOXX FuturesEtf_Low_change,VelocityShares 1x Long VSTOXX FuturesEtf_Close_average,VelocityShares 1x Long VSTOXX FuturesEtf_Close_max,VelocityShares 1x Long VSTOXX FuturesEtf_Close_min,VelocityShares 1x Long VSTOXX FuturesEtf_Close_volatility,VelocityShares 1x Long VSTOXX FuturesEtf_Close_change
2018-01-14,10.68,10.68,10.68,0.0,0.0,10.68,10.68,10.68,0.0,0.0,10.61,10.61,10.61,0.0,0.0,10.61,10.61,10.61,0.0,0.0
2018-01-21,10.58,10.58,10.58,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.58,10.58,10.58,0.0,0.0,10.66,10.66,10.66,0.0,0.0
2018-01-28,12.02,12.02,12.02,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.02,12.02,12.02,0.0,0.0,12.51,12.51,12.51,0.0,0.0
2018-02-04,17.04,17.04,17.04,0.0,0.0,18.13,18.13,18.13,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2018-02-11,13.5,13.5,13.5,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.76,13.76,13.76,0.0,0.0
2018-02-18,14.06,14.06,14.06,0.0,0.0,14.06,14.06,14.06,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.65,13.65,13.65,0.0,0.0
2018-02-25,15.19,15.19,15.19,0.0,0.0,15.19,15.19,15.19,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2018-03-04,13.1,13.1,13.1,0.0,0.0,13.1,13.1,13.1,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-03-11,12.25,12.25,12.25,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2018-03-18,14.31,14.31,14.31,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.31,14.31,14.31,0.0,0.0
