Date,Guggenheim CurrencyShares Swiss Franc_etf_Open_average,Guggenheim CurrencyShares Swiss Franc_etf_Open_max,Guggenheim CurrencyShares Swiss Franc_etf_Open_min,Guggenheim CurrencyShares Swiss Franc_etf_Open_volatility,Guggenheim CurrencyShares Swiss Franc_etf_Open_change,Guggenheim CurrencyShares Swiss Franc_etf_High_average,Guggenheim CurrencyShares Swiss Franc_etf_High_max,Guggenheim CurrencyShares Swiss Franc_etf_High_min,Guggenheim CurrencyShares Swiss Franc_etf_High_volatility,Guggenheim CurrencyShares Swiss Franc_etf_High_change,Guggenheim CurrencyShares Swiss Franc_etf_Low_average,Guggenheim CurrencyShares Swiss Franc_etf_Low_max,Guggenheim CurrencyShares Swiss Franc_etf_Low_min,Guggenheim CurrencyShares Swiss Franc_etf_Low_volatility,Guggenheim CurrencyShares Swiss Franc_etf_Low_change,Guggenheim CurrencyShares Swiss Franc_etf_Close_average,Guggenheim CurrencyShares Swiss Franc_etf_Close_max,Guggenheim CurrencyShares Swiss Franc_etf_Close_min,Guggenheim CurrencyShares Swiss Franc_etf_Close_volatility,Guggenheim CurrencyShares Swiss Franc_etf_Close_change
2018-01-14,98.19,98.19,98.19,0.0,0.0,98.19,98.19,98.19,0.0,0.0,97.94,97.94,97.94,0.0,0.0,97.96,97.96,97.96,0.0,0.0
2018-01-21,100.56,100.56,100.56,0.0,0.0,101.06,101.06,101.06,0.0,0.0,100.52,100.52,100.52,0.0,0.0,100.95,100.95,100.95,0.0,0.0
2018-01-28,101.19,101.19,101.19,0.0,0.0,101.42,101.42,101.42,0.0,0.0,100.98,100.98,100.98,0.0,0.0,101.24,101.24,101.24,0.0,0.0
2018-02-04,100.42,100.42,100.42,0.0,0.0,100.54,100.54,100.54,0.0,0.0,100.15,100.15,100.15,0.0,0.0,100.41,100.41,100.41,0.0,0.0
2018-02-11,101.77,101.77,101.77,0.0,0.0,101.95,101.95,101.95,0.0,0.0,101.43,101.43,101.43,0.0,0.0,101.54,101.54,101.54,0.0,0.0
2018-02-18,100.55,100.55,100.55,0.0,0.0,100.72,100.72,100.72,0.0,0.0,100.47,100.47,100.47,0.0,0.0,100.56,100.56,100.56,0.0,0.0
2018-02-25,100.71,100.71,100.71,0.0,0.0,100.71,100.71,100.71,0.0,0.0,100.37,100.37,100.37,0.0,0.0,100.47,100.47,100.47,0.0,0.0
2018-03-04,99.04,99.04,99.04,0.0,0.0,99.17,99.17,99.17,0.0,0.0,98.99,98.99,98.99,0.0,0.0,98.99,98.99,98.99,0.0,0.0
2018-03-11,98.86,98.86,98.86,0.0,0.0,98.86,98.86,98.86,0.0,0.0,98.61,98.61,98.61,0.0,0.0,98.82,98.82,98.82,0.0,0.0
2018-03-18,99.21,99.21,99.21,0.0,0.0,99.52,99.52,99.52,0.0,0.0,99.19,99.19,99.19,0.0,0.0,99.46,99.46,99.46,0.0,0.0
2018-03-25,98.46,98.46,98.46,0.0,0.0,98.5,98.5,98.5,0.0,0.0,98.25,98.25,98.25,0.0,0.0,98.4,98.4,98.4,0.0,0.0
2018-04-01,97.92,97.92,97.92,0.0,0.0,98.15,98.15,98.15,0.0,0.0,97.88,97.88,97.88,0.0,0.0,98.1,98.1,98.1,0.0,0.0
2018-04-08,97.7,97.7,97.7,0.0,0.0,97.72,97.72,97.72,0.0,0.0,97.63,97.63,97.63,0.0,0.0,97.7,97.7,97.7,0.0,0.0
2018-04-15,96.49,96.49,96.49,0.0,0.0,96.5,96.5,96.5,0.0,0.0,96.37,96.37,96.37,0.0,0.0,96.38,96.38,96.38,0.0,0.0
2018-04-22,94.95,94.95,94.95,0.0,0.0,95.15,95.15,95.15,0.0,0.0,94.89,94.89,94.89,0.0,0.0,95.15,95.15,95.15,0.0,0.0
2018-04-29,93.75,93.75,93.75,0.0,0.0,93.92,93.92,93.92,0.0,0.0,93.75,93.75,93.75,0.0,0.0,93.87,93.87,93.87,0.0,0.0
2018-05-06,94.07,94.07,94.07,0.0,0.0,94.14,94.14,94.14,0.0,0.0,93.85,93.85,93.85,0.0,0.0,93.86,93.86,93.86,0.0,0.0
2018-05-13,93.87,93.87,93.87,0.0,0.0,94.35,94.35,94.35,0.0,0.0,93.87,93.87,93.87,0.0,0.0,94.12,94.12,94.12,0.0,0.0
2018-05-20,94.64,94.64,94.64,0.0,0.0,94.77,94.77,94.77,0.0,0.0,94.63,94.63,94.63,0.0,0.0,94.74,94.74,94.74,0.0,0.0
2018-05-27,94.79,94.79,94.79,0.0,0.0,95.16,95.16,95.16,0.0,0.0,94.79,94.79,94.79,0.0,0.0,95.0,95.0,95.0,0.0,0.0
2018-06-03,95.17,95.17,95.17,0.0,0.0,95.33,95.33,95.33,0.0,0.0,95.08,95.08,95.08,0.0,0.0,95.27,95.27,95.27,0.0,0.0
2018-06-10,94.11,94.11,94.11,0.0,0.0,94.36,94.36,94.36,0.0,0.0,94.08,94.08,94.08,0.0,0.0,94.13,94.13,94.13,0.0,0.0
2018-06-17,94.79,94.79,94.79,0.0,0.0,95.0,95.0,95.0,0.0,0.0,94.72,94.72,94.72,0.0,0.0,94.95,94.95,94.95,0.0,0.0
2018-06-24,94.47,94.47,94.47,0.0,0.0,94.75,94.75,94.75,0.0,0.0,94.37,94.37,94.37,0.0,0.0,94.75,94.75,94.75,0.0,0.0
2018-07-01,94.85,94.85,94.85,0.0,0.0,94.88,94.88,94.88,0.0,0.0,94.7,94.7,94.7,0.0,0.0,94.7,94.7,94.7,0.0,0.0
2018-07-08,93.32,93.32,93.32,0.0,0.0,93.58,93.58,93.58,0.0,0.0,93.32,93.32,93.32,0.0,0.0,93.58,93.58,93.58,0.0,0.0
2018-07-15,94.29,94.29,94.29,0.0,0.0,94.51,94.51,94.51,0.0,0.0,94.21,94.21,94.21,0.0,0.0,94.51,94.51,94.51,0.0,0.0
2018-07-22,94.11,94.11,94.11,0.0,0.0,94.33,94.33,94.33,0.0,0.0,94.11,94.11,94.11,0.0,0.0,94.28,94.28,94.28,0.0,0.0
2018-07-29,94.32,94.32,94.32,0.0,0.0,94.33,94.33,94.33,0.0,0.0,94.26,94.26,94.26,0.0,0.0,94.26,94.26,94.26,0.0,0.0
