Date,VLO_Open_average,VLO_Open_max,VLO_Open_volatility,VLO_Open_change,VLO_High_average,VLO_High_max,VLO_High_volatility,VLO_High_change,VLO_Low_average,VLO_Low_max,VLO_Low_volatility,VLO_Low_change,VLO_Close_average,VLO_Close_max,VLO_Close_volatility,VLO_Close_change,VLO_Volume_average,VLO_Volume_max,VLO_Volume_volatility,VLO_Volume_change
2016-01-03,70.07666666666667,72.2,3.9399999999999977,-2.1199999999999903,71.525,72.49,3.059999999999988,-2.239999999999995,68.79833333333333,69.8,2.950000000000003,-1.8500000000000085,70.19666666666666,72.09,3.8299999999999983,-0.8700000000000045,7586546,10241902,5089428,51016
2016-01-10,67.5925,70.33,5.459999999999994,-5.0,69.4125,72.06,5.060000000000002,-5.060000000000002,65.0875,69.31,6.260000000000005,-4.840000000000003,67.4875,71.19,6.159999999999997,-4.780000000000001,9759505,13534463,5360674,455810
2016-01-17,65.96,67.55,2.5900000000000034,0.46999999999999886,67.594,69.35,4.189999999999998,0.8399999999999892,64.396,65.32,2.249999999999993,-0.2599999999999909,65.69,67.86,4.43,-1.4000000000000057,7873725,9274746,3211407,-1042419
2016-01-24,67.076,68.33,3.299999999999997,1.710000000000008,68.17,69.13,1.5600000000000023,1.3900000000000006,64.526,66.46,4.299999999999997,0.9499999999999886,66.962,68.7,4.159999999999997,0.9900000000000091,7391792,10704292,5242919,-527777
2016-01-31,62.288,67.36,10.950000000000003,-10.950000000000003,62.858,67.5,11.090000000000003,-11.090000000000003,58.802,64.93,12.38000000000001,-12.38000000000001,59.99,65.28,10.46,-10.46,10068479,12704032,5824256,4617203
2016-02-07,54.92,56.95,3.1200000000000045,2.5800000000000054,56.5275,58.04,2.269999999999996,1.759999999999998,54.13,56.24,3.240000000000002,2.3500000000000014,55.755,57.75,2.9299999999999997,2.9299999999999997,7084912,8175484,1550585,87420
2016-02-14,57.492,58.95,3.9200000000000017,-1.6900000000000048,58.426,59.0,1.9200000000000017,-0.030000000000001137,56.052,57.01,2.059999999999995,0.7100000000000009,57.282000000000004,58.68,3.1199999999999974,1.3299999999999983,6066216,6991057,1965297,-1965297
2016-02-21,59.75,61.33,4.420000000000002,0.8299999999999983,60.796,61.87,2.469999999999999,1.3800000000000026,58.434,59.6,3.1000000000000014,2.25,59.705999999999996,60.69,3.1999999999999957,2.5899999999999963,6045625,8503526,3200414,-379714
2016-02-28,62.478,64.5,4.329999999999998,2.979999999999997,63.428,64.66,3.059999999999995,2.1199999999999974,61.51,62.81,3.6500000000000057,3.520000000000003,62.93,63.89,2.299999999999997,1.6599999999999966,5673247,7029937,2522856,690476
2016-03-06,64.14,65.08,2.299999999999997,2.299999999999997,65.12,65.85,1.9699999999999918,1.7199999999999918,63.076,63.66,1.3899999999999935,1.3899999999999935,64.214,65.37,3.0400000000000063,2.0600000000000023,5188203,6116952,1882243,-977731
2016-03-13,64.69800000000001,65.7,1.990000000000002,1.720000000000006,65.838,66.29,1.3300000000000125,1.3300000000000125,63.96,64.97,1.8399999999999963,1.7299999999999969,65.214,65.94,1.759999999999991,0.9099999999999966,6175819,9723938,5073995,423006
