Date,ProShares UltraShort MSCI Emerging Markets_Open_average,ProShares UltraShort MSCI Emerging Markets_Open_max,ProShares UltraShort MSCI Emerging Markets_Open_min,ProShares UltraShort MSCI Emerging Markets_Open_volatility,ProShares UltraShort MSCI Emerging Markets_Open_change,ProShares UltraShort MSCI Emerging Markets_High_average,ProShares UltraShort MSCI Emerging Markets_High_max,ProShares UltraShort MSCI Emerging Markets_High_min,ProShares UltraShort MSCI Emerging Markets_High_volatility,ProShares UltraShort MSCI Emerging Markets_High_change,ProShares UltraShort MSCI Emerging Markets_Low_average,ProShares UltraShort MSCI Emerging Markets_Low_max,ProShares UltraShort MSCI Emerging Markets_Low_min,ProShares UltraShort MSCI Emerging Markets_Low_volatility,ProShares UltraShort MSCI Emerging Markets_Low_change,ProShares UltraShort MSCI Emerging Markets_Close_average,ProShares UltraShort MSCI Emerging Markets_Close_max,ProShares UltraShort MSCI Emerging Markets_Close_min,ProShares UltraShort MSCI Emerging Markets_Close_volatility,ProShares UltraShort MSCI Emerging Markets_Close_change
2018-01-14,36.7,36.7,36.7,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-01-21,34.6,34.6,34.6,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-01-28,37.3,37.3,37.3,0.0,0.0,38.4,38.4,38.4,0.0,0.0,37.3,37.3,37.3,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-02-04,42.45,42.45,42.45,0.0,0.0,44.8,44.8,44.8,0.0,0.0,41.5,41.5,41.5,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2018-02-11,37.15,37.15,37.15,0.0,0.0,37.25,37.25,37.25,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-02-18,37.1,37.1,37.1,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-02-25,40.25,40.25,40.25,0.0,0.0,40.45,40.45,40.45,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-03-04,37.4,37.4,37.4,0.0,0.0,37.4,37.4,37.4,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-03-11,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2018-03-18,39.0,39.0,39.0,0.0,0.0,40.7,40.7,40.7,0.0,0.0,38.95,38.95,38.95,0.0,0.0,40.7,40.7,40.7,0.0,0.0
2018-03-25,39.4,39.4,39.4,0.0,0.0,39.4,39.4,39.4,0.0,0.0,37.99,37.99,37.99,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2018-04-01,39.4,39.4,39.4,0.0,0.0,40.5,40.5,40.5,0.0,0.0,38.8,38.8,38.8,0.0,0.0,40.05,40.05,40.05,0.0,0.0
2018-04-08,38.5,38.5,38.5,0.0,0.0,39.44,39.44,39.44,0.0,0.0,38.5,38.5,38.5,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2018-04-15,39.25,39.25,39.25,0.0,0.0,40.01,40.01,40.01,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-04-22,39.8,39.8,39.8,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-04-29,42.3,42.3,42.3,0.0,0.0,42.32,42.32,42.32,0.0,0.0,40.85,40.85,40.85,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-05-06,38.8,38.8,38.8,0.0,0.0,39.57,39.57,39.57,0.0,0.0,38.8,38.8,38.8,0.0,0.0,39.45,39.45,39.45,0.0,0.0
2018-05-13,41.55,41.55,41.55,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2018-05-20,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.98,40.98,40.98,0.0,0.0
2018-05-27,41.44,41.44,41.44,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.06,41.06,41.06,0.0,0.0
2018-06-03,41.25,41.25,41.25,0.0,0.0,41.52,41.52,41.52,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2018-06-10,43.24,43.24,43.24,0.0,0.0,43.5,43.5,43.5,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2018-06-17,44.59,44.59,44.59,0.0,0.0,45.11,45.11,45.11,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2018-06-24,46.21,46.21,46.21,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.82,45.82,45.82,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2018-07-01,46.92,46.92,46.92,0.0,0.0,46.92,46.92,46.92,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.94,45.94,45.94,0.0,0.0
2018-07-08,45.04,45.04,45.04,0.0,0.0,45.12,45.12,45.12,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2018-07-15,45.03,45.03,45.03,0.0,0.0,45.03,45.03,45.03,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.58,44.58,44.58,0.0,0.0
2018-07-22,42.58,42.58,42.58,0.0,0.0,43.34,43.34,43.34,0.0,0.0,42.58,42.58,42.58,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-07-29,44.39,44.39,44.39,0.0,0.0,44.39,44.39,44.39,0.0,0.0,43.99,43.99,43.99,0.0,0.0,44.02,44.02,44.02,0.0,0.0
