Date,iShares iBoxx $ High Yield Corporate Bond_Open_average,iShares iBoxx $ High Yield Corporate Bond_Open_max,iShares iBoxx $ High Yield Corporate Bond_Open_min,iShares iBoxx $ High Yield Corporate Bond_Open_volatility,iShares iBoxx $ High Yield Corporate Bond_Open_change,iShares iBoxx $ High Yield Corporate Bond_High_average,iShares iBoxx $ High Yield Corporate Bond_High_max,iShares iBoxx $ High Yield Corporate Bond_High_min,iShares iBoxx $ High Yield Corporate Bond_High_volatility,iShares iBoxx $ High Yield Corporate Bond_High_change,iShares iBoxx $ High Yield Corporate Bond_Low_average,iShares iBoxx $ High Yield Corporate Bond_Low_max,iShares iBoxx $ High Yield Corporate Bond_Low_min,iShares iBoxx $ High Yield Corporate Bond_Low_volatility,iShares iBoxx $ High Yield Corporate Bond_Low_change,iShares iBoxx $ High Yield Corporate Bond_Close_average,iShares iBoxx $ High Yield Corporate Bond_Close_max,iShares iBoxx $ High Yield Corporate Bond_Close_min,iShares iBoxx $ High Yield Corporate Bond_Close_volatility,iShares iBoxx $ High Yield Corporate Bond_Close_change
2018-01-14,87.44,87.44,87.44,0.0,0.0,87.55,87.55,87.55,0.0,0.0,87.39,87.39,87.39,0.0,0.0,87.54,87.54,87.54,0.0,0.0
2018-01-21,87.72,87.72,87.72,0.0,0.0,87.84,87.84,87.84,0.0,0.0,87.63,87.63,87.63,0.0,0.0,87.76,87.76,87.76,0.0,0.0
2018-01-28,86.55,86.55,86.55,0.0,0.0,86.62,86.62,86.62,0.0,0.0,86.15,86.15,86.15,0.0,0.0,86.22,86.22,86.22,0.0,0.0
2018-02-04,85.28,85.28,85.28,0.0,0.0,85.42,85.42,85.42,0.0,0.0,84.07,84.07,84.07,0.0,0.0,84.95,84.95,84.95,0.0,0.0
2018-02-11,86.09,86.09,86.09,0.0,0.0,86.51,86.51,86.51,0.0,0.0,86.07,86.07,86.07,0.0,0.0,86.45,86.45,86.45,0.0,0.0
2018-02-18,85.89,85.89,85.89,0.0,0.0,86.42,86.42,86.42,0.0,0.0,85.83,85.83,85.83,0.0,0.0,86.39,86.39,86.39,0.0,0.0
2018-02-25,85.32,85.32,85.32,0.0,0.0,85.79,85.79,85.79,0.0,0.0,85.29,85.29,85.29,0.0,0.0,85.75,85.75,85.75,0.0,0.0
2018-03-04,85.86,85.86,85.86,0.0,0.0,86.13,86.13,86.13,0.0,0.0,85.78,85.78,85.78,0.0,0.0,86.07,86.07,86.07,0.0,0.0
2018-03-11,85.64,85.64,85.64,0.0,0.0,85.81,85.81,85.81,0.0,0.0,85.59,85.59,85.59,0.0,0.0,85.8,85.8,85.8,0.0,0.0
2018-03-18,85.29,85.29,85.29,0.0,0.0,85.39,85.39,85.39,0.0,0.0,84.82,84.82,84.82,0.0,0.0,84.92,84.92,84.92,0.0,0.0
