Date,JPMorgan Diversified Return US Equity_Open_average,JPMorgan Diversified Return US Equity_Open_max,JPMorgan Diversified Return US Equity_Open_min,JPMorgan Diversified Return US Equity_Open_volatility,JPMorgan Diversified Return US Equity_Open_change,JPMorgan Diversified Return US Equity_High_average,JPMorgan Diversified Return US Equity_High_max,JPMorgan Diversified Return US Equity_High_min,JPMorgan Diversified Return US Equity_High_volatility,JPMorgan Diversified Return US Equity_High_change,JPMorgan Diversified Return US Equity_Low_average,JPMorgan Diversified Return US Equity_Low_max,JPMorgan Diversified Return US Equity_Low_min,JPMorgan Diversified Return US Equity_Low_volatility,JPMorgan Diversified Return US Equity_Low_change,JPMorgan Diversified Return US Equity_Close_average,JPMorgan Diversified Return US Equity_Close_max,JPMorgan Diversified Return US Equity_Close_min,JPMorgan Diversified Return US Equity_Close_volatility,JPMorgan Diversified Return US Equity_Close_change
2018-01-14,73.3,73.3,73.3,0.0,0.0,73.64,73.64,73.64,0.0,0.0,73.2,73.2,73.2,0.0,0.0,73.64,73.64,73.64,0.0,0.0
2018-01-21,74.53,74.53,74.53,0.0,0.0,74.59,74.59,74.59,0.0,0.0,74.04,74.04,74.04,0.0,0.0,74.04,74.04,74.04,0.0,0.0
2018-01-28,71.4,71.4,71.4,0.0,0.0,71.73,71.73,71.73,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.2,69.2,69.2,0.0,0.0
2018-02-04,69.01,69.01,69.01,0.0,0.0,69.72,69.72,69.72,0.0,0.0,68.62,68.62,68.62,0.0,0.0,69.38,69.38,69.38,0.0,0.0
2018-02-11,71.08,71.08,71.08,0.0,0.0,71.61,71.61,71.61,0.0,0.0,70.95,70.95,70.95,0.0,0.0,71.32,71.32,71.32,0.0,0.0
2018-02-18,71.66,71.66,71.66,0.0,0.0,71.86,71.86,71.86,0.0,0.0,71.32,71.32,71.32,0.0,0.0,71.86,71.86,71.86,0.0,0.0
2018-02-25,69.77,69.77,69.77,0.0,0.0,70.9,70.9,70.9,0.0,0.0,69.74,69.74,69.74,0.0,0.0,70.82,70.82,70.82,0.0,0.0
2018-03-04,72.37,72.37,72.37,0.0,0.0,72.4,72.4,72.4,0.0,0.0,72.06,72.06,72.06,0.0,0.0,72.21,72.21,72.21,0.0,0.0
2018-03-11,71.62,71.62,71.62,0.0,0.0,71.62,71.62,71.62,0.0,0.0,70.59,70.59,70.59,0.0,0.0,71.04,71.04,71.04,0.0,0.0
2018-03-18,68.88,68.88,68.88,0.0,0.0,69.5,69.5,69.5,0.0,0.0,68.58,68.58,68.58,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2018-03-25,69.39,69.39,69.39,0.0,0.0,69.47,69.47,69.47,0.0,0.0,67.58,67.58,67.58,0.0,0.0,68.18,68.18,68.18,0.0,0.0
