Date,PowerShares SP 500 Value Portfolio_etf_Open_average,PowerShares SP 500 Value Portfolio_etf_Open_max,PowerShares SP 500 Value Portfolio_etf_Open_min,PowerShares SP 500 Value Portfolio_etf_Open_volatility,PowerShares SP 500 Value Portfolio_etf_Open_change,PowerShares SP 500 Value Portfolio_etf_High_average,PowerShares SP 500 Value Portfolio_etf_High_max,PowerShares SP 500 Value Portfolio_etf_High_min,PowerShares SP 500 Value Portfolio_etf_High_volatility,PowerShares SP 500 Value Portfolio_etf_High_change,PowerShares SP 500 Value Portfolio_etf_Low_average,PowerShares SP 500 Value Portfolio_etf_Low_max,PowerShares SP 500 Value Portfolio_etf_Low_min,PowerShares SP 500 Value Portfolio_etf_Low_volatility,PowerShares SP 500 Value Portfolio_etf_Low_change,PowerShares SP 500 Value Portfolio_etf_Close_average,PowerShares SP 500 Value Portfolio_etf_Close_max,PowerShares SP 500 Value Portfolio_etf_Close_min,PowerShares SP 500 Value Portfolio_etf_Close_volatility,PowerShares SP 500 Value Portfolio_etf_Close_change
2018-01-14,36.94,36.94,36.94,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-01-21,37.17,37.17,37.17,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2018-01-28,36.34,36.34,36.34,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2018-02-04,34.18,34.18,34.18,0.0,0.0,34.18,34.18,34.18,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-02-11,35.51,35.51,35.51,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2018-02-18,34.96,34.96,34.96,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2018-02-25,34.25,34.25,34.25,0.0,0.0,34.67,34.67,34.67,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-03-04,35.5,35.5,35.5,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-03-11,35.31,35.31,35.31,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-03-18,33.67,33.67,33.67,0.0,0.0,33.73,33.73,33.73,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-03-25,33.67,33.67,33.67,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-04-01,33.94,33.94,33.94,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-04-08,33.96,33.96,33.96,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2018-04-15,34.34,34.34,34.34,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2018-04-22,34.52,34.52,34.52,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2018-04-29,33.44,33.44,33.44,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2018-05-06,34.36,34.36,34.36,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-05-13,34.66,34.66,34.66,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-05-20,34.44,34.44,34.44,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2018-05-27,34.33,34.33,34.33,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2018-06-03,35.02,35.02,35.02,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2018-06-10,34.67,34.67,34.67,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2018-06-17,34.58,34.58,34.58,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.56,34.56,34.56,0.0,0.0
2018-06-24,34.07,34.07,34.07,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-07-01,33.94,33.94,33.94,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.94,33.94,33.94,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2018-07-08,34.27,34.27,34.27,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2018-07-15,34.38,34.38,34.38,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-07-22,35.07,35.07,35.07,0.0,0.0,35.09,35.09,35.09,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-07-29,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2018-08-05,35.19,35.19,35.19,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2018-08-12,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-08-19,36.02,36.02,36.02,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.02,36.02,36.02,0.0,0.0
