Date,Vanguard Industrials_Open_average,Vanguard Industrials_Open_max,Vanguard Industrials_Open_min,Vanguard Industrials_Open_volatility,Vanguard Industrials_Open_change,Vanguard Industrials_High_average,Vanguard Industrials_High_max,Vanguard Industrials_High_min,Vanguard Industrials_High_volatility,Vanguard Industrials_High_change,Vanguard Industrials_Low_average,Vanguard Industrials_Low_max,Vanguard Industrials_Low_min,Vanguard Industrials_Low_volatility,Vanguard Industrials_Low_change,Vanguard Industrials_Close_average,Vanguard Industrials_Close_max,Vanguard Industrials_Close_min,Vanguard Industrials_Close_volatility,Vanguard Industrials_Close_change
2018-01-14,149.0,149.0,149.0,0.0,0.0,149.35,149.35,149.35,0.0,0.0,148.25,148.25,148.25,0.0,0.0,149.35,149.35,149.35,0.0,0.0
2018-01-21,150.59,150.59,150.59,0.0,0.0,151.28,151.28,151.28,0.0,0.0,149.84,149.84,149.84,0.0,0.0,149.87,149.87,149.87,0.0,0.0
2018-01-28,144.27,144.27,144.27,0.0,0.0,145.78,145.78,145.78,0.0,0.0,138.33,138.33,138.33,0.0,0.0,139.0,139.0,139.0,0.0,0.0
2018-02-04,138.65,138.65,138.65,0.0,0.0,140.8,140.8,140.8,0.0,0.0,137.96,137.96,137.96,0.0,0.0,139.8,139.8,139.8,0.0,0.0
2018-02-11,143.69,143.69,143.69,0.0,0.0,145.37,145.37,145.37,0.0,0.0,143.59,143.59,143.59,0.0,0.0,144.05,144.05,144.05,0.0,0.0
2018-02-18,145.34,145.34,145.34,0.0,0.0,146.61,146.61,146.61,0.0,0.0,144.66,144.66,144.66,0.0,0.0,146.36,146.36,146.36,0.0,0.0
2018-02-25,139.32,139.32,139.32,0.0,0.0,142.04,142.04,142.04,0.0,0.0,138.84,138.84,138.84,0.0,0.0,141.74,141.74,141.74,0.0,0.0
2018-03-04,146.75,146.75,146.75,0.0,0.0,146.76,146.76,146.76,0.0,0.0,144.73,144.73,144.73,0.0,0.0,145.06,145.06,145.06,0.0,0.0
2018-03-11,142.92,142.92,142.92,0.0,0.0,142.92,142.92,142.92,0.0,0.0,141.21,141.21,141.21,0.0,0.0,142.38,142.38,142.38,0.0,0.0
2018-03-18,138.65,138.65,138.65,0.0,0.0,139.68,139.68,139.68,0.0,0.0,137.07,137.07,137.07,0.0,0.0,139.54,139.54,139.54,0.0,0.0
2018-03-25,138.64,138.64,138.64,0.0,0.0,138.9,138.9,138.9,0.0,0.0,134.55,134.55,134.55,0.0,0.0,136.1,136.1,136.1,0.0,0.0
2018-04-01,137.62,137.62,137.62,0.0,0.0,138.18,138.18,138.18,0.0,0.0,135.93,135.93,135.93,0.0,0.0,136.11,136.11,136.11,0.0,0.0
2018-04-08,139.74,139.74,139.74,0.0,0.0,140.58,140.58,140.58,0.0,0.0,139.51,139.51,139.51,0.0,0.0,140.33,140.33,140.33,0.0,0.0
