Date,CREG_Open_average,CREG_Open_max,CREG_Open_min,CREG_Open_volatility,CREG_Open_change,CREG_High_average,CREG_High_max,CREG_High_min,CREG_High_volatility,CREG_High_change,CREG_Low_average,CREG_Low_max,CREG_Low_min,CREG_Low_volatility,CREG_Low_change,CREG_Close_average,CREG_Close_max,CREG_Close_min,CREG_Close_volatility,CREG_Close_change,CREG_Volume_average,CREG_Volume_max,CREG_Volume_min,CREG_Volume_volatility,CREG_Volume_change
2018-01-14,3.004,3.18,2.83,0.3500000000000001,-0.3500000000000001,3.07138,3.188,2.89,0.29800000000000004,-0.29800000000000004,2.896,2.96,2.8,0.16000000000000014,-0.16000000000000014,2.946,3.04,2.85,0.18999999999999995,-0.18999999999999995,236252,302776,143446,159330,-41680
2018-01-21,2.838,2.89,2.81,0.08000000000000007,-0.040000000000000036,2.94146,3.0,2.8973,0.10270000000000001,-0.07000000000000028,2.8089,2.82,2.8,0.020000000000000018,0.001000000000000334,2.846,2.86,2.83,0.029999999999999805,0.020000000000000018,184308,314715,92613,222102,-48057
2018-01-28,2.554,2.87,2.11,0.7600000000000002,-0.7600000000000002,2.594,2.87,2.25,0.6200000000000001,-0.6200000000000001,2.39,2.8,2.11,0.69,-0.69,2.41006,2.81,2.12,0.69,-0.69,206852,338855,57954,280901,-58095
2018-02-04,2.07144,2.2172,1.94,0.2772000000000001,-0.18000000000000016,2.14096,2.229,1.9999,0.22910000000000008,-0.11929999999999996,1.952,2.08,1.83,0.25,-0.06000000000000005,2.02,2.15,1.91,0.24,-0.06999999999999984,123310,218146,36158,181988,-181988
2018-02-11,2.0025,2.07,1.92,0.1499999999999999,0.0,2.067225,2.0905,2.0384,0.05209999999999981,0.05209999999999981,1.967725,2.02,1.92,0.10000000000000009,0.08909999999999973,2.0025,2.03,1.93,0.09999999999999987,0.09999999999999987,42357,74066,28973,45093,6284
2018-02-18,2.014,2.07,1.98,0.08999999999999986,0.0,2.0882199999999997,2.15,2.0401,0.10990000000000011,-0.08000000000000007,1.954,2.01,1.88,0.1299999999999999,-0.07000000000000006,1.996,2.04,1.95,0.09000000000000008,-0.040000000000000036,68490,78634,49539,29095,-23494
2018-02-25,1.98,2.05,1.91,0.1399999999999999,-0.07000000000000006,2.0342,2.1,1.96,0.14000000000000012,-0.016599999999999948,1.928,1.98,1.85,0.1299999999999999,-0.07000000000000006,1.982,2.03,1.95,0.07999999999999985,-0.07999999999999985,38965,69339,20608,48731,-17792
2018-03-04,1.938,2.02,1.83,0.18999999999999995,-0.18999999999999995,1.95908,2.04,1.86,0.17999999999999994,-0.17999999999999994,1.856,1.95,1.75,0.19999999999999996,-0.19999999999999996,1.90198,1.99,1.79,0.19999999999999996,-0.19999999999999996,40432,68278,17816,50462,50462
2018-03-11,1.8698,1.99,1.77,0.21999999999999997,0.14100000000000001,1.9637,2.1187,1.85,0.26869999999999994,0.17220000000000013,1.802,1.88,1.75,0.1299999999999999,0.1200000000000001,1.87802,1.99,1.76,0.22999999999999998,0.1399999999999999,86193,201269,22213,179056,15872
2018-03-18,15.49,19.3,1.95,17.35,17.35,16.20146,20.4,2.0073,18.392699999999998,17.2927,13.98074,18.5,1.8767,16.6233,11.650300000000001,14.836,19.3,1.88,17.42,13.82,19793,49692,4543,45149,21426
