Date,Direxion Daily Gold Miners Bull 3X Shares_Open_average,Direxion Daily Gold Miners Bull 3X Shares_Open_max,Direxion Daily Gold Miners Bull 3X Shares_Open_min,Direxion Daily Gold Miners Bull 3X Shares_Open_volatility,Direxion Daily Gold Miners Bull 3X Shares_Open_change,Direxion Daily Gold Miners Bull 3X Shares_High_average,Direxion Daily Gold Miners Bull 3X Shares_High_max,Direxion Daily Gold Miners Bull 3X Shares_High_min,Direxion Daily Gold Miners Bull 3X Shares_High_volatility,Direxion Daily Gold Miners Bull 3X Shares_High_change,Direxion Daily Gold Miners Bull 3X Shares_Low_average,Direxion Daily Gold Miners Bull 3X Shares_Low_max,Direxion Daily Gold Miners Bull 3X Shares_Low_min,Direxion Daily Gold Miners Bull 3X Shares_Low_volatility,Direxion Daily Gold Miners Bull 3X Shares_Low_change,Direxion Daily Gold Miners Bull 3X Shares_Close_average,Direxion Daily Gold Miners Bull 3X Shares_Close_max,Direxion Daily Gold Miners Bull 3X Shares_Close_min,Direxion Daily Gold Miners Bull 3X Shares_Close_volatility,Direxion Daily Gold Miners Bull 3X Shares_Close_change
2018-01-14,166.5,166.5,166.5,0.0,0.0,167.8,167.8,167.8,0.0,0.0,161.66,161.66,161.66,0.0,0.0,164.95,164.95,164.95,0.0,0.0
2018-01-21,172.05,172.05,172.05,0.0,0.0,172.4,172.4,172.4,0.0,0.0,159.5,159.5,159.5,0.0,0.0,161.05,161.05,161.05,0.0,0.0
2018-01-28,146.2,146.2,146.2,0.0,0.0,146.7,146.7,146.7,0.0,0.0,136.4,136.4,136.4,0.0,0.0,141.35,141.35,141.35,0.0,0.0
2018-02-04,118.8,118.8,118.8,0.0,0.0,129.19,129.19,129.19,0.0,0.0,116.38,116.38,116.38,0.0,0.0,126.05,126.05,126.05,0.0,0.0
2018-02-11,140.6,140.6,140.6,0.0,0.0,142.5,142.5,142.5,0.0,0.0,129.35,129.35,129.35,0.0,0.0,134.7,134.7,134.7,0.0,0.0
2018-02-18,125.85,125.85,125.85,0.0,0.0,128.1,128.1,128.1,0.0,0.0,124.05,124.05,124.05,0.0,0.0,126.65,126.65,126.65,0.0,0.0
2018-02-25,115.0,115.0,115.0,0.0,0.0,117.6,117.6,117.6,0.0,0.0,112.5,112.5,112.5,0.0,0.0,117.6,117.6,117.6,0.0,0.0
2018-03-04,114.25,114.25,114.25,0.0,0.0,119.45,119.45,119.45,0.0,0.0,112.67,112.67,112.67,0.0,0.0,118.9,118.9,118.9,0.0,0.0
2018-03-11,113.25,113.25,113.25,0.0,0.0,116.1,116.1,116.1,0.0,0.0,110.75,110.75,110.75,0.0,0.0,115.45,115.45,115.45,0.0,0.0
2018-03-18,127.25,127.25,127.25,0.0,0.0,131.35,131.35,131.35,0.0,0.0,127.0,127.0,127.0,0.0,0.0,130.0,130.0,130.0,0.0,0.0
2018-03-25,125.5,125.5,125.5,0.0,0.0,129.9,129.9,129.9,0.0,0.0,124.1,124.1,124.1,0.0,0.0,126.4,126.4,126.4,0.0,0.0
2018-04-01,123.45,123.45,123.45,0.0,0.0,124.95,124.95,124.95,0.0,0.0,119.1,119.1,119.1,0.0,0.0,122.0,122.0,122.0,0.0,0.0
2018-04-08,137.05,137.05,137.05,0.0,0.0,137.5,137.5,137.5,0.0,0.0,132.6,132.6,132.6,0.0,0.0,134.7,134.7,134.7,0.0,0.0
