Date,iShares Russell Top 200_etf_Open_average,iShares Russell Top 200_etf_Open_max,iShares Russell Top 200_etf_Open_min,iShares Russell Top 200_etf_Open_volatility,iShares Russell Top 200_etf_Open_change,iShares Russell Top 200_etf_High_average,iShares Russell Top 200_etf_High_max,iShares Russell Top 200_etf_High_min,iShares Russell Top 200_etf_High_volatility,iShares Russell Top 200_etf_High_change,iShares Russell Top 200_etf_Low_average,iShares Russell Top 200_etf_Low_max,iShares Russell Top 200_etf_Low_min,iShares Russell Top 200_etf_Low_volatility,iShares Russell Top 200_etf_Low_change,iShares Russell Top 200_etf_Close_average,iShares Russell Top 200_etf_Close_max,iShares Russell Top 200_etf_Close_min,iShares Russell Top 200_etf_Close_volatility,iShares Russell Top 200_etf_Close_change
2018-01-14,64.6,64.6,64.6,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.56,64.56,64.56,0.0,0.0
2018-01-21,65.66,65.66,65.66,0.0,0.0,66.05,66.05,66.05,0.0,0.0,65.54,65.54,65.54,0.0,0.0,66.05,66.05,66.05,0.0,0.0
2018-01-28,64.83,64.83,64.83,0.0,0.0,64.83,64.83,64.83,0.0,0.0,63.61,63.61,63.61,0.0,0.0,63.66,63.66,63.66,0.0,0.0
2018-02-04,60.13,60.13,60.13,0.0,0.0,60.71,60.71,60.71,0.0,0.0,58.58,58.58,58.58,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2018-02-11,62.89,62.89,62.89,0.0,0.0,63.52,63.52,63.52,0.0,0.0,62.89,62.89,62.89,0.0,0.0,63.14,63.14,63.14,0.0,0.0
2018-02-18,62.9,62.9,62.9,0.0,0.0,63.3,63.3,63.3,0.0,0.0,62.66,62.66,62.66,0.0,0.0,63.29,63.29,63.29,0.0,0.0
2018-02-25,61.43,61.43,61.43,0.0,0.0,62.28,62.28,62.28,0.0,0.0,61.29,61.29,61.29,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-03-04,63.7,63.7,63.7,0.0,0.0,64.22,64.22,64.22,0.0,0.0,63.53,63.53,63.53,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2018-03-11,63.57,63.57,63.57,0.0,0.0,63.74,63.74,63.74,0.0,0.0,63.44,63.44,63.44,0.0,0.0,63.44,63.44,63.44,0.0,0.0
2018-03-18,60.86,60.86,60.86,0.0,0.0,60.87,60.87,60.87,0.0,0.0,59.41,59.41,59.41,0.0,0.0,59.41,59.41,59.41,0.0,0.0
2018-03-25,60.0,60.0,60.0,0.0,0.0,60.94,60.94,60.94,0.0,0.0,59.87,59.87,59.87,0.0,0.0,60.64,60.64,60.64,0.0,0.0
2018-04-01,60.63,60.63,60.63,0.0,0.0,60.83,60.83,60.83,0.0,0.0,59.36,59.36,59.36,0.0,0.0,59.78,59.78,59.78,0.0,0.0
2018-04-08,61.65,61.65,61.65,0.0,0.0,61.65,61.65,61.65,0.0,0.0,60.89,60.89,60.89,0.0,0.0,61.03,61.03,61.03,0.0,0.0
2018-04-15,61.97,61.97,61.97,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.14,61.14,61.14,0.0,0.0
2018-04-22,61.64,61.64,61.64,0.0,0.0,61.64,61.64,61.64,0.0,0.0,61.23,61.23,61.23,0.0,0.0,61.3,61.3,61.3,0.0,0.0
2018-04-29,60.29,60.29,60.29,0.0,0.0,61.4,61.4,61.4,0.0,0.0,60.29,60.29,60.29,0.0,0.0,61.26,61.26,61.26,0.0,0.0
2018-05-06,62.6,62.6,62.6,0.0,0.0,62.92,62.92,62.92,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.79,62.79,62.79,0.0,0.0
2018-05-13,62.59,62.59,62.59,0.0,0.0,62.64,62.64,62.64,0.0,0.0,62.43,62.43,62.43,0.0,0.0,62.54,62.54,62.54,0.0,0.0
