Date,PowerShares Dynamic SoftwareEtf_Open_average,PowerShares Dynamic SoftwareEtf_Open_max,PowerShares Dynamic SoftwareEtf_Open_min,PowerShares Dynamic SoftwareEtf_Open_volatility,PowerShares Dynamic SoftwareEtf_Open_change,PowerShares Dynamic SoftwareEtf_High_average,PowerShares Dynamic SoftwareEtf_High_max,PowerShares Dynamic SoftwareEtf_High_min,PowerShares Dynamic SoftwareEtf_High_volatility,PowerShares Dynamic SoftwareEtf_High_change,PowerShares Dynamic SoftwareEtf_Low_average,PowerShares Dynamic SoftwareEtf_Low_max,PowerShares Dynamic SoftwareEtf_Low_min,PowerShares Dynamic SoftwareEtf_Low_volatility,PowerShares Dynamic SoftwareEtf_Low_change,PowerShares Dynamic SoftwareEtf_Close_average,PowerShares Dynamic SoftwareEtf_Close_max,PowerShares Dynamic SoftwareEtf_Close_min,PowerShares Dynamic SoftwareEtf_Close_volatility,PowerShares Dynamic SoftwareEtf_Close_change
2018-01-14,67.3,67.3,67.3,0.0,0.0,67.95,67.95,67.95,0.0,0.0,67.3,67.3,67.3,0.0,0.0,67.79,67.79,67.79,0.0,0.0
2018-01-21,68.46,68.46,68.46,0.0,0.0,69.29,69.29,69.29,0.0,0.0,68.46,68.46,68.46,0.0,0.0,69.29,69.29,69.29,0.0,0.0
2018-01-28,68.06,68.06,68.06,0.0,0.0,68.06,68.06,68.06,0.0,0.0,67.15,67.15,67.15,0.0,0.0,67.15,67.15,67.15,0.0,0.0
2018-02-04,64.06,64.06,64.06,0.0,0.0,64.06,64.06,64.06,0.0,0.0,61.7,61.7,61.7,0.0,0.0,63.83,63.83,63.83,0.0,0.0
2018-02-11,68.2,68.2,68.2,0.0,0.0,68.83,68.83,68.83,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.56,68.56,68.56,0.0,0.0
2018-02-18,69.36,69.36,69.36,0.0,0.0,70.16,70.16,70.16,0.0,0.0,69.15,69.15,69.15,0.0,0.0,70.16,70.16,70.16,0.0,0.0
2018-02-25,68.46,68.46,68.46,0.0,0.0,70.33,70.33,70.33,0.0,0.0,68.39,68.39,68.39,0.0,0.0,70.33,70.33,70.33,0.0,0.0
2018-03-04,72.86,72.86,72.86,0.0,0.0,72.94,72.94,72.94,0.0,0.0,72.65,72.65,72.65,0.0,0.0,72.94,72.94,72.94,0.0,0.0
2018-03-11,72.17,72.17,72.17,0.0,0.0,72.38,72.38,72.38,0.0,0.0,71.75,71.75,71.75,0.0,0.0,71.8,71.8,71.8,0.0,0.0
2018-03-18,70.34,70.34,70.34,0.0,0.0,70.61,70.61,70.61,0.0,0.0,68.78,68.78,68.78,0.0,0.0,68.78,68.78,68.78,0.0,0.0
2018-03-25,68.0,68.0,68.0,0.0,0.0,69.63,69.63,69.63,0.0,0.0,68.0,68.0,68.0,0.0,0.0,69.41,69.41,69.41,0.0,0.0
2018-04-01,69.23,69.23,69.23,0.0,0.0,69.52,69.52,69.52,0.0,0.0,68.14,68.14,68.14,0.0,0.0,68.56,68.56,68.56,0.0,0.0
2018-04-08,71.41,71.41,71.41,0.0,0.0,71.41,71.41,71.41,0.0,0.0,69.65,69.65,69.65,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-04-15,72.33,72.33,72.33,0.0,0.0,72.36,72.36,72.36,0.0,0.0,71.66,71.66,71.66,0.0,0.0,71.68,71.68,71.68,0.0,0.0
