Date,Morgan Stanley Market Vectors 2X EuroEtf_Open_average,Morgan Stanley Market Vectors 2X EuroEtf_Open_max,Morgan Stanley Market Vectors 2X EuroEtf_Open_min,Morgan Stanley Market Vectors 2X EuroEtf_Open_volatility,Morgan Stanley Market Vectors 2X EuroEtf_Open_change,Morgan Stanley Market Vectors 2X EuroEtf_High_average,Morgan Stanley Market Vectors 2X EuroEtf_High_max,Morgan Stanley Market Vectors 2X EuroEtf_High_min,Morgan Stanley Market Vectors 2X EuroEtf_High_volatility,Morgan Stanley Market Vectors 2X EuroEtf_High_change,Morgan Stanley Market Vectors 2X EuroEtf_Low_average,Morgan Stanley Market Vectors 2X EuroEtf_Low_max,Morgan Stanley Market Vectors 2X EuroEtf_Low_min,Morgan Stanley Market Vectors 2X EuroEtf_Low_volatility,Morgan Stanley Market Vectors 2X EuroEtf_Low_change,Morgan Stanley Market Vectors 2X EuroEtf_Close_average,Morgan Stanley Market Vectors 2X EuroEtf_Close_max,Morgan Stanley Market Vectors 2X EuroEtf_Close_min,Morgan Stanley Market Vectors 2X EuroEtf_Close_volatility,Morgan Stanley Market Vectors 2X EuroEtf_Close_change
2018-01-14,20.55,20.55,20.55,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.55,20.55,20.55,0.0,0.0
2018-01-21,21.24,21.24,21.24,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2018-01-28,20.98,20.98,20.98,0.0,0.0,20.98,20.98,20.98,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2018-02-04,20.12,20.12,20.12,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.12,20.12,20.12,0.0,0.0
2018-02-11,20.6,20.6,20.6,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2018-02-18,20.39,20.39,20.39,0.0,0.0,21.4,21.4,21.4,0.0,0.0,20.39,20.39,20.39,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2018-02-25,20.5,20.5,20.5,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.77,20.77,20.77,0.0,0.0
2018-03-04,20.5,20.5,20.5,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2018-03-11,21.49,21.49,21.49,0.0,0.0,21.49,21.49,21.49,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.47,20.47,20.47,0.0,0.0
2018-03-18,21.0,21.0,21.0,0.0,0.0,21.23,21.23,21.23,0.0,0.0,19.55,19.55,19.55,0.0,0.0,20.68,20.68,20.68,0.0,0.0
