Date,First Trust Strategic Income_Open_average,First Trust Strategic Income_Open_max,First Trust Strategic Income_Open_min,First Trust Strategic Income_Open_volatility,First Trust Strategic Income_Open_change,First Trust Strategic Income_High_average,First Trust Strategic Income_High_max,First Trust Strategic Income_High_min,First Trust Strategic Income_High_volatility,First Trust Strategic Income_High_change,First Trust Strategic Income_Low_average,First Trust Strategic Income_Low_max,First Trust Strategic Income_Low_min,First Trust Strategic Income_Low_volatility,First Trust Strategic Income_Low_change,First Trust Strategic Income_Close_average,First Trust Strategic Income_Close_max,First Trust Strategic Income_Close_min,First Trust Strategic Income_Close_volatility,First Trust Strategic Income_Close_change
2018-01-14,51.76,51.76,51.76,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-01-21,51.91,51.91,51.91,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2018-01-28,50.62,50.62,50.62,0.0,0.0,50.76,50.76,50.76,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-02-04,50.07,50.07,50.07,0.0,0.0,52.2,52.2,52.2,0.0,0.0,49.7,49.7,49.7,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2018-02-11,50.43,50.43,50.43,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2018-02-18,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-02-25,49.79,49.79,49.79,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-03-04,50.13,50.13,50.13,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2018-03-11,49.62,49.62,49.62,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-03-18,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2018-03-25,49.01,49.01,49.01,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2018-04-01,49.04,49.04,49.04,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-04-08,49.09,49.09,49.09,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.37,49.37,49.37,0.0,0.0
