Date,PowerShares S&P 500 High Div Low Vol_Open_average,PowerShares S&P 500 High Div Low Vol_Open_max,PowerShares S&P 500 High Div Low Vol_Open_min,PowerShares S&P 500 High Div Low Vol_Open_volatility,PowerShares S&P 500 High Div Low Vol_Open_change,PowerShares S&P 500 High Div Low Vol_High_average,PowerShares S&P 500 High Div Low Vol_High_max,PowerShares S&P 500 High Div Low Vol_High_min,PowerShares S&P 500 High Div Low Vol_High_volatility,PowerShares S&P 500 High Div Low Vol_High_change,PowerShares S&P 500 High Div Low Vol_Low_average,PowerShares S&P 500 High Div Low Vol_Low_max,PowerShares S&P 500 High Div Low Vol_Low_min,PowerShares S&P 500 High Div Low Vol_Low_volatility,PowerShares S&P 500 High Div Low Vol_Low_change,PowerShares S&P 500 High Div Low Vol_Close_average,PowerShares S&P 500 High Div Low Vol_Close_max,PowerShares S&P 500 High Div Low Vol_Close_min,PowerShares S&P 500 High Div Low Vol_Close_volatility,PowerShares S&P 500 High Div Low Vol_Close_change
2018-01-14,42.31,42.31,42.31,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.74,42.74,42.74,0.0,0.0
2018-01-21,43.06,43.06,43.06,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.66,42.66,42.66,0.0,0.0
2018-01-28,41.18,41.18,41.18,0.0,0.0,41.4,41.4,41.4,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2018-02-04,39.87,39.87,39.87,0.0,0.0,40.17,40.17,40.17,0.0,0.0,39.54,39.54,39.54,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2018-02-11,40.57,40.57,40.57,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-02-18,40.37,40.37,40.37,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2018-02-25,39.29,39.29,39.29,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.94,39.94,39.94,0.0,0.0
2018-03-04,40.26,40.26,40.26,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.33,40.33,40.33,0.0,0.0
2018-03-11,39.97,39.97,39.97,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2018-03-18,38.57,38.57,38.57,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.78,38.78,38.78,0.0,0.0
2018-03-25,39.36,39.36,39.36,0.0,0.0,39.45,39.45,39.45,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2018-04-01,39.45,39.45,39.45,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-04-08,39.72,39.72,39.72,0.0,0.0,40.04,40.04,40.04,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2018-04-15,39.22,39.22,39.22,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.24,39.24,39.24,0.0,0.0
2018-04-22,40.03,40.03,40.03,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-04-29,39.82,39.82,39.82,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2018-05-06,40.19,40.19,40.19,0.0,0.0,40.26,40.26,40.26,0.0,0.0,39.99,39.99,39.99,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2018-05-13,39.76,39.76,39.76,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2018-05-20,40.11,40.11,40.11,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.98,39.98,39.98,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2018-05-27,40.45,40.45,40.45,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2018-06-03,40.76,40.76,40.76,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.85,40.85,40.85,0.0,0.0
2018-06-10,40.49,40.49,40.49,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2018-06-17,40.77,40.77,40.77,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2018-06-24,40.79,40.79,40.79,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.79,40.79,40.79,0.0,0.0
2018-07-01,41.68,41.68,41.68,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2018-07-08,41.41,41.41,41.41,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2018-07-15,41.04,41.04,41.04,0.0,0.0,41.04,41.04,41.04,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2018-07-22,41.18,41.18,41.18,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.25,41.25,41.25,0.0,0.0
2018-07-29,41.98,41.98,41.98,0.0,0.0,42.09,42.09,42.09,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.98,41.98,41.98,0.0,0.0
