Date,SPDR S&P Regional BankingEtf_Open_average,SPDR S&P Regional BankingEtf_Open_max,SPDR S&P Regional BankingEtf_Open_min,SPDR S&P Regional BankingEtf_Open_volatility,SPDR S&P Regional BankingEtf_Open_change,SPDR S&P Regional BankingEtf_High_average,SPDR S&P Regional BankingEtf_High_max,SPDR S&P Regional BankingEtf_High_min,SPDR S&P Regional BankingEtf_High_volatility,SPDR S&P Regional BankingEtf_High_change,SPDR S&P Regional BankingEtf_Low_average,SPDR S&P Regional BankingEtf_Low_max,SPDR S&P Regional BankingEtf_Low_min,SPDR S&P Regional BankingEtf_Low_volatility,SPDR S&P Regional BankingEtf_Low_change,SPDR S&P Regional BankingEtf_Close_average,SPDR S&P Regional BankingEtf_Close_max,SPDR S&P Regional BankingEtf_Close_min,SPDR S&P Regional BankingEtf_Close_volatility,SPDR S&P Regional BankingEtf_Close_change
2018-01-14,62.08,62.08,62.08,0.0,0.0,63.04,63.04,63.04,0.0,0.0,62.08,62.08,62.08,0.0,0.0,63.03,63.03,63.03,0.0,0.0
2018-01-21,63.17,63.17,63.17,0.0,0.0,63.34,63.34,63.34,0.0,0.0,62.51,62.51,62.51,0.0,0.0,63.06,63.06,63.06,0.0,0.0
2018-01-28,63.17,63.17,63.17,0.0,0.0,63.76,63.76,63.76,0.0,0.0,62.36,62.36,62.36,0.0,0.0,62.64,62.64,62.64,0.0,0.0
2018-02-04,59.75,59.75,59.75,0.0,0.0,60.5,60.5,60.5,0.0,0.0,58.31,58.31,58.31,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2018-02-11,62.34,62.34,62.34,0.0,0.0,63.5,63.5,63.5,0.0,0.0,62.34,62.34,62.34,0.0,0.0,63.1,63.1,63.1,0.0,0.0
2018-02-18,62.0,62.0,62.0,0.0,0.0,62.99,62.99,62.99,0.0,0.0,61.76,61.76,61.76,0.0,0.0,62.96,62.96,62.96,0.0,0.0
2018-02-25,61.1,61.1,61.1,0.0,0.0,62.71,62.71,62.71,0.0,0.0,60.55,60.55,60.55,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2018-03-04,64.47,64.47,64.47,0.0,0.0,65.08,65.08,65.08,0.0,0.0,64.12,64.12,64.12,0.0,0.0,65.03,65.03,65.03,0.0,0.0
2018-03-11,63.67,63.67,63.67,0.0,0.0,64.52,64.52,64.52,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.95,63.95,63.95,0.0,0.0
2018-03-18,61.11,61.11,61.11,0.0,0.0,61.38,61.38,61.38,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.91,58.91,58.91,0.0,0.0
