Date,PowerShares Dynamic Large Cap Value_Open_average,PowerShares Dynamic Large Cap Value_Open_max,PowerShares Dynamic Large Cap Value_Open_min,PowerShares Dynamic Large Cap Value_Open_volatility,PowerShares Dynamic Large Cap Value_Open_change,PowerShares Dynamic Large Cap Value_High_average,PowerShares Dynamic Large Cap Value_High_max,PowerShares Dynamic Large Cap Value_High_min,PowerShares Dynamic Large Cap Value_High_volatility,PowerShares Dynamic Large Cap Value_High_change,PowerShares Dynamic Large Cap Value_Low_average,PowerShares Dynamic Large Cap Value_Low_max,PowerShares Dynamic Large Cap Value_Low_min,PowerShares Dynamic Large Cap Value_Low_volatility,PowerShares Dynamic Large Cap Value_Low_change,PowerShares Dynamic Large Cap Value_Close_average,PowerShares Dynamic Large Cap Value_Close_max,PowerShares Dynamic Large Cap Value_Close_min,PowerShares Dynamic Large Cap Value_Close_volatility,PowerShares Dynamic Large Cap Value_Close_change
2018-01-14,39.67,39.67,39.67,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2018-01-21,40.37,40.37,40.37,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.19,40.19,40.19,0.0,0.0
2018-01-28,38.54,38.54,38.54,0.0,0.0,38.85,38.85,38.85,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.33,37.33,37.33,0.0,0.0
2018-02-04,37.18,37.18,37.18,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2018-02-11,38.29,38.29,38.29,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2018-02-18,38.43,38.43,38.43,0.0,0.0,38.68,38.68,38.68,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2018-02-25,37.23,37.23,37.23,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-03-04,38.5,38.5,38.5,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-03-11,37.78,37.78,37.78,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2018-03-18,36.12,36.12,36.12,0.0,0.0,36.47,36.47,36.47,0.0,0.0,35.86,35.86,35.86,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2018-03-25,36.37,36.37,36.37,0.0,0.0,36.5,36.5,36.5,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2018-04-01,36.13,36.13,36.13,0.0,0.0,36.57,36.57,36.57,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2018-04-08,36.7,36.7,36.7,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2018-04-15,36.68,36.68,36.68,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2018-04-22,36.55,36.55,36.55,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-04-29,35.81,35.81,35.81,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-05-06,36.51,36.51,36.51,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2018-05-13,36.63,36.63,36.63,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-05-20,36.52,36.52,36.52,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2018-05-27,36.57,36.57,36.57,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-06-03,37.22,37.22,37.22,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.26,37.26,37.26,0.0,0.0
2018-06-10,36.42,36.42,36.42,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.49,36.49,36.49,0.0,0.0
