Date,ProShares UltraShort 20+ Year TreasuryEtf_Open_average,ProShares UltraShort 20+ Year TreasuryEtf_Open_max,ProShares UltraShort 20+ Year TreasuryEtf_Open_min,ProShares UltraShort 20+ Year TreasuryEtf_Open_volatility,ProShares UltraShort 20+ Year TreasuryEtf_Open_change,ProShares UltraShort 20+ Year TreasuryEtf_High_average,ProShares UltraShort 20+ Year TreasuryEtf_High_max,ProShares UltraShort 20+ Year TreasuryEtf_High_min,ProShares UltraShort 20+ Year TreasuryEtf_High_volatility,ProShares UltraShort 20+ Year TreasuryEtf_High_change,ProShares UltraShort 20+ Year TreasuryEtf_Low_average,ProShares UltraShort 20+ Year TreasuryEtf_Low_max,ProShares UltraShort 20+ Year TreasuryEtf_Low_min,ProShares UltraShort 20+ Year TreasuryEtf_Low_volatility,ProShares UltraShort 20+ Year TreasuryEtf_Low_change,ProShares UltraShort 20+ Year TreasuryEtf_Close_average,ProShares UltraShort 20+ Year TreasuryEtf_Close_max,ProShares UltraShort 20+ Year TreasuryEtf_Close_min,ProShares UltraShort 20+ Year TreasuryEtf_Close_volatility,ProShares UltraShort 20+ Year TreasuryEtf_Close_change
2018-01-14,35.73,35.73,35.73,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-01-21,35.45,35.45,35.45,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-01-28,37.54,37.54,37.54,0.0,0.0,38.11,38.11,38.11,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-02-04,38.76,38.76,38.76,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2018-02-11,38.19,38.19,38.19,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2018-02-18,38.97,38.97,38.97,0.0,0.0,39.04,39.04,39.04,0.0,0.0,38.64,38.64,38.64,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2018-02-25,38.19,38.19,38.19,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2018-03-04,38.74,38.74,38.74,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-03-11,37.58,37.58,37.58,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2018-03-18,37.62,37.62,37.62,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2018-03-25,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2018-04-01,36.88,36.88,36.88,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.61,36.61,36.61,0.0,0.0
