Date,UBS E-TRACS Bloomberg CMCI Food_Open_average,UBS E-TRACS Bloomberg CMCI Food_Open_max,UBS E-TRACS Bloomberg CMCI Food_Open_min,UBS E-TRACS Bloomberg CMCI Food_Open_volatility,UBS E-TRACS Bloomberg CMCI Food_Open_change,UBS E-TRACS Bloomberg CMCI Food_High_average,UBS E-TRACS Bloomberg CMCI Food_High_max,UBS E-TRACS Bloomberg CMCI Food_High_min,UBS E-TRACS Bloomberg CMCI Food_High_volatility,UBS E-TRACS Bloomberg CMCI Food_High_change,UBS E-TRACS Bloomberg CMCI Food_Low_average,UBS E-TRACS Bloomberg CMCI Food_Low_max,UBS E-TRACS Bloomberg CMCI Food_Low_min,UBS E-TRACS Bloomberg CMCI Food_Low_volatility,UBS E-TRACS Bloomberg CMCI Food_Low_change,UBS E-TRACS Bloomberg CMCI Food_Close_average,UBS E-TRACS Bloomberg CMCI Food_Close_max,UBS E-TRACS Bloomberg CMCI Food_Close_min,UBS E-TRACS Bloomberg CMCI Food_Close_volatility,UBS E-TRACS Bloomberg CMCI Food_Close_change
2018-01-14,17.78,17.78,17.78,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.78,17.78,17.78,0.0,0.0
2018-01-21,17.82,17.82,17.82,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2018-01-28,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-02-04,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2018-02-11,18.0,18.0,18.0,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2018-02-18,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2018-02-25,18.68,18.68,18.68,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.92,18.92,18.92,0.0,0.0
2018-03-04,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-03-11,18.07,18.07,18.07,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2018-03-18,18.23,18.23,18.23,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2018-03-25,17.8,17.8,17.8,0.0,0.0,18.02,18.02,18.02,0.0,0.0,17.8,17.8,17.8,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2018-04-01,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2018-04-08,18.17,18.17,18.17,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.08,18.08,18.08,0.0,0.0,18.08,18.08,18.08,0.0,0.0
2018-04-15,17.97,17.97,17.97,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.97,17.97,17.97,0.0,0.0
2018-04-22,17.99,17.99,17.99,0.0,0.0,17.99,17.99,17.99,0.0,0.0,17.99,17.99,17.99,0.0,0.0,17.99,17.99,17.99,0.0,0.0
2018-04-29,18.05,18.05,18.05,0.0,0.0,18.05,18.05,18.05,0.0,0.0,18.05,18.05,18.05,0.0,0.0,18.05,18.05,18.05,0.0,0.0
2018-05-06,17.91,17.91,17.91,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.91,17.91,17.91,0.0,0.0
2018-05-13,17.82,17.82,17.82,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2018-05-20,18.1,18.1,18.1,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.1,18.1,18.1,0.0,0.0
2018-05-27,18.38,18.38,18.38,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.34,18.34,18.34,0.0,0.0
2018-06-03,17.43,17.43,17.43,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.5,17.5,17.5,0.0,0.0
