Date,Guggenheim SP High Income InfrastrEtf_Open_average,Guggenheim SP High Income InfrastrEtf_Open_max,Guggenheim SP High Income InfrastrEtf_Open_min,Guggenheim SP High Income InfrastrEtf_Open_volatility,Guggenheim SP High Income InfrastrEtf_Open_change,Guggenheim SP High Income InfrastrEtf_High_average,Guggenheim SP High Income InfrastrEtf_High_max,Guggenheim SP High Income InfrastrEtf_High_min,Guggenheim SP High Income InfrastrEtf_High_volatility,Guggenheim SP High Income InfrastrEtf_High_change,Guggenheim SP High Income InfrastrEtf_Low_average,Guggenheim SP High Income InfrastrEtf_Low_max,Guggenheim SP High Income InfrastrEtf_Low_min,Guggenheim SP High Income InfrastrEtf_Low_volatility,Guggenheim SP High Income InfrastrEtf_Low_change,Guggenheim SP High Income InfrastrEtf_Close_average,Guggenheim SP High Income InfrastrEtf_Close_max,Guggenheim SP High Income InfrastrEtf_Close_min,Guggenheim SP High Income InfrastrEtf_Close_volatility,Guggenheim SP High Income InfrastrEtf_Close_change
2018-01-14,28.08,28.08,28.08,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-01-21,28.43,28.43,28.43,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-01-28,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-02-04,25.46,25.46,25.46,0.0,0.0,25.81,25.81,25.81,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-02-11,26.4,26.4,26.4,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2018-02-18,25.86,25.86,25.86,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.86,25.86,25.86,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-02-25,25.17,25.17,25.17,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2018-03-04,25.63,25.63,25.63,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-03-11,25.56,25.56,25.56,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-03-18,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.31,25.31,25.31,0.0,0.0
2018-03-25,25.32,25.32,25.32,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-04-01,25.56,25.56,25.56,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-04-08,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-04-15,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-04-22,26.01,26.01,26.01,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2018-04-29,26.07,26.07,26.07,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-05-06,26.57,26.57,26.57,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-05-13,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-05-20,26.0,26.0,26.0,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-05-27,26.35,26.35,26.35,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-06-03,26.52,26.52,26.52,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2018-06-10,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-06-17,26.77,26.77,26.77,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.96,26.96,26.96,0.0,0.0
2018-06-24,26.58,26.58,26.58,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2018-07-01,27.14,27.14,27.14,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.27,27.27,27.27,0.0,0.0
