Date,WM_Open_average,WM_Open_max,WM_Open_min,WM_Open_volatility,WM_Open_change,WM_High_average,WM_High_max,WM_High_min,WM_High_volatility,WM_High_change,WM_Low_average,WM_Low_max,WM_Low_min,WM_Low_volatility,WM_Low_change,WM_Close_average,WM_Close_max,WM_Close_min,WM_Close_volatility,WM_Close_change,WM_Volume_average,WM_Volume_max,WM_Volume_min,WM_Volume_volatility,WM_Volume_change
2018-01-14,88.286,88.44,88.1,0.3400000000000034,-0.20999999999999375,88.58800000000001,88.73,88.42,0.3100000000000023,-0.010000000000005116,87.936,88.14,87.66,0.480000000000004,-0.04999999999999716,88.274,88.66,87.96,0.7000000000000028,0.5,1649692,2069163,1497465,571698,-25749
2018-01-21,88.816,89.27,88.47,0.7999999999999972,0.7999999999999972,89.15,89.73,88.73,1.0,0.6499999999999915,88.226,88.57,88.01,0.5599999999999881,0.20999999999999375,88.718,89.71,88.22,1.4899999999999949,-0.37999999999999545,1476243,2162818,1035499,1127319,235124
2018-01-28,87.528,88.47,86.1,2.3700000000000045,-1.6600000000000108,88.068,88.9,86.21,2.690000000000012,-2.3400000000000034,86.188,87.88,81.49,6.390000000000001,-6.170000000000002,86.502,88.43,81.75,6.680000000000007,-6.200000000000003,2269160,4412439,1538435,2874004,2874004
2018-02-04,81.076,81.88,79.91,1.9699999999999989,-0.10999999999999943,82.08,83.47,80.5,2.969999999999999,-1.7399999999999949,79.564,81.63,78.39,3.239999999999995,0.9899999999999949,80.664,81.8,79.12,2.6799999999999926,-1.230000000000004,4289716,5892379,2842171,3050208,-2101038
2018-02-11,82.97,87.13,80.13,7.0,4.0,84.35499999999999,88.0,81.07,6.930000000000007,4.680000000000007,81.695,83.7,80.0,3.700000000000003,3.700000000000003,83.14,85.15,80.79,4.359999999999999,4.359999999999999,3912475,6370581,2719908,3650673,642847
2018-02-18,84.912,85.72,84.37,1.3499999999999943,1.0900000000000034,85.828,86.63,85.3,1.3299999999999983,0.45999999999999375,84.53,85.61,84.06,1.5499999999999972,1.0999999999999943,85.108,86.59,84.09,2.5,1.7199999999999989,2186440,2650939,1555773,1095166,-461090
2018-02-25,86.134,87.38,84.77,2.6099999999999994,-1.289999999999992,86.94,88.26,85.74,2.5200000000000102,-1.730000000000004,85.44,86.66,84.5,2.1599999999999966,-1.9500000000000028,85.966,86.95,85.35,1.6000000000000085,-1.2600000000000051,2965210,3692803,2396811,1295992,-613211
2018-03-04,85.882,87.38,85.12,2.259999999999991,1.4799999999999898,86.382,87.38,85.68,1.6999999999999886,1.4799999999999898,85.438,86.33,84.93,1.3999999999999915,1.0499999999999972,86.048,87.21,85.24,1.9699999999999989,0.8500000000000085,2590003,3401749,1983383,1418366,273065
2018-03-11,86.63,87.2,86.28,0.9200000000000017,-0.6099999999999994,87.01,87.37,86.64,0.730000000000004,-0.5,85.936,86.47,85.42,1.0499999999999972,-0.789999999999992,86.30199999999999,86.66,85.8,0.8599999999999994,-0.8599999999999994,2213455,3659157,1477883,2181274,713536
2018-03-18,85.206,86.41,83.83,2.5799999999999983,-2.0900000000000034,85.73,86.71,84.48,2.2299999999999898,-2.030000000000001,84.358,85.87,82.89,2.980000000000004,-2.6999999999999886,84.692,86.27,82.9,3.3699999999999903,-2.1400000000000006,2076302,2951298,1475865,1475433,520875
2018-03-25,83.875,84.47,83.41,1.0600000000000023,-0.46999999999999886,84.535,84.7,84.1,0.6000000000000085,0.01999999999999602,82.9575,83.48,82.71,0.7700000000000102,-0.010000000000005116,83.5425,84.12,83.18,0.9399999999999977,0.28999999999999204,1962928,2162043,1676224,485819,-107404
2018-04-01,84.732,85.8,83.84,1.9599999999999937,0.8999999999999915,85.506,86.33,84.96,1.3700000000000045,-0.030000000000001137,84.06,85.48,83.47,2.010000000000005,-0.3100000000000023,84.844,86.02,83.59,2.4299999999999926,-1.3299999999999983,2216871,2770009,1784381,985628,208945
2018-04-08,83.648,84.72,82.99,1.730000000000004,-1.2199999999999989,83.878,84.83,83.43,1.3999999999999915,-1.25,82.956,83.88,82.54,1.3399999999999892,-1.0499999999999972,83.282,84.25,82.69,1.5600000000000023,-0.8700000000000045,2436074,2662522,2106670,555852,258750
