Date,First Trust Dorsey Wright International Focus 5_Open_average,First Trust Dorsey Wright International Focus 5_Open_max,First Trust Dorsey Wright International Focus 5_Open_min,First Trust Dorsey Wright International Focus 5_Open_volatility,First Trust Dorsey Wright International Focus 5_Open_change,First Trust Dorsey Wright International Focus 5_High_average,First Trust Dorsey Wright International Focus 5_High_max,First Trust Dorsey Wright International Focus 5_High_min,First Trust Dorsey Wright International Focus 5_High_volatility,First Trust Dorsey Wright International Focus 5_High_change,First Trust Dorsey Wright International Focus 5_Low_average,First Trust Dorsey Wright International Focus 5_Low_max,First Trust Dorsey Wright International Focus 5_Low_min,First Trust Dorsey Wright International Focus 5_Low_volatility,First Trust Dorsey Wright International Focus 5_Low_change,First Trust Dorsey Wright International Focus 5_Close_average,First Trust Dorsey Wright International Focus 5_Close_max,First Trust Dorsey Wright International Focus 5_Close_min,First Trust Dorsey Wright International Focus 5_Close_volatility,First Trust Dorsey Wright International Focus 5_Close_change
2018-01-14,23.76,23.76,23.76,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2018-01-21,24.04,24.04,24.04,0.0,0.0,24.24,24.24,24.24,0.0,0.0,23.98,23.98,23.98,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2018-01-28,23.64,23.64,23.64,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.11,23.11,23.11,0.0,0.0
2018-02-04,21.84,21.84,21.84,0.0,0.0,22.0,22.0,22.0,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2018-02-11,22.91,22.91,22.91,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.9,22.9,22.9,0.0,0.0
2018-02-18,22.85,22.85,22.85,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2018-02-25,21.9,21.9,21.9,0.0,0.0,22.25,22.25,22.25,0.0,0.0,21.83,21.83,21.83,0.0,0.0,22.22,22.22,22.22,0.0,0.0
2018-03-04,22.62,22.62,22.62,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.75,22.75,22.75,0.0,0.0
2018-03-11,22.71,22.71,22.71,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2018-03-18,22.13,22.13,22.13,0.0,0.0,22.13,22.13,22.13,0.0,0.0,21.79,21.79,21.79,0.0,0.0,21.79,21.79,21.79,0.0,0.0
