Date,Direxion Daily Russia Bear 3X Shares_etf_Open_average,Direxion Daily Russia Bear 3X Shares_etf_Open_max,Direxion Daily Russia Bear 3X Shares_etf_Open_min,Direxion Daily Russia Bear 3X Shares_etf_Open_volatility,Direxion Daily Russia Bear 3X Shares_etf_Open_change,Direxion Daily Russia Bear 3X Shares_etf_High_average,Direxion Daily Russia Bear 3X Shares_etf_High_max,Direxion Daily Russia Bear 3X Shares_etf_High_min,Direxion Daily Russia Bear 3X Shares_etf_High_volatility,Direxion Daily Russia Bear 3X Shares_etf_High_change,Direxion Daily Russia Bear 3X Shares_etf_Low_average,Direxion Daily Russia Bear 3X Shares_etf_Low_max,Direxion Daily Russia Bear 3X Shares_etf_Low_min,Direxion Daily Russia Bear 3X Shares_etf_Low_volatility,Direxion Daily Russia Bear 3X Shares_etf_Low_change,Direxion Daily Russia Bear 3X Shares_etf_Close_average,Direxion Daily Russia Bear 3X Shares_etf_Close_max,Direxion Daily Russia Bear 3X Shares_etf_Close_min,Direxion Daily Russia Bear 3X Shares_etf_Close_volatility,Direxion Daily Russia Bear 3X Shares_etf_Close_change
2018-01-14,17.24,17.24,17.24,0.0,0.0,17.24,17.24,17.24,0.0,0.0,16.9,16.9,16.9,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2018-01-21,16.38,16.38,16.38,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.42,16.42,16.42,0.0,0.0
2018-01-28,16.98,16.98,16.98,0.0,0.0,17.7,17.7,17.7,0.0,0.0,16.94,16.94,16.94,0.0,0.0,17.7,17.7,17.7,0.0,0.0
2018-02-04,20.45,20.45,20.45,0.0,0.0,22.88,22.88,22.88,0.0,0.0,20.09,20.09,20.09,0.0,0.0,20.79,20.79,20.79,0.0,0.0
2018-02-11,16.99,16.99,16.99,0.0,0.0,17.27,17.27,17.27,0.0,0.0,16.55,16.55,16.55,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2018-02-18,15.82,15.82,15.82,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.58,15.58,15.58,0.0,0.0
2018-02-25,17.37,17.37,17.37,0.0,0.0,17.73,17.73,17.73,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.44,16.44,16.44,0.0,0.0
2018-03-04,16.32,16.32,16.32,0.0,0.0,16.4,16.4,16.4,0.0,0.0,15.88,15.88,15.88,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-03-11,17.65,17.65,17.65,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.28,17.28,17.28,0.0,0.0
2018-03-18,17.08,17.08,17.08,0.0,0.0,17.8,17.8,17.8,0.0,0.0,16.97,16.97,16.97,0.0,0.0,17.75,17.75,17.75,0.0,0.0
2018-03-25,17.94,17.94,17.94,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2018-04-01,17.08,17.08,17.08,0.0,0.0,18.12,18.12,18.12,0.0,0.0,16.81,16.81,16.81,0.0,0.0,17.95,17.95,17.95,0.0,0.0
2018-04-08,21.59,21.59,21.59,0.0,0.0,22.54,22.54,22.54,0.0,0.0,21.58,21.58,21.58,0.0,0.0,22.29,22.29,22.29,0.0,0.0
2018-04-15,19.62,19.62,19.62,0.0,0.0,20.37,20.37,20.37,0.0,0.0,19.54,19.54,19.54,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2018-04-22,19.36,19.36,19.36,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2018-04-29,20.59,20.59,20.59,0.0,0.0,20.59,20.59,20.59,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2018-05-06,18.04,18.04,18.04,0.0,0.0,18.75,18.75,18.75,0.0,0.0,17.91,17.91,17.91,0.0,0.0,18.58,18.58,18.58,0.0,0.0
