Date,VelocityShares 3x Inverse Silver linked to S&P GSC_Open_average,VelocityShares 3x Inverse Silver linked to S&P GSC_Open_max,VelocityShares 3x Inverse Silver linked to S&P GSC_Open_min,VelocityShares 3x Inverse Silver linked to S&P GSC_Open_volatility,VelocityShares 3x Inverse Silver linked to S&P GSC_Open_change,VelocityShares 3x Inverse Silver linked to S&P GSC_High_average,VelocityShares 3x Inverse Silver linked to S&P GSC_High_max,VelocityShares 3x Inverse Silver linked to S&P GSC_High_min,VelocityShares 3x Inverse Silver linked to S&P GSC_High_volatility,VelocityShares 3x Inverse Silver linked to S&P GSC_High_change,VelocityShares 3x Inverse Silver linked to S&P GSC_Low_average,VelocityShares 3x Inverse Silver linked to S&P GSC_Low_max,VelocityShares 3x Inverse Silver linked to S&P GSC_Low_min,VelocityShares 3x Inverse Silver linked to S&P GSC_Low_volatility,VelocityShares 3x Inverse Silver linked to S&P GSC_Low_change,VelocityShares 3x Inverse Silver linked to S&P GSC_Close_average,VelocityShares 3x Inverse Silver linked to S&P GSC_Close_max,VelocityShares 3x Inverse Silver linked to S&P GSC_Close_min,VelocityShares 3x Inverse Silver linked to S&P GSC_Close_volatility,VelocityShares 3x Inverse Silver linked to S&P GSC_Close_change
2018-01-14,23.38,23.38,23.38,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2018-01-21,21.95,21.95,21.95,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.79,21.79,21.79,0.0,0.0
2018-01-28,23.51,23.51,23.51,0.0,0.0,25.22,25.22,25.22,0.0,0.0,23.5,23.5,23.5,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2018-02-04,26.4,26.4,26.4,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2018-02-11,24.01,24.01,24.01,0.0,0.0,24.7,24.7,24.7,0.0,0.0,23.76,23.76,23.76,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-02-18,24.96,24.96,24.96,0.0,0.0,25.28,25.28,25.28,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2018-02-25,24.98,24.98,24.98,0.0,0.0,25.58,25.58,25.58,0.0,0.0,24.89,24.89,24.89,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-03-04,25.39,25.39,25.39,0.0,0.0,25.56,25.56,25.56,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2018-03-11,25.63,25.63,25.63,0.0,0.0,26.57,26.57,26.57,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-03-18,24.46,24.46,24.46,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.97,24.97,24.97,0.0,0.0
2018-03-25,26.4,26.4,26.4,0.0,0.0,26.43,26.43,26.43,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-04-01,25.1,25.1,25.1,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2018-04-08,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2018-04-15,22.05,22.05,22.05,0.0,0.0,22.16,22.16,22.16,0.0,0.0,21.78,21.78,21.78,0.0,0.0,22.09,22.09,22.09,0.0,0.0
2018-04-22,24.6,24.6,24.6,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2018-04-29,25.13,25.13,25.13,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.59,24.59,24.59,0.0,0.0
2018-05-06,23.18,23.18,23.18,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2018-05-13,24.97,24.97,24.97,0.0,0.0,25.09,25.09,25.09,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-05-20,23.83,23.83,23.83,0.0,0.0,24.47,24.47,24.47,0.0,0.0,23.82,23.82,23.82,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-05-27,24.87,24.87,24.87,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-06-03,23.08,23.08,23.08,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.03,23.03,23.03,0.0,0.0,23.21,23.21,23.21,0.0,0.0
2018-06-10,22.39,22.39,22.39,0.0,0.0,24.25,24.25,24.25,0.0,0.0,22.39,22.39,22.39,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2018-06-17,24.65,24.65,24.65,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2018-06-24,26.43,26.43,26.43,0.0,0.0,26.61,26.61,26.61,0.0,0.0,25.67,25.67,25.67,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-07-01,26.53,26.53,26.53,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-07-08,27.41,27.41,27.41,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2018-07-15,29.44,29.44,29.44,0.0,0.0,29.65,29.65,29.65,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2018-07-22,29.11,29.11,29.11,0.0,0.0,29.22,29.22,29.22,0.0,0.0,28.75,28.75,28.75,0.0,0.0,29.02,29.02,29.02,0.0,0.0
