Date,WisdomTree MidCap Earnings_etf_Open_average,WisdomTree MidCap Earnings_etf_Open_max,WisdomTree MidCap Earnings_etf_Open_min,WisdomTree MidCap Earnings_etf_Open_volatility,WisdomTree MidCap Earnings_etf_Open_change,WisdomTree MidCap Earnings_etf_High_average,WisdomTree MidCap Earnings_etf_High_max,WisdomTree MidCap Earnings_etf_High_min,WisdomTree MidCap Earnings_etf_High_volatility,WisdomTree MidCap Earnings_etf_High_change,WisdomTree MidCap Earnings_etf_Low_average,WisdomTree MidCap Earnings_etf_Low_max,WisdomTree MidCap Earnings_etf_Low_min,WisdomTree MidCap Earnings_etf_Low_volatility,WisdomTree MidCap Earnings_etf_Low_change,WisdomTree MidCap Earnings_etf_Close_average,WisdomTree MidCap Earnings_etf_Close_max,WisdomTree MidCap Earnings_etf_Close_min,WisdomTree MidCap Earnings_etf_Close_volatility,WisdomTree MidCap Earnings_etf_Close_change
2018-01-14,40.77,40.77,40.77,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.77,40.77,40.77,0.0,0.0,41.34,41.34,41.34,0.0,0.0
2018-01-21,41.6,41.6,41.6,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2018-01-28,40.56,40.56,40.56,0.0,0.0,40.56,40.56,40.56,0.0,0.0,39.89,39.89,39.89,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2018-02-04,38.12,38.12,38.12,0.0,0.0,38.43,38.43,38.43,0.0,0.0,37.14,37.14,37.14,0.0,0.0,38.11,38.11,38.11,0.0,0.0
2018-02-11,39.48,39.48,39.48,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2018-02-18,39.28,39.28,39.28,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2018-02-25,38.22,38.22,38.22,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.03,38.03,38.03,0.0,0.0,38.86,38.86,38.86,0.0,0.0
2018-03-04,39.76,39.76,39.76,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.69,39.69,39.69,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2018-03-11,39.64,39.64,39.64,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2018-03-18,38.53,38.53,38.53,0.0,0.0,38.66,38.66,38.66,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-03-25,38.26,38.26,38.26,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2018-04-01,38.73,38.73,38.73,0.0,0.0,38.95,38.95,38.95,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.29,38.29,38.29,0.0,0.0
2018-04-08,38.94,38.94,38.94,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-04-15,39.1,39.1,39.1,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.93,38.93,38.93,0.0,0.0
2018-04-22,38.89,38.89,38.89,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2018-04-29,38.15,38.15,38.15,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-05-06,39.49,39.49,39.49,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2018-05-13,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2018-05-20,39.88,39.88,39.88,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.94,39.94,39.94,0.0,0.0
2018-05-27,40.14,40.14,40.14,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.05,40.05,40.05,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2018-06-03,40.9,40.9,40.9,0.0,0.0,41.17,41.17,41.17,0.0,0.0,40.88,40.88,40.88,0.0,0.0,41.17,41.17,41.17,0.0,0.0
2018-06-10,40.88,40.88,40.88,0.0,0.0,41.18,41.18,41.18,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2018-06-17,41.31,41.31,41.31,0.0,0.0,41.41,41.41,41.41,0.0,0.0,40.99,40.99,40.99,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-06-24,40.36,40.36,40.36,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.17,40.17,40.17,0.0,0.0
2018-07-01,40.65,40.65,40.65,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2018-07-08,41.01,41.01,41.01,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-07-15,41.37,41.37,41.37,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.25,41.25,41.25,0.0,0.0
