Date,First Trust Emerging Markets Local Currency BondEtf_Open_average,First Trust Emerging Markets Local Currency BondEtf_Open_max,First Trust Emerging Markets Local Currency BondEtf_Open_min,First Trust Emerging Markets Local Currency BondEtf_Open_volatility,First Trust Emerging Markets Local Currency BondEtf_Open_change,First Trust Emerging Markets Local Currency BondEtf_High_average,First Trust Emerging Markets Local Currency BondEtf_High_max,First Trust Emerging Markets Local Currency BondEtf_High_min,First Trust Emerging Markets Local Currency BondEtf_High_volatility,First Trust Emerging Markets Local Currency BondEtf_High_change,First Trust Emerging Markets Local Currency BondEtf_Low_average,First Trust Emerging Markets Local Currency BondEtf_Low_max,First Trust Emerging Markets Local Currency BondEtf_Low_min,First Trust Emerging Markets Local Currency BondEtf_Low_volatility,First Trust Emerging Markets Local Currency BondEtf_Low_change,First Trust Emerging Markets Local Currency BondEtf_Close_average,First Trust Emerging Markets Local Currency BondEtf_Close_max,First Trust Emerging Markets Local Currency BondEtf_Close_min,First Trust Emerging Markets Local Currency BondEtf_Close_volatility,First Trust Emerging Markets Local Currency BondEtf_Close_change
2018-01-14,43.43,43.43,43.43,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-01-21,43.91,43.91,43.91,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2018-01-28,43.76,43.76,43.76,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2018-02-04,42.65,42.65,42.65,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.85,42.85,42.85,0.0,0.0
2018-02-11,43.41,43.41,43.41,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2018-02-18,43.25,43.25,43.25,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-02-25,42.71,42.71,42.71,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-03-04,42.96,42.96,42.96,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2018-03-11,42.71,42.71,42.71,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2018-03-18,42.9,42.9,42.9,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.85,42.85,42.85,0.0,0.0
2018-03-25,42.93,42.93,42.93,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-04-01,42.92,42.92,42.92,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2018-04-08,42.93,42.93,42.93,0.0,0.0,42.94,42.94,42.94,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-04-15,42.72,42.72,42.72,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2018-04-22,41.94,41.94,41.94,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.65,41.65,41.65,0.0,0.0
2018-04-29,40.87,40.87,40.87,0.0,0.0,40.87,40.87,40.87,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2018-05-06,40.73,40.73,40.73,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.56,40.56,40.56,0.0,0.0
2018-05-13,39.4,39.4,39.4,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2018-05-20,39.1,39.1,39.1,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.15,39.15,39.15,0.0,0.0
