Date,PowerShares Dynamic PharmaceuticalsEtf_Open_average,PowerShares Dynamic PharmaceuticalsEtf_Open_max,PowerShares Dynamic PharmaceuticalsEtf_Open_min,PowerShares Dynamic PharmaceuticalsEtf_Open_volatility,PowerShares Dynamic PharmaceuticalsEtf_Open_change,PowerShares Dynamic PharmaceuticalsEtf_High_average,PowerShares Dynamic PharmaceuticalsEtf_High_max,PowerShares Dynamic PharmaceuticalsEtf_High_min,PowerShares Dynamic PharmaceuticalsEtf_High_volatility,PowerShares Dynamic PharmaceuticalsEtf_High_change,PowerShares Dynamic PharmaceuticalsEtf_Low_average,PowerShares Dynamic PharmaceuticalsEtf_Low_max,PowerShares Dynamic PharmaceuticalsEtf_Low_min,PowerShares Dynamic PharmaceuticalsEtf_Low_volatility,PowerShares Dynamic PharmaceuticalsEtf_Low_change,PowerShares Dynamic PharmaceuticalsEtf_Close_average,PowerShares Dynamic PharmaceuticalsEtf_Close_max,PowerShares Dynamic PharmaceuticalsEtf_Close_min,PowerShares Dynamic PharmaceuticalsEtf_Close_volatility,PowerShares Dynamic PharmaceuticalsEtf_Close_change
2018-01-14,68.61,68.61,68.61,0.0,0.0,68.7,68.7,68.7,0.0,0.0,68.28,68.28,68.28,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2018-01-21,69.92,69.92,69.92,0.0,0.0,70.83,70.83,70.83,0.0,0.0,69.92,69.92,69.92,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-01-28,67.95,67.95,67.95,0.0,0.0,68.45,68.45,68.45,0.0,0.0,67.28,67.28,67.28,0.0,0.0,67.28,67.28,67.28,0.0,0.0
2018-02-04,63.31,63.31,63.31,0.0,0.0,63.81,63.81,63.81,0.0,0.0,60.97,60.97,60.97,0.0,0.0,63.27,63.27,63.27,0.0,0.0
2018-02-11,66.45,66.45,66.45,0.0,0.0,67.18,67.18,67.18,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2018-02-18,65.73,65.73,65.73,0.0,0.0,66.07,66.07,66.07,0.0,0.0,65.17,65.17,65.17,0.0,0.0,66.07,66.07,66.07,0.0,0.0
2018-02-25,62.4,62.4,62.4,0.0,0.0,63.87,63.87,63.87,0.0,0.0,62.4,62.4,62.4,0.0,0.0,63.73,63.73,63.73,0.0,0.0
2018-03-04,65.45,65.45,65.45,0.0,0.0,66.15,66.15,66.15,0.0,0.0,65.05,65.05,65.05,0.0,0.0,66.11,66.11,66.11,0.0,0.0
2018-03-11,65.28,65.28,65.28,0.0,0.0,65.94,65.94,65.94,0.0,0.0,65.27,65.27,65.27,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2018-03-18,62.64,62.64,62.64,0.0,0.0,62.71,62.71,62.71,0.0,0.0,61.29,61.29,61.29,0.0,0.0,61.3,61.3,61.3,0.0,0.0
2018-03-25,62.08,62.08,62.08,0.0,0.0,62.8,62.8,62.8,0.0,0.0,61.61,61.61,61.61,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-04-01,61.46,61.46,61.46,0.0,0.0,61.88,61.88,61.88,0.0,0.0,60.21,60.21,60.21,0.0,0.0,60.68,60.68,60.68,0.0,0.0
2018-04-08,63.0,63.0,63.0,0.0,0.0,63.0,63.0,63.0,0.0,0.0,62.18,62.18,62.18,0.0,0.0,62.49,62.49,62.49,0.0,0.0
2018-04-15,62.85,62.85,62.85,0.0,0.0,63.04,63.04,63.04,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.49,62.49,62.49,0.0,0.0
2018-04-22,62.46,62.46,62.46,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.62,62.62,62.62,0.0,0.0
2018-04-29,59.97,59.97,59.97,0.0,0.0,61.01,61.01,61.01,0.0,0.0,59.85,59.85,59.85,0.0,0.0,60.72,60.72,60.72,0.0,0.0
2018-05-06,61.87,61.87,61.87,0.0,0.0,63.79,63.79,63.79,0.0,0.0,61.87,61.87,61.87,0.0,0.0,63.69,63.69,63.69,0.0,0.0
2018-05-13,64.98,64.98,64.98,0.0,0.0,65.16,65.16,65.16,0.0,0.0,64.79,64.79,64.79,0.0,0.0,65.03,65.03,65.03,0.0,0.0
2018-05-20,64.54,64.54,64.54,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.62,64.62,64.62,0.0,0.0
2018-05-27,65.09,65.09,65.09,0.0,0.0,65.54,65.54,65.54,0.0,0.0,64.91,64.91,64.91,0.0,0.0,65.41,65.41,65.41,0.0,0.0
2018-06-03,67.21,67.21,67.21,0.0,0.0,68.23,68.23,68.23,0.0,0.0,67.2,67.2,67.2,0.0,0.0,68.05,68.05,68.05,0.0,0.0
2018-06-10,68.36,68.36,68.36,0.0,0.0,68.77,68.77,68.77,0.0,0.0,68.29,68.29,68.29,0.0,0.0,68.76,68.76,68.76,0.0,0.0
2018-06-17,68.45,68.45,68.45,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.11,68.11,68.11,0.0,0.0,68.17,68.17,68.17,0.0,0.0
2018-06-24,67.54,67.54,67.54,0.0,0.0,67.86,67.86,67.86,0.0,0.0,67.21,67.21,67.21,0.0,0.0,67.21,67.21,67.21,0.0,0.0
2018-07-01,68.65,68.65,68.65,0.0,0.0,70.0,70.0,70.0,0.0,0.0,68.65,68.65,68.65,0.0,0.0,69.96,69.96,69.96,0.0,0.0
2018-07-08,70.52,70.52,70.52,0.0,0.0,70.86,70.86,70.86,0.0,0.0,70.51,70.51,70.51,0.0,0.0,70.51,70.51,70.51,0.0,0.0
2018-07-15,70.06,70.06,70.06,0.0,0.0,70.25,70.25,70.25,0.0,0.0,69.99,69.99,69.99,0.0,0.0,69.99,69.99,69.99,0.0,0.0
2018-07-22,70.77,70.77,70.77,0.0,0.0,70.77,70.77,70.77,0.0,0.0,69.53,69.53,69.53,0.0,0.0,69.71,69.71,69.71,0.0,0.0
2018-07-29,70.88,70.88,70.88,0.0,0.0,71.51,71.51,71.51,0.0,0.0,70.88,70.88,70.88,0.0,0.0,71.46,71.46,71.46,0.0,0.0
2018-08-05,72.01,72.01,72.01,0.0,0.0,72.58,72.58,72.58,0.0,0.0,71.92,71.92,71.92,0.0,0.0,72.08,72.08,72.08,0.0,0.0
2018-08-12,72.61,72.61,72.61,0.0,0.0,73.14,73.14,73.14,0.0,0.0,72.2,72.2,72.2,0.0,0.0,72.96,72.96,72.96,0.0,0.0
2018-08-19,73.19,73.19,73.19,0.0,0.0,73.2,73.2,73.2,0.0,0.0,72.96,72.96,72.96,0.0,0.0,73.13,73.13,73.13,0.0,0.0
