Date,Vanguard Russell 2000 Growth_Open_average,Vanguard Russell 2000 Growth_Open_max,Vanguard Russell 2000 Growth_Open_min,Vanguard Russell 2000 Growth_Open_volatility,Vanguard Russell 2000 Growth_Open_change,Vanguard Russell 2000 Growth_High_average,Vanguard Russell 2000 Growth_High_max,Vanguard Russell 2000 Growth_High_min,Vanguard Russell 2000 Growth_High_volatility,Vanguard Russell 2000 Growth_High_change,Vanguard Russell 2000 Growth_Low_average,Vanguard Russell 2000 Growth_Low_max,Vanguard Russell 2000 Growth_Low_min,Vanguard Russell 2000 Growth_Low_volatility,Vanguard Russell 2000 Growth_Low_change,Vanguard Russell 2000 Growth_Close_average,Vanguard Russell 2000 Growth_Close_max,Vanguard Russell 2000 Growth_Close_min,Vanguard Russell 2000 Growth_Close_volatility,Vanguard Russell 2000 Growth_Close_change
2018-01-14,141.51,141.51,141.51,0.0,0.0,142.4,142.4,142.4,0.0,0.0,141.29,141.29,141.29,0.0,0.0,142.35,142.35,142.35,0.0,0.0
2018-01-21,143.19,143.19,143.19,0.0,0.0,143.76,143.76,143.76,0.0,0.0,142.89,142.89,142.89,0.0,0.0,143.03,143.03,143.03,0.0,0.0
2018-01-28,137.0,137.0,137.0,0.0,0.0,138.2,138.2,138.2,0.0,0.0,132.92,132.92,132.92,0.0,0.0,133.06,133.06,133.06,0.0,0.0
2018-02-04,131.93,131.93,131.93,0.0,0.0,133.48,133.48,133.48,0.0,0.0,130.68,130.68,130.68,0.0,0.0,133.05,133.05,133.05,0.0,0.0
2018-02-11,137.61,137.61,137.61,0.0,0.0,138.94,138.94,138.94,0.0,0.0,137.61,137.61,137.61,0.0,0.0,138.39,138.39,138.39,0.0,0.0
2018-02-18,139.89,139.89,139.89,0.0,0.0,140.62,140.62,140.62,0.0,0.0,139.02,139.02,139.02,0.0,0.0,140.31,140.31,140.31,0.0,0.0
2018-02-25,137.98,137.98,137.98,0.0,0.0,140.0,140.0,140.0,0.0,0.0,137.98,137.98,137.98,0.0,0.0,139.64,139.64,139.64,0.0,0.0
2018-03-04,145.81,145.81,145.81,0.0,0.0,145.88,145.88,145.88,0.0,0.0,145.1,145.1,145.1,0.0,0.0,145.53,145.53,145.53,0.0,0.0
2018-03-11,143.93,143.93,143.93,0.0,0.0,143.93,143.93,143.93,0.0,0.0,140.74,140.74,140.74,0.0,0.0,142.35,142.35,142.35,0.0,0.0
2018-03-18,139.41,139.41,139.41,0.0,0.0,140.33,140.33,140.33,0.0,0.0,137.67,137.67,137.67,0.0,0.0,140.33,140.33,140.33,0.0,0.0
2018-03-25,138.24,138.24,138.24,0.0,0.0,138.24,138.24,138.24,0.0,0.0,134.0,134.0,134.0,0.0,0.0,134.79,134.79,134.79,0.0,0.0
2018-04-01,137.7,137.7,137.7,0.0,0.0,138.67,138.67,138.67,0.0,0.0,137.7,137.7,137.7,0.0,0.0,138.2,138.2,138.2,0.0,0.0
2018-04-08,141.13,141.13,141.13,0.0,0.0,141.45,141.45,141.45,0.0,0.0,140.42,140.42,140.42,0.0,0.0,141.45,141.45,141.45,0.0,0.0
2018-04-15,141.76,141.76,141.76,0.0,0.0,141.76,141.76,141.76,0.0,0.0,140.58,140.58,140.58,0.0,0.0,140.91,140.91,140.91,0.0,0.0
2018-04-22,140.25,140.25,140.25,0.0,0.0,140.41,140.41,140.41,0.0,0.0,138.72,138.72,138.72,0.0,0.0,138.72,138.72,138.72,0.0,0.0
2018-04-29,141.5,141.5,141.5,0.0,0.0,142.72,142.72,142.72,0.0,0.0,141.5,141.5,141.5,0.0,0.0,142.31,142.31,142.31,0.0,0.0
2018-05-06,145.46,145.46,145.46,0.0,0.0,146.01,146.01,146.01,0.0,0.0,144.42,144.42,144.42,0.0,0.0,144.5,144.5,144.5,0.0,0.0
2018-05-13,147.52,147.52,147.52,0.0,0.0,148.0,148.0,148.0,0.0,0.0,147.15,147.15,147.15,0.0,0.0,147.42,147.42,147.42,0.0,0.0
