Date,iShares Long-Term Corporate Bond_Open_average,iShares Long-Term Corporate Bond_Open_max,iShares Long-Term Corporate Bond_Open_min,iShares Long-Term Corporate Bond_Open_volatility,iShares Long-Term Corporate Bond_Open_change,iShares Long-Term Corporate Bond_High_average,iShares Long-Term Corporate Bond_High_max,iShares Long-Term Corporate Bond_High_min,iShares Long-Term Corporate Bond_High_volatility,iShares Long-Term Corporate Bond_High_change,iShares Long-Term Corporate Bond_Low_average,iShares Long-Term Corporate Bond_Low_max,iShares Long-Term Corporate Bond_Low_min,iShares Long-Term Corporate Bond_Low_volatility,iShares Long-Term Corporate Bond_Low_change,iShares Long-Term Corporate Bond_Close_average,iShares Long-Term Corporate Bond_Close_max,iShares Long-Term Corporate Bond_Close_min,iShares Long-Term Corporate Bond_Close_volatility,iShares Long-Term Corporate Bond_Close_change
2018-01-14,62.25,62.25,62.25,0.0,0.0,62.26,62.26,62.26,0.0,0.0,62.01,62.01,62.01,0.0,0.0,62.05,62.05,62.05,0.0,0.0
2018-01-21,62.41,62.41,62.41,0.0,0.0,62.47,62.47,62.47,0.0,0.0,62.2,62.2,62.2,0.0,0.0,62.46,62.46,62.46,0.0,0.0
2018-01-28,60.97,60.97,60.97,0.0,0.0,61.56,61.56,61.56,0.0,0.0,60.8,60.8,60.8,0.0,0.0,61.32,61.32,61.32,0.0,0.0
2018-02-04,60.14,60.14,60.14,0.0,0.0,60.3,60.3,60.3,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2018-02-11,60.25,60.25,60.25,0.0,0.0,60.32,60.32,60.32,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-02-18,60.21,60.21,60.21,0.0,0.0,60.28,60.28,60.28,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2018-02-25,59.53,59.53,59.53,0.0,0.0,59.53,59.53,59.53,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.4,59.4,59.4,0.0,0.0
2018-03-04,59.41,59.41,59.41,0.0,0.0,59.57,59.57,59.57,0.0,0.0,59.37,59.37,59.37,0.0,0.0,59.54,59.54,59.54,0.0,0.0
2018-03-11,59.59,59.59,59.59,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.62,59.62,59.62,0.0,0.0
2018-03-18,59.47,59.47,59.47,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.35,59.35,59.35,0.0,0.0
2018-03-25,59.9,59.9,59.9,0.0,0.0,60.14,60.14,60.14,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-04-01,59.97,59.97,59.97,0.0,0.0,60.17,60.17,60.17,0.0,0.0,59.9,59.9,59.9,0.0,0.0,60.12,60.12,60.12,0.0,0.0
2018-04-08,59.9,59.9,59.9,0.0,0.0,60.07,60.07,60.07,0.0,0.0,59.79,59.79,59.79,0.0,0.0,60.04,60.04,60.04,0.0,0.0
2018-04-15,58.83,58.83,58.83,0.0,0.0,58.91,58.91,58.91,0.0,0.0,58.75,58.75,58.75,0.0,0.0,58.82,58.82,58.82,0.0,0.0
2018-04-22,58.75,58.75,58.75,0.0,0.0,58.83,58.83,58.83,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.64,58.64,58.64,0.0,0.0
2018-04-29,58.11,58.11,58.11,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-05-06,58.54,58.54,58.54,0.0,0.0,58.57,58.57,58.57,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-05-13,57.69,57.69,57.69,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.77,57.77,57.77,0.0,0.0
2018-05-20,58.43,58.43,58.43,0.0,0.0,58.54,58.54,58.54,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2018-05-27,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2018-06-03,57.77,57.77,57.77,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.71,57.71,57.71,0.0,0.0,57.8,57.8,57.8,0.0,0.0
2018-06-10,58.19,58.19,58.19,0.0,0.0,58.19,58.19,58.19,0.0,0.0,57.94,57.94,57.94,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2018-06-17,57.66,57.66,57.66,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.32,57.32,57.32,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2018-06-24,57.78,57.78,57.78,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2018-07-01,58.45,58.45,58.45,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2018-07-08,59.01,59.01,59.01,0.0,0.0,59.01,59.01,59.01,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2018-07-15,58.3,58.3,58.3,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.04,58.04,58.04,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2018-07-22,58.62,58.62,58.62,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2018-07-29,58.76,58.76,58.76,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.71,58.71,58.71,0.0,0.0
2018-08-05,58.39,58.39,58.39,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2018-08-12,59.09,59.09,59.09,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.09,59.09,59.09,0.0,0.0,59.17,59.17,59.17,0.0,0.0
2018-08-19,58.95,58.95,58.95,0.0,0.0,58.98,58.98,58.98,0.0,0.0,58.89,58.89,58.89,0.0,0.0,58.91,58.91,58.91,0.0,0.0
2018-08-26,58.82,58.82,58.82,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.52,58.52,58.52,0.0,0.0
2018-09-02,57.91,57.91,57.91,0.0,0.0,58.13,58.13,58.13,0.0,0.0,57.91,57.91,57.91,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-09-09,58.1,58.1,58.1,0.0,0.0,58.29,58.29,58.29,0.0,0.0,58.1,58.1,58.1,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2018-09-16,57.84,57.84,57.84,0.0,0.0,58.02,58.02,58.02,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2018-09-23,57.95,57.95,57.95,0.0,0.0,58.02,58.02,58.02,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.8,57.8,57.8,0.0,0.0
2018-09-30,56.61,56.61,56.61,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-10-07,56.94,56.94,56.94,0.0,0.0,56.97,56.97,56.97,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.78,56.78,56.78,0.0,0.0
2018-10-14,56.63,56.63,56.63,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2018-10-21,56.47,56.47,56.47,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.29,56.29,56.29,0.0,0.0
2018-10-28,55.5,55.5,55.5,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2018-11-04,56.04,56.04,56.04,0.0,0.0,56.08,56.08,56.08,0.0,0.0,55.82,55.82,55.82,0.0,0.0,55.89,55.89,55.89,0.0,0.0
2018-11-11,55.28,55.28,55.28,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.13,55.13,55.13,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2018-11-18,55.49,55.49,55.49,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2018-11-25,55.09,55.09,55.09,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.27,55.27,55.27,0.0,0.0
2018-12-02,55.82,55.82,55.82,0.0,0.0,55.83,55.83,55.83,0.0,0.0,55.62,55.62,55.62,0.0,0.0,55.83,55.83,55.83,0.0,0.0
2018-12-09,56.39,56.39,56.39,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.43,56.43,56.43,0.0,0.0
2018-12-16,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0,55.9,55.9,55.9,0.0,0.0,55.9,55.9,55.9,0.0,0.0
2018-12-23,56.11,56.11,56.11,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.11,56.11,56.11,0.0,0.0,56.3,56.3,56.3,0.0,0.0
