Date,SPDR S&P North American Natural Resources_Open_average,SPDR S&P North American Natural Resources_Open_max,SPDR S&P North American Natural Resources_Open_min,SPDR S&P North American Natural Resources_Open_volatility,SPDR S&P North American Natural Resources_Open_change,SPDR S&P North American Natural Resources_High_average,SPDR S&P North American Natural Resources_High_max,SPDR S&P North American Natural Resources_High_min,SPDR S&P North American Natural Resources_High_volatility,SPDR S&P North American Natural Resources_High_change,SPDR S&P North American Natural Resources_Low_average,SPDR S&P North American Natural Resources_Low_max,SPDR S&P North American Natural Resources_Low_min,SPDR S&P North American Natural Resources_Low_volatility,SPDR S&P North American Natural Resources_Low_change,SPDR S&P North American Natural Resources_Close_average,SPDR S&P North American Natural Resources_Close_max,SPDR S&P North American Natural Resources_Close_min,SPDR S&P North American Natural Resources_Close_volatility,SPDR S&P North American Natural Resources_Close_change
2018-01-14,36.78,36.78,36.78,0.0,0.0,37.16,37.16,37.16,0.0,0.0,36.78,36.78,36.78,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-01-21,37.41,37.41,37.41,0.0,0.0,37.44,37.44,37.44,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2018-01-28,34.92,34.92,34.92,0.0,0.0,35.28,35.28,35.28,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-02-04,33.54,33.54,33.54,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.67,33.67,33.67,0.0,0.0
2018-02-11,34.33,34.33,34.33,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-02-18,34.55,34.55,34.55,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2018-02-25,33.26,33.26,33.26,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2018-03-04,33.65,33.65,33.65,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-03-11,33.42,33.42,33.42,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-03-18,33.64,33.64,33.64,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2018-03-25,33.46,33.46,33.46,0.0,0.0,33.48,33.48,33.48,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-04-01,33.62,33.62,33.62,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-04-08,35.34,35.34,35.34,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2018-04-15,35.57,35.57,35.57,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-04-22,35.43,35.43,35.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.16,35.16,35.16,0.0,0.0
