Date,iShares Edge MSCI USA Quality Factor_Open_average,iShares Edge MSCI USA Quality Factor_Open_max,iShares Edge MSCI USA Quality Factor_Open_min,iShares Edge MSCI USA Quality Factor_Open_volatility,iShares Edge MSCI USA Quality Factor_Open_change,iShares Edge MSCI USA Quality Factor_High_average,iShares Edge MSCI USA Quality Factor_High_max,iShares Edge MSCI USA Quality Factor_High_min,iShares Edge MSCI USA Quality Factor_High_volatility,iShares Edge MSCI USA Quality Factor_High_change,iShares Edge MSCI USA Quality Factor_Low_average,iShares Edge MSCI USA Quality Factor_Low_max,iShares Edge MSCI USA Quality Factor_Low_min,iShares Edge MSCI USA Quality Factor_Low_volatility,iShares Edge MSCI USA Quality Factor_Low_change,iShares Edge MSCI USA Quality Factor_Close_average,iShares Edge MSCI USA Quality Factor_Close_max,iShares Edge MSCI USA Quality Factor_Close_min,iShares Edge MSCI USA Quality Factor_Close_volatility,iShares Edge MSCI USA Quality Factor_Close_change
2018-01-14,87.45,87.45,87.45,0.0,0.0,87.89,87.89,87.89,0.0,0.0,87.3,87.3,87.3,0.0,0.0,87.89,87.89,87.89,0.0,0.0
2018-01-21,88.49,88.49,88.49,0.0,0.0,88.49,88.49,88.49,0.0,0.0,87.82,87.82,87.82,0.0,0.0,87.83,87.83,87.83,0.0,0.0
2018-01-28,84.18,84.18,84.18,0.0,0.0,85.12,85.12,85.12,0.0,0.0,81.3,81.3,81.3,0.0,0.0,81.72,81.72,81.72,0.0,0.0
2018-02-04,81.93,81.93,81.93,0.0,0.0,82.67,82.67,82.67,0.0,0.0,81.19,81.19,81.19,0.0,0.0,82.1,82.1,82.1,0.0,0.0
2018-02-11,84.5,84.5,84.5,0.0,0.0,85.25,85.25,85.25,0.0,0.0,84.38,84.38,84.38,0.0,0.0,84.56,84.56,84.56,0.0,0.0
2018-02-18,85.32,85.32,85.32,0.0,0.0,85.93,85.93,85.93,0.0,0.0,85.09,85.09,85.09,0.0,0.0,85.89,85.89,85.89,0.0,0.0
2018-02-25,83.2,83.2,83.2,0.0,0.0,84.61,84.61,84.61,0.0,0.0,83.19,83.19,83.19,0.0,0.0,84.42,84.42,84.42,0.0,0.0
2018-03-04,86.86,86.86,86.86,0.0,0.0,87.0,87.0,87.0,0.0,0.0,86.51,86.51,86.51,0.0,0.0,86.66,86.66,86.66,0.0,0.0
2018-03-11,85.55,85.55,85.55,0.0,0.0,85.94,85.94,85.94,0.0,0.0,84.23,84.23,84.23,0.0,0.0,84.8,84.8,84.8,0.0,0.0
2018-03-18,81.99,81.99,81.99,0.0,0.0,82.94,82.94,82.94,0.0,0.0,81.27,81.27,81.27,0.0,0.0,82.88,82.88,82.88,0.0,0.0
2018-03-25,82.74,82.74,82.74,0.0,0.0,82.74,82.74,82.74,0.0,0.0,79.93,79.93,79.93,0.0,0.0,80.73,80.73,80.73,0.0,0.0
