Date,FlexShares Quality Dividend Dynamic_Open_average,FlexShares Quality Dividend Dynamic_Open_max,FlexShares Quality Dividend Dynamic_Open_min,FlexShares Quality Dividend Dynamic_Open_volatility,FlexShares Quality Dividend Dynamic_Open_change,FlexShares Quality Dividend Dynamic_High_average,FlexShares Quality Dividend Dynamic_High_max,FlexShares Quality Dividend Dynamic_High_min,FlexShares Quality Dividend Dynamic_High_volatility,FlexShares Quality Dividend Dynamic_High_change,FlexShares Quality Dividend Dynamic_Low_average,FlexShares Quality Dividend Dynamic_Low_max,FlexShares Quality Dividend Dynamic_Low_min,FlexShares Quality Dividend Dynamic_Low_volatility,FlexShares Quality Dividend Dynamic_Low_change,FlexShares Quality Dividend Dynamic_Close_average,FlexShares Quality Dividend Dynamic_Close_max,FlexShares Quality Dividend Dynamic_Close_min,FlexShares Quality Dividend Dynamic_Close_volatility,FlexShares Quality Dividend Dynamic_Close_change
2018-01-14,46.37,46.37,46.37,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2018-01-21,46.95,46.95,46.95,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.95,46.95,46.95,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2018-01-28,44.58,44.58,44.58,0.0,0.0,44.75,44.75,44.75,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.53,43.53,43.53,0.0,0.0
2018-02-04,42.77,42.77,42.77,0.0,0.0,43.28,43.28,43.28,0.0,0.0,42.77,42.77,42.77,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2018-02-11,44.59,44.59,44.59,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.71,44.71,44.71,0.0,0.0
2018-02-18,44.71,44.71,44.71,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.71,44.71,44.71,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2018-02-25,43.52,43.52,43.52,0.0,0.0,44.16,44.16,44.16,0.0,0.0,43.52,43.52,43.52,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2018-03-04,44.98,44.98,44.98,0.0,0.0,45.1,45.1,45.1,0.0,0.0,44.98,44.98,44.98,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-03-11,43.57,43.57,43.57,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.65,43.65,43.65,0.0,0.0
2018-03-18,42.08,42.08,42.08,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.42,42.42,42.42,0.0,0.0
2018-03-25,41.6,41.6,41.6,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2018-04-01,42.02,42.02,42.02,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2018-04-08,42.91,42.91,42.91,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.91,42.91,42.91,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-04-15,43.09,43.09,43.09,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2018-04-22,43.8,43.8,43.8,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-04-29,42.6,42.6,42.6,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2018-05-06,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-05-13,44.63,44.63,44.63,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2018-05-20,44.15,44.15,44.15,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2018-05-27,44.56,44.56,44.56,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-06-03,45.29,45.29,45.29,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.29,45.29,45.29,0.0,0.0
2018-06-10,44.3,44.3,44.3,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2018-06-17,43.81,43.81,43.81,0.0,0.0,43.81,43.81,43.81,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2018-06-24,43.7,43.7,43.7,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2018-07-01,44.17,44.17,44.17,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2018-07-08,44.27,44.27,44.27,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.27,44.27,44.27,0.0,0.0
2018-07-15,44.31,44.31,44.31,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.28,44.28,44.28,0.0,0.0,44.28,44.28,44.28,0.0,0.0
2018-07-22,44.56,44.56,44.56,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-07-29,44.9,44.9,44.9,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.99,44.99,44.99,0.0,0.0
2018-08-05,44.49,44.49,44.49,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2018-08-12,45.23,45.23,45.23,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2018-08-19,45.73,45.73,45.73,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2018-08-26,45.46,45.46,45.46,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2018-09-02,45.27,45.27,45.27,0.0,0.0,45.27,45.27,45.27,0.0,0.0,45.17,45.17,45.17,0.0,0.0,45.17,45.17,45.17,0.0,0.0
2018-09-09,45.48,45.48,45.48,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2018-09-16,45.7,45.7,45.7,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.71,45.71,45.71,0.0,0.0
2018-09-23,45.61,45.61,45.61,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2018-09-30,44.89,44.89,44.89,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.95,44.95,44.95,0.0,0.0
