Date,Direxion Daily Small Cap Bull 3X SharesEtf_Open_average,Direxion Daily Small Cap Bull 3X SharesEtf_Open_max,Direxion Daily Small Cap Bull 3X SharesEtf_Open_min,Direxion Daily Small Cap Bull 3X SharesEtf_Open_volatility,Direxion Daily Small Cap Bull 3X SharesEtf_Open_change,Direxion Daily Small Cap Bull 3X SharesEtf_High_average,Direxion Daily Small Cap Bull 3X SharesEtf_High_max,Direxion Daily Small Cap Bull 3X SharesEtf_High_min,Direxion Daily Small Cap Bull 3X SharesEtf_High_volatility,Direxion Daily Small Cap Bull 3X SharesEtf_High_change,Direxion Daily Small Cap Bull 3X SharesEtf_Low_average,Direxion Daily Small Cap Bull 3X SharesEtf_Low_max,Direxion Daily Small Cap Bull 3X SharesEtf_Low_min,Direxion Daily Small Cap Bull 3X SharesEtf_Low_volatility,Direxion Daily Small Cap Bull 3X SharesEtf_Low_change,Direxion Daily Small Cap Bull 3X SharesEtf_Close_average,Direxion Daily Small Cap Bull 3X SharesEtf_Close_max,Direxion Daily Small Cap Bull 3X SharesEtf_Close_min,Direxion Daily Small Cap Bull 3X SharesEtf_Close_volatility,Direxion Daily Small Cap Bull 3X SharesEtf_Close_change
2018-01-14,76.0,76.0,76.0,0.0,0.0,78.8,78.8,78.8,0.0,0.0,75.78,75.78,75.78,0.0,0.0,78.65,78.65,78.65,0.0,0.0
2018-01-21,79.98,79.98,79.98,0.0,0.0,80.21,80.21,80.21,0.0,0.0,78.86,78.86,78.86,0.0,0.0,80.14,80.14,80.14,0.0,0.0
2018-01-28,74.8,74.8,74.8,0.0,0.0,74.96,74.96,74.96,0.0,0.0,71.17,71.17,71.17,0.0,0.0,71.66,71.66,71.66,0.0,0.0
2018-02-04,61.7,61.7,61.7,0.0,0.0,63.0,63.0,63.0,0.0,0.0,56.37,56.37,56.37,0.0,0.0,61.52,61.52,61.52,0.0,0.0
2018-02-11,69.06,69.06,69.06,0.0,0.0,71.28,71.28,71.28,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2018-02-18,69.5,69.5,69.5,0.0,0.0,70.82,70.82,70.82,0.0,0.0,68.37,68.37,68.37,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-02-25,63.62,63.62,63.62,0.0,0.0,68.91,68.91,68.91,0.0,0.0,63.25,63.25,63.25,0.0,0.0,68.42,68.42,68.42,0.0,0.0
2018-03-04,75.0,75.0,75.0,0.0,0.0,77.46,77.46,77.46,0.0,0.0,74.49,74.49,74.49,0.0,0.0,77.28,77.28,77.28,0.0,0.0
2018-03-11,74.48,74.48,74.48,0.0,0.0,76.38,76.38,76.38,0.0,0.0,74.23,74.23,74.23,0.0,0.0,75.58,75.58,75.58,0.0,0.0
2018-03-18,70.15,70.15,70.15,0.0,0.0,70.83,70.83,70.83,0.0,0.0,65.21,65.21,65.21,0.0,0.0,65.28,65.28,65.28,0.0,0.0
2018-03-25,66.41,66.41,66.41,0.0,0.0,68.99,68.99,68.99,0.0,0.0,65.97,65.97,65.97,0.0,0.0,67.34,67.34,67.34,0.0,0.0
2018-04-01,67.74,67.74,67.74,0.0,0.0,69.14,69.14,69.14,0.0,0.0,63.43,63.43,63.43,0.0,0.0,65.18,65.18,65.18,0.0,0.0
2018-04-08,71.45,71.45,71.45,0.0,0.0,71.45,71.45,71.45,0.0,0.0,69.06,69.06,69.06,0.0,0.0,69.71,69.71,69.71,0.0,0.0
2018-04-15,72.43,72.43,72.43,0.0,0.0,73.32,73.32,73.32,0.0,0.0,71.14,71.14,71.14,0.0,0.0,71.71,71.71,71.71,0.0,0.0
2018-04-22,70.69,70.69,70.69,0.0,0.0,71.34,71.34,71.34,0.0,0.0,69.22,69.22,69.22,0.0,0.0,70.46,70.46,70.46,0.0,0.0
2018-04-29,68.44,68.44,68.44,0.0,0.0,72.7,72.7,72.7,0.0,0.0,67.79,67.79,67.79,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2018-05-06,76.94,76.94,76.94,0.0,0.0,77.78,77.78,77.78,0.0,0.0,76.21,76.21,76.21,0.0,0.0,77.34,77.34,77.34,0.0,0.0
2018-05-13,80.34,80.34,80.34,0.0,0.0,80.9,80.9,80.9,0.0,0.0,79.77,79.77,79.77,0.0,0.0,80.21,80.21,80.21,0.0,0.0
2018-05-20,80.07,80.07,80.07,0.0,0.0,80.62,80.62,80.62,0.0,0.0,79.61,79.61,79.61,0.0,0.0,80.05,80.05,80.05,0.0,0.0
2018-05-27,82.96,82.96,82.96,0.0,0.0,83.79,83.79,83.79,0.0,0.0,82.15,82.15,82.15,0.0,0.0,83.04,83.04,83.04,0.0,0.0
2018-06-03,86.24,86.24,86.24,0.0,0.0,87.11,87.11,87.11,0.0,0.0,85.8,85.8,85.8,0.0,0.0,87.03,87.03,87.03,0.0,0.0
2018-06-10,87.95,87.95,87.95,0.0,0.0,88.96,88.96,88.96,0.0,0.0,86.86,86.86,86.86,0.0,0.0,88.75,88.75,88.75,0.0,0.0
2018-06-17,90.7,90.7,90.7,0.0,0.0,90.82,90.82,90.82,0.0,0.0,87.98,87.98,87.98,0.0,0.0,88.65,88.65,88.65,0.0,0.0
2018-06-24,83.18,83.18,83.18,0.0,0.0,84.24,84.24,84.24,0.0,0.0,82.09,82.09,82.09,0.0,0.0,82.16,82.16,82.16,0.0,0.0
