Date,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Open_average,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Open_max,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Open_min,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Open_volatility,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Open_change,UBS ETRACS 2xMonthly Leveraged S&P MLP B_High_average,UBS ETRACS 2xMonthly Leveraged S&P MLP B_High_max,UBS ETRACS 2xMonthly Leveraged S&P MLP B_High_min,UBS ETRACS 2xMonthly Leveraged S&P MLP B_High_volatility,UBS ETRACS 2xMonthly Leveraged S&P MLP B_High_change,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Low_average,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Low_max,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Low_min,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Low_volatility,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Low_change,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Close_average,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Close_max,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Close_min,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Close_volatility,UBS ETRACS 2xMonthly Leveraged S&P MLP B_Close_change
2018-01-14,48.44,48.44,48.44,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.44,48.44,48.44,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-01-21,48.89,48.89,48.89,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2018-01-28,43.04,43.04,43.04,0.0,0.0,43.25,43.25,43.25,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2018-02-04,41.89,41.89,41.89,0.0,0.0,41.89,41.89,41.89,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2018-02-11,41.5,41.5,41.5,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.29,41.29,41.29,0.0,0.0
2018-02-18,39.63,39.63,39.63,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-02-25,37.07,37.07,37.07,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.94,36.94,36.94,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2018-03-04,37.61,37.61,37.61,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2018-03-11,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-03-18,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-03-25,31.74,31.74,31.74,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2018-04-01,32.6,32.6,32.6,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-04-08,34.3,34.3,34.3,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-04-15,36.33,36.33,36.33,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-04-22,36.56,36.56,36.56,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2018-04-29,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2018-05-06,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2018-05-13,40.45,40.45,40.45,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.45,40.45,40.45,0.0,0.0
