Date,Schwab US Mid-CapEtf_Open_average,Schwab US Mid-CapEtf_Open_max,Schwab US Mid-CapEtf_Open_min,Schwab US Mid-CapEtf_Open_volatility,Schwab US Mid-CapEtf_Open_change,Schwab US Mid-CapEtf_High_average,Schwab US Mid-CapEtf_High_max,Schwab US Mid-CapEtf_High_min,Schwab US Mid-CapEtf_High_volatility,Schwab US Mid-CapEtf_High_change,Schwab US Mid-CapEtf_Low_average,Schwab US Mid-CapEtf_Low_max,Schwab US Mid-CapEtf_Low_min,Schwab US Mid-CapEtf_Low_volatility,Schwab US Mid-CapEtf_Low_change,Schwab US Mid-CapEtf_Close_average,Schwab US Mid-CapEtf_Close_max,Schwab US Mid-CapEtf_Close_min,Schwab US Mid-CapEtf_Close_volatility,Schwab US Mid-CapEtf_Close_change
2018-01-14,54.97,54.97,54.97,0.0,0.0,55.35,55.35,55.35,0.0,0.0,54.93,54.93,54.93,0.0,0.0,55.35,55.35,55.35,0.0,0.0
2018-01-21,55.99,55.99,55.99,0.0,0.0,56.22,56.22,56.22,0.0,0.0,55.77,55.77,55.77,0.0,0.0,56.22,56.22,56.22,0.0,0.0
2018-01-28,54.81,54.81,54.81,0.0,0.0,54.81,54.81,54.81,0.0,0.0,53.98,53.98,53.98,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2018-02-04,51.28,51.28,51.28,0.0,0.0,51.61,51.61,51.61,0.0,0.0,49.78,49.78,49.78,0.0,0.0,51.28,51.28,51.28,0.0,0.0
2018-02-11,53.53,53.53,53.53,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2018-02-18,53.27,53.27,53.27,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.73,53.73,53.73,0.0,0.0
2018-02-25,52.15,52.15,52.15,0.0,0.0,53.06,53.06,53.06,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2018-03-04,54.48,54.48,54.48,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.37,54.37,54.37,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2018-03-11,54.2,54.2,54.2,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2018-03-18,52.85,52.85,52.85,0.0,0.0,53.1,53.1,53.1,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.86,51.86,51.86,0.0,0.0
