Date,FBC_Open_average,FBC_Open_max,FBC_Open_min,FBC_Open_volatility,FBC_Open_change,FBC_High_average,FBC_High_max,FBC_High_min,FBC_High_volatility,FBC_High_change,FBC_Low_average,FBC_Low_max,FBC_Low_min,FBC_Low_volatility,FBC_Low_change,FBC_Close_average,FBC_Close_max,FBC_Close_min,FBC_Close_volatility,FBC_Close_change,FBC_Volume_average,FBC_Volume_max,FBC_Volume_min,FBC_Volume_volatility,FBC_Volume_change
2018-01-14,38.525,38.98,38.27,0.7099999999999937,-0.5799999999999983,38.902499999999996,39.16,38.61,0.5499999999999972,0.0,38.15,38.4,37.94,0.46000000000000085,0.3399999999999963,38.58,39.14,38.15,0.990000000000002,0.990000000000002,132543,171330,78459,92871,-14065
2018-01-21,38.519999999999996,39.9,37.46,2.4399999999999977,-1.509999999999998,38.63,40.06,37.69,2.3700000000000045,-1.3600000000000065,37.614,38.52,37.1,1.4200000000000017,-1.3600000000000065,38.007999999999996,38.98,37.42,1.5599999999999952,-1.259999999999998,257942,385270,145023,240247,-160226
2018-01-28,37.37,37.7,37.04,0.6600000000000037,-0.10000000000000142,37.798,38.25,37.37,0.8800000000000026,-0.4200000000000017,37.046,37.19,36.85,0.3399999999999963,-0.0799999999999983,37.333999999999996,37.73,37.19,0.5399999999999991,-0.07000000000000028,163822,214159,97507,116652,-91410
2018-02-04,35.606,36.86,34.87,1.990000000000002,-1.769999999999996,36.122,37.14,35.42,1.7199999999999989,-1.7199999999999989,34.96,35.6,34.36,1.240000000000002,-1.240000000000002,35.428,35.9,34.82,1.0799999999999983,-0.6599999999999966,208914,274657,145729,128928,-44678
2018-02-11,35.304,35.89,34.86,1.0300000000000011,0.14000000000000057,35.644,35.96,35.2,0.759999999999998,0.5200000000000031,35.04,35.39,34.62,0.7700000000000031,0.5600000000000023,35.426,35.71,35.0,0.7100000000000009,0.6799999999999997,116644,145002,86773,58229,-5360
2018-02-18,35.595,35.85,35.48,0.37000000000000455,-0.07000000000000028,36.0775,36.33,35.78,0.5499999999999972,-0.21000000000000085,35.2975,35.48,35.19,0.28999999999999915,0.060000000000002274,35.58,35.81,35.34,0.46999999999999886,0.3500000000000014,125993,164471,102419,62052,-19344
2018-02-25,35.586,36.04,34.98,1.0600000000000023,-0.970000000000006,35.925999999999995,36.41,35.43,0.9799999999999969,-0.5300000000000011,35.208,35.61,34.67,0.9399999999999977,-0.9399999999999977,35.564,36.13,35.18,0.9500000000000028,-0.490000000000002,154102,225758,91923,133835,-34477
2018-03-04,36.228,36.72,35.49,1.2299999999999969,1.2100000000000009,36.598,36.93,36.19,0.740000000000002,0.5200000000000031,35.912,36.28,35.28,1.0,0.9799999999999969,36.41,36.65,36.01,0.6400000000000006,0.5800000000000054,158182,300471,101236,199235,199235
2018-03-11,36.802,37.38,36.42,0.9600000000000009,-0.1700000000000017,37.17,37.76,36.71,1.0499999999999972,-0.29999999999999716,36.428,36.73,36.07,0.6599999999999966,-0.1700000000000017,36.702,37.06,36.4,0.6600000000000037,-0.4000000000000057,162203,225129,89595,135534,25014
2018-03-18,36.467999999999996,36.73,36.05,0.6799999999999997,-0.44000000000000483,36.684,37.4,36.23,1.1700000000000017,-0.6300000000000026,35.854,36.54,34.72,1.8200000000000003,-1.7899999999999991,36.050000000000004,36.7,35.2,1.5,-1.5,163705,306891,112775,194116,174049
