Date,iShares MSCI EAFE Small-Cap_Open_average,iShares MSCI EAFE Small-Cap_Open_max,iShares MSCI EAFE Small-Cap_Open_min,iShares MSCI EAFE Small-Cap_Open_volatility,iShares MSCI EAFE Small-Cap_Open_change,iShares MSCI EAFE Small-Cap_High_average,iShares MSCI EAFE Small-Cap_High_max,iShares MSCI EAFE Small-Cap_High_min,iShares MSCI EAFE Small-Cap_High_volatility,iShares MSCI EAFE Small-Cap_High_change,iShares MSCI EAFE Small-Cap_Low_average,iShares MSCI EAFE Small-Cap_Low_max,iShares MSCI EAFE Small-Cap_Low_min,iShares MSCI EAFE Small-Cap_Low_volatility,iShares MSCI EAFE Small-Cap_Low_change,iShares MSCI EAFE Small-Cap_Close_average,iShares MSCI EAFE Small-Cap_Close_max,iShares MSCI EAFE Small-Cap_Close_min,iShares MSCI EAFE Small-Cap_Close_volatility,iShares MSCI EAFE Small-Cap_Close_change
2018-01-14,67.81,67.81,67.81,0.0,0.0,68.17,68.17,68.17,0.0,0.0,67.79,67.79,67.79,0.0,0.0,68.16,68.16,68.16,0.0,0.0
2018-01-21,68.71,68.71,68.71,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.41,68.41,68.41,0.0,0.0,68.54,68.54,68.54,0.0,0.0
2018-01-28,65.79,65.79,65.79,0.0,0.0,66.02,66.02,66.02,0.0,0.0,63.83,63.83,63.83,0.0,0.0,63.84,63.84,63.84,0.0,0.0
2018-02-04,63.58,63.58,63.58,0.0,0.0,64.16,64.16,64.16,0.0,0.0,63.39,63.39,63.39,0.0,0.0,63.97,63.97,63.97,0.0,0.0
2018-02-11,65.8,65.8,65.8,0.0,0.0,66.13,66.13,66.13,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.82,65.82,65.82,0.0,0.0
2018-02-18,66.38,66.38,66.38,0.0,0.0,66.74,66.74,66.74,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.71,66.71,66.71,0.0,0.0
2018-02-25,64.29,64.29,64.29,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.2,64.2,64.2,0.0,0.0,64.91,64.91,64.91,0.0,0.0
2018-03-04,66.31,66.31,66.31,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.27,66.27,66.27,0.0,0.0,66.45,66.45,66.45,0.0,0.0
2018-03-11,65.86,65.86,65.86,0.0,0.0,65.88,65.88,65.88,0.0,0.0,65.31,65.31,65.31,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-03-18,64.74,64.74,64.74,0.0,0.0,64.94,64.94,64.94,0.0,0.0,64.24,64.24,64.24,0.0,0.0,64.91,64.91,64.91,0.0,0.0
2018-03-25,64.85,64.85,64.85,0.0,0.0,65.06,65.06,65.06,0.0,0.0,63.85,63.85,63.85,0.0,0.0,64.31,64.31,64.31,0.0,0.0
2018-04-01,65.24,65.24,65.24,0.0,0.0,65.51,65.51,65.51,0.0,0.0,65.04,65.04,65.04,0.0,0.0,65.11,65.11,65.11,0.0,0.0
2018-04-08,66.2,66.2,66.2,0.0,0.0,66.27,66.27,66.27,0.0,0.0,66.06,66.06,66.06,0.0,0.0,66.19,66.19,66.19,0.0,0.0
2018-04-15,66.22,66.22,66.22,0.0,0.0,66.23,66.23,66.23,0.0,0.0,65.95,65.95,65.95,0.0,0.0,66.14,66.14,66.14,0.0,0.0
2018-04-22,65.83,65.83,65.83,0.0,0.0,65.92,65.92,65.92,0.0,0.0,65.59,65.59,65.59,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-04-29,65.97,65.97,65.97,0.0,0.0,66.18,66.18,66.18,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.02,66.02,66.02,0.0,0.0
2018-05-06,66.9,66.9,66.9,0.0,0.0,66.98,66.98,66.98,0.0,0.0,66.72,66.72,66.72,0.0,0.0,66.79,66.79,66.79,0.0,0.0
2018-05-13,66.49,66.49,66.49,0.0,0.0,66.57,66.57,66.57,0.0,0.0,66.42,66.42,66.42,0.0,0.0,66.57,66.57,66.57,0.0,0.0
2018-05-20,65.66,65.66,65.66,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-05-27,66.02,66.02,66.02,0.0,0.0,66.06,66.06,66.06,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.74,65.74,65.74,0.0,0.0
2018-06-03,66.28,66.28,66.28,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.26,66.26,66.26,0.0,0.0,66.45,66.45,66.45,0.0,0.0
2018-06-10,64.85,64.85,64.85,0.0,0.0,65.06,65.06,65.06,0.0,0.0,64.73,64.73,64.73,0.0,0.0,65.05,65.05,65.05,0.0,0.0
2018-06-17,63.4,63.4,63.4,0.0,0.0,63.45,63.45,63.45,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.93,62.93,62.93,0.0,0.0
2018-06-24,61.73,61.73,61.73,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.61,61.61,61.61,0.0,0.0,61.96,61.96,61.96,0.0,0.0
2018-07-01,63.19,63.19,63.19,0.0,0.0,63.24,63.24,63.24,0.0,0.0,63.04,63.04,63.04,0.0,0.0,63.19,63.19,63.19,0.0,0.0
2018-07-08,62.97,62.97,62.97,0.0,0.0,63.05,63.05,63.05,0.0,0.0,62.83,62.83,62.83,0.0,0.0,62.91,62.91,62.91,0.0,0.0
2018-07-15,63.05,63.05,63.05,0.0,0.0,63.18,63.18,63.18,0.0,0.0,62.99,62.99,62.99,0.0,0.0,63.08,63.08,63.08,0.0,0.0
2018-07-22,63.86,63.86,63.86,0.0,0.0,63.94,63.94,63.94,0.0,0.0,63.63,63.63,63.63,0.0,0.0,63.64,63.64,63.64,0.0,0.0
2018-07-29,62.39,62.39,62.39,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.29,62.29,62.29,0.0,0.0,62.39,62.39,62.39,0.0,0.0
2018-08-05,61.44,61.44,61.44,0.0,0.0,61.53,61.53,61.53,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.27,61.27,61.27,0.0,0.0
2018-08-12,61.07,61.07,61.07,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.02,61.02,61.02,0.0,0.0,61.16,61.16,61.16,0.0,0.0
2018-08-19,62.69,62.69,62.69,0.0,0.0,63.09,63.09,63.09,0.0,0.0,62.62,62.62,62.62,0.0,0.0,63.06,63.06,63.06,0.0,0.0
2018-08-26,62.75,62.75,62.75,0.0,0.0,62.93,62.93,62.93,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.73,62.73,62.73,0.0,0.0
2018-09-02,61.4,61.4,61.4,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.27,61.27,61.27,0.0,0.0,61.35,61.35,61.35,0.0,0.0
2018-09-09,62.34,62.34,62.34,0.0,0.0,62.41,62.41,62.41,0.0,0.0,62.09,62.09,62.09,0.0,0.0,62.11,62.11,62.11,0.0,0.0
2018-09-16,63.09,63.09,63.09,0.0,0.0,63.11,63.11,63.11,0.0,0.0,62.81,62.81,62.81,0.0,0.0,62.87,62.87,62.87,0.0,0.0
2018-09-23,62.61,62.61,62.61,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.47,62.47,62.47,0.0,0.0,62.49,62.49,62.49,0.0,0.0
2018-09-30,59.9,59.9,59.9,0.0,0.0,60.24,60.24,60.24,0.0,0.0,59.74,59.74,59.74,0.0,0.0,60.19,60.19,60.19,0.0,0.0
2018-10-07,57.75,57.75,57.75,0.0,0.0,58.01,58.01,58.01,0.0,0.0,57.54,57.54,57.54,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2018-10-14,57.81,57.81,57.81,0.0,0.0,57.91,57.91,57.91,0.0,0.0,57.29,57.29,57.29,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-10-21,55.7,55.7,55.7,0.0,0.0,55.75,55.75,55.75,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.95,54.95,54.95,0.0,0.0
2018-10-28,57.43,57.43,57.43,0.0,0.0,57.51,57.51,57.51,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2018-11-04,56.73,56.73,56.73,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.04,56.04,56.04,0.0,0.0
2018-11-11,56.09,56.09,56.09,0.0,0.0,56.16,56.16,56.16,0.0,0.0,55.41,55.41,55.41,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2018-11-18,55.52,55.52,55.52,0.0,0.0,55.8,55.8,55.8,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.74,55.74,55.74,0.0,0.0
2018-11-25,56.98,56.98,56.98,0.0,0.0,56.99,56.99,56.99,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.87,56.87,56.87,0.0,0.0
2018-12-02,53.62,53.62,53.62,0.0,0.0,53.7,53.7,53.7,0.0,0.0,52.93,52.93,52.93,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-12-09,53.13,53.13,53.13,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-12-16,50.09,50.09,50.09,0.0,0.0,50.29,50.29,50.29,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2018-12-23,51.86,51.86,51.86,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2018-12-30,53.27,53.27,53.27,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2019-01-06,53.91,53.91,53.91,0.0,0.0,54.17,54.17,54.17,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2019-01-13,55.21,55.21,55.21,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.31,55.31,55.31,0.0,0.0
2019-01-20,55.33,55.33,55.33,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.21,55.21,55.21,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2019-01-27,55.97,55.97,55.97,0.0,0.0,56.27,56.27,56.27,0.0,0.0,55.94,55.94,55.94,0.0,0.0,56.27,56.27,56.27,0.0,0.0
2019-02-03,55.02,55.02,55.02,0.0,0.0,55.09,55.09,55.09,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2019-02-10,56.19,56.19,56.19,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2019-02-17,57.38,57.38,57.38,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.14,57.14,57.14,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2019-02-24,57.82,57.82,57.82,0.0,0.0,57.88,57.88,57.88,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.62,57.62,57.62,0.0,0.0
2019-03-03,56.31,56.31,56.31,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.31,56.31,56.31,0.0,0.0,56.86,56.86,56.86,0.0,0.0
2019-03-10,57.74,57.74,57.74,0.0,0.0,57.93,57.93,57.93,0.0,0.0,57.72,57.72,57.72,0.0,0.0,57.93,57.93,57.93,0.0,0.0
2019-03-17,56.81,56.81,56.81,0.0,0.0,56.93,56.93,56.93,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2019-03-24,58.04,58.04,58.04,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2019-03-31,58.65,58.65,58.65,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.68,58.68,58.68,0.0,0.0
2019-04-07,59.2,59.2,59.2,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.14,59.14,59.14,0.0,0.0,59.24,59.24,59.24,0.0,0.0
2019-04-14,59.01,59.01,59.01,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.13,59.13,59.13,0.0,0.0
2019-04-21,59.09,59.09,59.09,0.0,0.0,59.31,59.31,59.31,0.0,0.0,59.06,59.06,59.06,0.0,0.0,59.31,59.31,59.31,0.0,0.0
2019-04-28,58.22,58.22,58.22,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.17,58.17,58.17,0.0,0.0,58.8,58.8,58.8,0.0,0.0
2019-05-05,56.81,56.81,56.81,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.46,56.46,56.46,0.0,0.0
2019-05-12,56.75,56.75,56.75,0.0,0.0,56.85,56.85,56.85,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.69,56.69,56.69,0.0,0.0
2019-05-19,56.92,56.92,56.92,0.0,0.0,57.03,57.03,57.03,0.0,0.0,56.82,56.82,56.82,0.0,0.0,56.98,56.98,56.98,0.0,0.0
2019-05-26,55.71,55.71,55.71,0.0,0.0,55.91,55.91,55.91,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.8,55.8,55.8,0.0,0.0
2019-06-02,57.5,57.5,57.5,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.46,57.46,57.46,0.0,0.0,57.55,57.55,57.55,0.0,0.0
2019-06-09,55.98,55.98,55.98,0.0,0.0,56.04,56.04,56.04,0.0,0.0,55.85,55.85,55.85,0.0,0.0,55.94,55.94,55.94,0.0,0.0
2019-06-16,57.05,57.05,57.05,0.0,0.0,57.14,57.14,57.14,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2019-06-23,57.97,57.97,57.97,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.78,57.78,57.78,0.0,0.0
2019-06-30,57.71,57.71,57.71,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.63,57.63,57.63,0.0,0.0
2019-07-07,57.86,57.86,57.86,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.81,57.81,57.81,0.0,0.0
2019-07-14,57.47,57.47,57.47,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.48,57.48,57.48,0.0,0.0
2019-07-21,57.63,57.63,57.63,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.46,57.46,57.46,0.0,0.0
