Date,CSOD_Open_average,CSOD_Open_max,CSOD_Open_min,CSOD_Open_volatility,CSOD_Open_change,CSOD_High_average,CSOD_High_max,CSOD_High_min,CSOD_High_volatility,CSOD_High_change,CSOD_Low_average,CSOD_Low_max,CSOD_Low_min,CSOD_Low_volatility,CSOD_Low_change,CSOD_Close_average,CSOD_Close_max,CSOD_Close_min,CSOD_Close_volatility,CSOD_Close_change,CSOD_Volume_average,CSOD_Volume_max,CSOD_Volume_min,CSOD_Volume_volatility,CSOD_Volume_change
2018-01-14,39.72,41.05,39.18,1.8699999999999974,1.7299999999999969,40.266,41.98,39.41,2.5700000000000003,2.039999999999999,39.128,40.61,38.3,2.3100000000000023,1.8599999999999994,39.768,40.86,38.94,1.9200000000000017,1.9200000000000017,532249,912297,406837,505460,484270
2018-01-21,41.814,42.17,41.27,0.8999999999999986,0.7999999999999972,42.275999999999996,42.5,42.16,0.3400000000000034,0.020000000000003126,41.248,41.54,40.86,0.6799999999999997,0.6799999999999997,41.784,42.14,41.34,0.7999999999999972,-0.38000000000000256,421580,721013,300858,420155,-361801
2018-01-28,40.622,41.07,39.49,1.5799999999999983,-1.5799999999999983,41.102,41.61,40.16,1.4500000000000028,-1.25,40.152,41.06,38.35,2.710000000000001,-2.5799999999999983,40.238,41.13,38.38,2.75,-2.6299999999999955,499648,555305,394557,160748,-45434
2018-02-04,38.372,39.63,37.63,2.0,0.10999999999999943,39.228,40.0,38.46,1.5399999999999991,-0.5399999999999991,37.318,38.48,36.26,2.219999999999999,0.0899999999999963,38.448,39.63,37.44,2.190000000000005,-0.6099999999999994,613103,948429,410435,537994,163296
2018-02-11,39.0425,40.22,38.18,2.039999999999999,1.75,40.155,40.96,39.22,1.740000000000002,1.740000000000002,38.6775,39.74,37.7,2.039999999999999,1.3400000000000034,39.7775,40.55,39.0,1.5499999999999972,1.5499999999999972,719038,983712,499798,483914,-28318
2018-02-18,40.694,41.32,40.25,1.0700000000000003,1.0700000000000003,41.396,41.59,41.32,0.2700000000000031,0.2700000000000031,40.45,40.88,40.21,0.6700000000000017,0.6300000000000026,40.866,41.53,40.24,1.2899999999999991,0.8100000000000023,321486,403793,189838,213955,-166432
2018-02-25,41.256,42.4,40.64,1.759999999999998,0.8599999999999994,42.23,43.55,41.4,2.1499999999999986,1.9099999999999966,40.618,41.62,39.92,1.6999999999999957,1.0,41.705999999999996,42.94,40.64,2.299999999999997,2.299999999999997,625370,1311229,244922,1066307,1066307
2018-03-04,44.102,45.69,43.01,2.6799999999999997,2.6799999999999997,44.8,45.87,43.88,1.9899999999999949,1.9899999999999949,43.638,45.11,42.7,2.4099999999999966,2.4099999999999966,44.592,45.58,43.35,2.229999999999997,2.229999999999997,681180,792865,562204,230661,-177319
2018-03-11,44.822,45.73,43.52,2.2099999999999937,-2.2099999999999937,45.514,46.19,44.6,1.5899999999999963,-1.1599999999999966,43.634,44.69,42.04,2.6499999999999986,-2.3999999999999986,44.12,45.66,42.7,2.9599999999999937,-1.8399999999999963,710927,1242498,493280,749218,176167
2018-03-18,41.832,42.69,39.89,2.799999999999997,-2.799999999999997,42.384,43.11,40.38,2.729999999999997,-2.729999999999997,40.95,42.36,39.04,3.3200000000000003,-3.240000000000002,41.326,42.69,39.17,3.519999999999996,-2.1199999999999974,523562,859658,319604,540054,58599
