Date,Point Bridge GOP Stock Tracker_Open_average,Point Bridge GOP Stock Tracker_Open_max,Point Bridge GOP Stock Tracker_Open_min,Point Bridge GOP Stock Tracker_Open_volatility,Point Bridge GOP Stock Tracker_Open_change,Point Bridge GOP Stock Tracker_High_average,Point Bridge GOP Stock Tracker_High_max,Point Bridge GOP Stock Tracker_High_min,Point Bridge GOP Stock Tracker_High_volatility,Point Bridge GOP Stock Tracker_High_change,Point Bridge GOP Stock Tracker_Low_average,Point Bridge GOP Stock Tracker_Low_max,Point Bridge GOP Stock Tracker_Low_min,Point Bridge GOP Stock Tracker_Low_volatility,Point Bridge GOP Stock Tracker_Low_change,Point Bridge GOP Stock Tracker_Close_average,Point Bridge GOP Stock Tracker_Close_max,Point Bridge GOP Stock Tracker_Close_min,Point Bridge GOP Stock Tracker_Close_volatility,Point Bridge GOP Stock Tracker_Close_change
2018-01-14,29.16,29.16,29.16,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2018-01-21,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-01-28,28.1,28.1,28.1,0.0,0.0,28.42,28.42,28.42,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2018-02-04,26.97,26.97,26.97,0.0,0.0,27.41,27.41,27.41,0.0,0.0,26.91,26.91,26.91,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2018-02-11,27.84,27.84,27.84,0.0,0.0,28.02,28.02,28.02,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-02-18,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-02-25,27.27,27.27,27.27,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-03-04,28.06,28.06,28.06,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2018-03-11,27.59,27.59,27.59,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2018-03-18,26.74,26.74,26.74,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0
2018-03-25,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2018-04-01,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2018-04-08,27.31,27.31,27.31,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2018-04-15,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-04-22,27.53,27.53,27.53,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2018-04-29,27.36,27.36,27.36,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2018-05-06,27.91,27.91,27.91,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-05-13,27.9,27.9,27.9,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-05-20,27.57,27.57,27.57,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2018-05-27,27.58,27.58,27.58,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-06-03,27.94,27.94,27.94,0.0,0.0,28.15,28.15,28.15,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-06-10,27.55,27.55,27.55,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-06-17,27.48,27.48,27.48,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.36,27.36,27.36,0.0,0.0
