Date,ProShares Ultra Technology_Open_average,ProShares Ultra Technology_Open_max,ProShares Ultra Technology_Open_min,ProShares Ultra Technology_Open_volatility,ProShares Ultra Technology_Open_change,ProShares Ultra Technology_High_average,ProShares Ultra Technology_High_max,ProShares Ultra Technology_High_min,ProShares Ultra Technology_High_volatility,ProShares Ultra Technology_High_change,ProShares Ultra Technology_Low_average,ProShares Ultra Technology_Low_max,ProShares Ultra Technology_Low_min,ProShares Ultra Technology_Low_volatility,ProShares Ultra Technology_Low_change,ProShares Ultra Technology_Close_average,ProShares Ultra Technology_Close_max,ProShares Ultra Technology_Close_min,ProShares Ultra Technology_Close_volatility,ProShares Ultra Technology_Close_change
2018-01-14,99.3,99.3,99.3,0.0,0.0,101.24,101.24,101.24,0.0,0.0,99.03,99.03,99.03,0.0,0.0,101.24,101.24,101.24,0.0,0.0
2018-01-21,103.0,103.0,103.0,0.0,0.0,103.0,103.0,103.0,0.0,0.0,101.26,101.26,101.26,0.0,0.0,101.62,101.62,101.62,0.0,0.0
2018-01-28,92.95,92.95,92.95,0.0,0.0,96.42,96.42,96.42,0.0,0.0,87.26,87.26,87.26,0.0,0.0,87.28,87.28,87.28,0.0,0.0
2018-02-04,88.06,88.06,88.06,0.0,0.0,90.34,90.34,90.34,0.0,0.0,86.61,86.61,86.61,0.0,0.0,89.45,89.45,89.45,0.0,0.0
2018-02-11,97.0,97.0,97.0,0.0,0.0,99.07,99.07,99.07,0.0,0.0,96.67,96.67,96.67,0.0,0.0,96.89,96.89,96.89,0.0,0.0
2018-02-18,101.59,101.59,101.59,0.0,0.0,103.77,103.77,103.77,0.0,0.0,101.59,101.59,101.59,0.0,0.0,103.66,103.66,103.66,0.0,0.0
2018-02-25,98.95,98.95,98.95,0.0,0.0,102.17,102.17,102.17,0.0,0.0,98.04,98.04,98.04,0.0,0.0,101.56,101.56,101.56,0.0,0.0
2018-03-04,109.26,109.26,109.26,0.0,0.0,110.28,110.28,110.28,0.0,0.0,108.77,108.77,108.77,0.0,0.0,109.56,109.56,109.56,0.0,0.0
2018-03-11,104.07,104.07,104.07,0.0,0.0,104.07,104.07,104.07,0.0,0.0,99.97,99.97,99.97,0.0,0.0,101.57,101.57,101.57,0.0,0.0
2018-03-18,93.39,93.39,93.39,0.0,0.0,97.36,97.36,97.36,0.0,0.0,91.19,91.19,91.19,0.0,0.0,97.21,97.21,97.21,0.0,0.0
2018-03-25,91.46,91.46,91.46,0.0,0.0,92.1,92.1,92.1,0.0,0.0,85.73,85.73,85.73,0.0,0.0,87.42,87.42,87.42,0.0,0.0
2018-04-01,89.58,89.58,89.58,0.0,0.0,93.04,93.04,93.04,0.0,0.0,89.36,89.36,89.36,0.0,0.0,89.37,89.37,89.37,0.0,0.0
2018-04-08,96.18,96.18,96.18,0.0,0.0,96.91,96.91,96.91,0.0,0.0,95.0,95.0,95.0,0.0,0.0,96.26,96.26,96.26,0.0,0.0
