Date,ProShares High Yield Interest Rate_Open_average,ProShares High Yield Interest Rate_Open_max,ProShares High Yield Interest Rate_Open_min,ProShares High Yield Interest Rate_Open_volatility,ProShares High Yield Interest Rate_Open_change,ProShares High Yield Interest Rate_High_average,ProShares High Yield Interest Rate_High_max,ProShares High Yield Interest Rate_High_min,ProShares High Yield Interest Rate_High_volatility,ProShares High Yield Interest Rate_High_change,ProShares High Yield Interest Rate_Low_average,ProShares High Yield Interest Rate_Low_max,ProShares High Yield Interest Rate_Low_min,ProShares High Yield Interest Rate_Low_volatility,ProShares High Yield Interest Rate_Low_change,ProShares High Yield Interest Rate_Close_average,ProShares High Yield Interest Rate_Close_max,ProShares High Yield Interest Rate_Close_min,ProShares High Yield Interest Rate_Close_volatility,ProShares High Yield Interest Rate_Close_change
2018-01-14,68.75,68.75,68.75,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.57,68.57,68.57,0.0,0.0,68.75,68.75,68.75,0.0,0.0
2018-01-21,68.96,68.96,68.96,0.0,0.0,69.24,69.24,69.24,0.0,0.0,68.85,68.85,68.85,0.0,0.0,68.85,68.85,68.85,0.0,0.0
2018-01-28,67.95,67.95,67.95,0.0,0.0,68.22,68.22,68.22,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.31,67.31,67.31,0.0,0.0
2018-02-04,66.66,66.66,66.66,0.0,0.0,67.22,67.22,67.22,0.0,0.0,66.66,66.66,66.66,0.0,0.0,67.02,67.02,67.02,0.0,0.0
2018-02-11,68.16,68.16,68.16,0.0,0.0,68.46,68.46,68.46,0.0,0.0,68.01,68.01,68.01,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-02-18,67.86,67.86,67.86,0.0,0.0,68.22,68.22,68.22,0.0,0.0,67.86,67.86,67.86,0.0,0.0,68.22,68.22,68.22,0.0,0.0
2018-02-25,67.44,67.44,67.44,0.0,0.0,67.44,67.44,67.44,0.0,0.0,66.86,66.86,66.86,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2018-03-04,67.9,67.9,67.9,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.33,67.33,67.33,0.0,0.0,67.75,67.75,67.75,0.0,0.0
2018-03-11,67.42,67.42,67.42,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.09,67.09,67.09,0.0,0.0,67.15,67.15,67.15,0.0,0.0
2018-03-18,67.6,67.6,67.6,0.0,0.0,67.6,67.6,67.6,0.0,0.0,66.01,66.01,66.01,0.0,0.0,66.63,66.63,66.63,0.0,0.0
2018-03-25,66.66,66.66,66.66,0.0,0.0,66.66,66.66,66.66,0.0,0.0,66.07,66.07,66.07,0.0,0.0,66.1,66.1,66.1,0.0,0.0
2018-04-01,66.68,66.68,66.68,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.68,66.68,66.68,0.0,0.0,66.9,66.9,66.9,0.0,0.0
2018-04-08,67.42,67.42,67.42,0.0,0.0,68.12,68.12,68.12,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.83,67.83,67.83,0.0,0.0
2018-04-15,67.67,67.67,67.67,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.66,67.66,67.66,0.0,0.0
2018-04-22,67.76,67.76,67.76,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.25,67.25,67.25,0.0,0.0,67.49,67.49,67.49,0.0,0.0
