Date,ProShares Short Oil & Gas_Open_average,ProShares Short Oil & Gas_Open_max,ProShares Short Oil & Gas_Open_min,ProShares Short Oil & Gas_Open_volatility,ProShares Short Oil & Gas_Open_change,ProShares Short Oil & Gas_High_average,ProShares Short Oil & Gas_High_max,ProShares Short Oil & Gas_High_min,ProShares Short Oil & Gas_High_volatility,ProShares Short Oil & Gas_High_change,ProShares Short Oil & Gas_Low_average,ProShares Short Oil & Gas_Low_max,ProShares Short Oil & Gas_Low_min,ProShares Short Oil & Gas_Low_volatility,ProShares Short Oil & Gas_Low_change,ProShares Short Oil & Gas_Close_average,ProShares Short Oil & Gas_Close_max,ProShares Short Oil & Gas_Close_min,ProShares Short Oil & Gas_Close_volatility,ProShares Short Oil & Gas_Close_change
2018-01-14,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0
2018-01-21,21.77,21.77,21.77,0.0,0.0,21.77,21.77,21.77,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.73,21.73,21.73,0.0,0.0
2018-01-28,23.07,23.07,23.07,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.07,23.07,23.07,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2018-02-04,24.4,24.4,24.4,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2018-02-11,24.38,24.38,24.38,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2018-02-18,24.22,24.22,24.22,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2018-02-25,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-03-04,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2018-03-11,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-03-18,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-03-25,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-04-01,24.3,24.3,24.3,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-04-08,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2018-04-15,22.19,22.19,22.19,0.0,0.0,22.19,22.19,22.19,0.0,0.0,21.95,21.95,21.95,0.0,0.0,22.16,22.16,22.16,0.0,0.0
2018-04-22,22.06,22.06,22.06,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2018-04-29,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0
