Date,First Trust Tactical High Yield_Open_average,First Trust Tactical High Yield_Open_max,First Trust Tactical High Yield_Open_min,First Trust Tactical High Yield_Open_volatility,First Trust Tactical High Yield_Open_change,First Trust Tactical High Yield_High_average,First Trust Tactical High Yield_High_max,First Trust Tactical High Yield_High_min,First Trust Tactical High Yield_High_volatility,First Trust Tactical High Yield_High_change,First Trust Tactical High Yield_Low_average,First Trust Tactical High Yield_Low_max,First Trust Tactical High Yield_Low_min,First Trust Tactical High Yield_Low_volatility,First Trust Tactical High Yield_Low_change,First Trust Tactical High Yield_Close_average,First Trust Tactical High Yield_Close_max,First Trust Tactical High Yield_Close_min,First Trust Tactical High Yield_Close_volatility,First Trust Tactical High Yield_Close_change
2018-01-14,48.8,48.8,48.8,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-01-21,48.64,48.64,48.64,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-01-28,48.21,48.21,48.21,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-02-04,48.32,48.32,48.32,0.0,0.0,48.32,48.32,48.32,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2018-02-11,48.2,48.2,48.2,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-02-18,48.1,48.1,48.1,0.0,0.0,48.17,48.17,48.17,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2018-02-25,48.08,48.08,48.08,0.0,0.0,48.34,48.34,48.34,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-03-04,48.05,48.05,48.05,0.0,0.0,48.14,48.14,48.14,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2018-03-11,47.92,47.92,47.92,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.86,47.86,47.86,0.0,0.0
2018-03-18,47.54,47.54,47.54,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.6,47.6,47.6,0.0,0.0
2018-03-25,47.56,47.56,47.56,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2018-04-01,47.85,47.85,47.85,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2018-04-08,48.12,48.12,48.12,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.07,48.07,48.07,0.0,0.0
