Date,ALPS Medical Breakthroughs_Open_average,ALPS Medical Breakthroughs_Open_max,ALPS Medical Breakthroughs_Open_min,ALPS Medical Breakthroughs_Open_volatility,ALPS Medical Breakthroughs_Open_change,ALPS Medical Breakthroughs_High_average,ALPS Medical Breakthroughs_High_max,ALPS Medical Breakthroughs_High_min,ALPS Medical Breakthroughs_High_volatility,ALPS Medical Breakthroughs_High_change,ALPS Medical Breakthroughs_Low_average,ALPS Medical Breakthroughs_Low_max,ALPS Medical Breakthroughs_Low_min,ALPS Medical Breakthroughs_Low_volatility,ALPS Medical Breakthroughs_Low_change,ALPS Medical Breakthroughs_Close_average,ALPS Medical Breakthroughs_Close_max,ALPS Medical Breakthroughs_Close_min,ALPS Medical Breakthroughs_Close_volatility,ALPS Medical Breakthroughs_Close_change
2018-01-14,34.44,34.44,34.44,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2018-01-21,36.74,36.74,36.74,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-01-28,35.64,35.64,35.64,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2018-02-04,33.44,33.44,33.44,0.0,0.0,33.91,33.91,33.91,0.0,0.0,31.74,31.74,31.74,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2018-02-11,35.97,35.97,35.97,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-02-18,36.01,36.01,36.01,0.0,0.0,36.01,36.01,36.01,0.0,0.0,34.88,34.88,34.88,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-02-25,33.73,33.73,33.73,0.0,0.0,35.32,35.32,35.32,0.0,0.0,33.61,33.61,33.61,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2018-03-04,36.39,36.39,36.39,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2018-03-11,35.73,35.73,35.73,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-03-18,35.1,35.1,35.1,0.0,0.0,35.26,35.26,35.26,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2018-03-25,33.89,33.89,33.89,0.0,0.0,34.66,34.66,34.66,0.0,0.0,33.72,33.72,33.72,0.0,0.0,34.23,34.23,34.23,0.0,0.0
