Date,First Trust Multi-Asset Diversified Income_Open_average,First Trust Multi-Asset Diversified Income_Open_max,First Trust Multi-Asset Diversified Income_Open_min,First Trust Multi-Asset Diversified Income_Open_volatility,First Trust Multi-Asset Diversified Income_Open_change,First Trust Multi-Asset Diversified Income_High_average,First Trust Multi-Asset Diversified Income_High_max,First Trust Multi-Asset Diversified Income_High_min,First Trust Multi-Asset Diversified Income_High_volatility,First Trust Multi-Asset Diversified Income_High_change,First Trust Multi-Asset Diversified Income_Low_average,First Trust Multi-Asset Diversified Income_Low_max,First Trust Multi-Asset Diversified Income_Low_min,First Trust Multi-Asset Diversified Income_Low_volatility,First Trust Multi-Asset Diversified Income_Low_change,First Trust Multi-Asset Diversified Income_Close_average,First Trust Multi-Asset Diversified Income_Close_max,First Trust Multi-Asset Diversified Income_Close_min,First Trust Multi-Asset Diversified Income_Close_volatility,First Trust Multi-Asset Diversified Income_Close_change
2018-01-14,19.26,19.26,19.26,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2018-01-21,19.38,19.38,19.38,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2018-01-28,18.72,18.72,18.72,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2018-02-04,18.23,18.23,18.23,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.4,18.4,18.4,0.0,0.0
2018-02-11,18.66,18.66,18.66,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2018-02-18,18.49,18.49,18.49,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2018-02-25,18.11,18.11,18.11,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-03-04,18.32,18.32,18.32,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.42,18.42,18.42,0.0,0.0
2018-03-11,18.19,18.19,18.19,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.07,18.07,18.07,0.0,0.0
2018-03-18,17.65,17.65,17.65,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-03-25,17.82,17.82,17.82,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.77,17.77,17.77,0.0,0.0
2018-04-01,17.88,17.88,17.88,0.0,0.0,17.98,17.98,17.98,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2018-04-08,18.04,18.04,18.04,0.0,0.0,18.14,18.14,18.14,0.0,0.0,17.96,17.96,17.96,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2018-04-15,18.04,18.04,18.04,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2018-04-22,18.19,18.19,18.19,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.12,18.12,18.12,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2018-04-29,18.2,18.2,18.2,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2018-05-06,18.34,18.34,18.34,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2018-05-13,18.34,18.34,18.34,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2018-05-20,18.26,18.26,18.26,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.29,18.29,18.29,0.0,0.0
2018-05-27,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2018-06-03,18.49,18.49,18.49,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.53,18.53,18.53,0.0,0.0
2018-06-10,18.33,18.33,18.33,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.43,18.43,18.43,0.0,0.0
