Date,Health Care Select Sector SPDR_Open_average,Health Care Select Sector SPDR_Open_max,Health Care Select Sector SPDR_Open_min,Health Care Select Sector SPDR_Open_volatility,Health Care Select Sector SPDR_Open_change,Health Care Select Sector SPDR_High_average,Health Care Select Sector SPDR_High_max,Health Care Select Sector SPDR_High_min,Health Care Select Sector SPDR_High_volatility,Health Care Select Sector SPDR_High_change,Health Care Select Sector SPDR_Low_average,Health Care Select Sector SPDR_Low_max,Health Care Select Sector SPDR_Low_min,Health Care Select Sector SPDR_Low_volatility,Health Care Select Sector SPDR_Low_change,Health Care Select Sector SPDR_Close_average,Health Care Select Sector SPDR_Close_max,Health Care Select Sector SPDR_Close_min,Health Care Select Sector SPDR_Close_volatility,Health Care Select Sector SPDR_Close_change
2018-01-14,87.84,87.84,87.84,0.0,0.0,88.49,88.49,88.49,0.0,0.0,87.68,87.68,87.68,0.0,0.0,88.44,88.44,88.44,0.0,0.0
2018-01-21,90.71,90.71,90.71,0.0,0.0,91.2,91.2,91.2,0.0,0.0,90.69,90.69,90.69,0.0,0.0,90.7,90.7,90.7,0.0,0.0
2018-01-28,85.9,85.9,85.9,0.0,0.0,86.43,86.43,86.43,0.0,0.0,81.84,81.84,81.84,0.0,0.0,82.5,82.5,82.5,0.0,0.0
2018-02-04,82.1,82.1,82.1,0.0,0.0,82.97,82.97,82.97,0.0,0.0,81.36,81.36,81.36,0.0,0.0,82.33,82.33,82.33,0.0,0.0
2018-02-11,83.83,83.83,83.83,0.0,0.0,85.45,85.45,85.45,0.0,0.0,83.83,83.83,83.83,0.0,0.0,84.86,84.86,84.86,0.0,0.0
2018-02-18,84.93,84.93,84.93,0.0,0.0,85.95,85.95,85.95,0.0,0.0,84.93,84.93,84.93,0.0,0.0,85.85,85.85,85.85,0.0,0.0
2018-02-25,82.72,82.72,82.72,0.0,0.0,84.1,84.1,84.1,0.0,0.0,82.54,82.54,82.54,0.0,0.0,83.85,83.85,83.85,0.0,0.0
2018-03-04,85.98,85.98,85.98,0.0,0.0,86.11,86.11,86.11,0.0,0.0,85.48,85.48,85.48,0.0,0.0,85.58,85.58,85.58,0.0,0.0
2018-03-11,84.68,84.68,84.68,0.0,0.0,84.79,84.79,84.79,0.0,0.0,82.79,82.79,82.79,0.0,0.0,83.47,83.47,83.47,0.0,0.0
2018-03-18,80.05,80.05,80.05,0.0,0.0,80.9,80.9,80.9,0.0,0.0,79.13,79.13,79.13,0.0,0.0,80.79,80.79,80.79,0.0,0.0
2018-03-25,80.54,80.54,80.54,0.0,0.0,80.95,80.95,80.95,0.0,0.0,78.23,78.23,78.23,0.0,0.0,79.04,79.04,79.04,0.0,0.0
2018-04-01,79.79,79.79,79.79,0.0,0.0,81.26,81.26,81.26,0.0,0.0,79.56,79.56,79.56,0.0,0.0,80.15,80.15,80.15,0.0,0.0
2018-04-08,81.94,81.94,81.94,0.0,0.0,82.28,82.28,82.28,0.0,0.0,81.75,81.75,81.75,0.0,0.0,81.99,81.99,81.99,0.0,0.0
2018-04-15,81.78,81.78,81.78,0.0,0.0,82.14,82.14,82.14,0.0,0.0,81.56,81.56,81.56,0.0,0.0,81.88,81.88,81.88,0.0,0.0
2018-04-22,83.36,83.36,83.36,0.0,0.0,83.41,83.41,83.41,0.0,0.0,81.72,81.72,81.72,0.0,0.0,81.73,81.73,81.73,0.0,0.0
2018-04-29,80.73,80.73,80.73,0.0,0.0,81.05,81.05,81.05,0.0,0.0,80.15,80.15,80.15,0.0,0.0,80.36,80.36,80.36,0.0,0.0
2018-05-06,82.64,82.64,82.64,0.0,0.0,83.38,83.38,83.38,0.0,0.0,82.47,82.47,82.47,0.0,0.0,83.04,83.04,83.04,0.0,0.0
2018-05-13,83.05,83.05,83.05,0.0,0.0,83.21,83.21,83.21,0.0,0.0,82.62,82.62,82.62,0.0,0.0,82.74,82.74,82.74,0.0,0.0
2018-05-20,82.55,82.55,82.55,0.0,0.0,82.92,82.92,82.92,0.0,0.0,82.26,82.26,82.26,0.0,0.0,82.4,82.4,82.4,0.0,0.0
2018-05-27,82.92,82.92,82.92,0.0,0.0,83.25,83.25,83.25,0.0,0.0,82.65,82.65,82.65,0.0,0.0,83.13,83.13,83.13,0.0,0.0
2018-06-03,84.5,84.5,84.5,0.0,0.0,85.06,85.06,85.06,0.0,0.0,84.3,84.3,84.3,0.0,0.0,84.65,84.65,84.65,0.0,0.0
