Date,VanEck Vectors Oil Services_Open_average,VanEck Vectors Oil Services_Open_max,VanEck Vectors Oil Services_Open_min,VanEck Vectors Oil Services_Open_volatility,VanEck Vectors Oil Services_Open_change,VanEck Vectors Oil Services_High_average,VanEck Vectors Oil Services_High_max,VanEck Vectors Oil Services_High_min,VanEck Vectors Oil Services_High_volatility,VanEck Vectors Oil Services_High_change,VanEck Vectors Oil Services_Low_average,VanEck Vectors Oil Services_Low_max,VanEck Vectors Oil Services_Low_min,VanEck Vectors Oil Services_Low_volatility,VanEck Vectors Oil Services_Low_change,VanEck Vectors Oil Services_Close_average,VanEck Vectors Oil Services_Close_max,VanEck Vectors Oil Services_Close_min,VanEck Vectors Oil Services_Close_volatility,VanEck Vectors Oil Services_Close_change
2018-01-14,560.6,560.6,560.6,0.0,0.0,570.7,570.7,570.7,0.0,0.0,556.0,556.0,556.0,0.0,0.0,569.8,569.8,569.8,0.0,0.0
2018-01-21,575.4,575.4,575.4,0.0,0.0,578.0,578.0,578.0,0.0,0.0,570.2,570.2,570.2,0.0,0.0,574.4,574.4,574.4,0.0,0.0
2018-01-28,552.4,552.4,552.4,0.0,0.0,553.8,553.8,553.8,0.0,0.0,534.6,534.6,534.6,0.0,0.0,536.6,536.6,536.6,0.0,0.0
2018-02-04,489.8,489.8,489.8,0.0,0.0,490.0,490.0,490.0,0.0,0.0,459.0,459.0,459.0,0.0,0.0,476.8,476.8,476.8,0.0,0.0
2018-02-11,482.0,482.0,482.0,0.0,0.0,494.2,494.2,494.2,0.0,0.0,481.02,481.02,481.02,0.0,0.0,487.6,487.6,487.6,0.0,0.0
2018-02-18,489.6,489.6,489.6,0.0,0.0,498.8,498.8,498.8,0.0,0.0,487.2,487.2,487.2,0.0,0.0,498.4,498.4,498.4,0.0,0.0
2018-02-25,472.4,472.4,472.4,0.0,0.0,482.2,482.2,482.2,0.0,0.0,464.4,464.4,464.4,0.0,0.0,481.0,481.0,481.0,0.0,0.0
2018-03-04,493.8,493.8,493.8,0.0,0.0,505.0,505.0,505.0,0.0,0.0,491.0,491.0,491.0,0.0,0.0,500.8,500.8,500.8,0.0,0.0
2018-03-11,483.0,483.0,483.0,0.0,0.0,493.2,493.2,493.2,0.0,0.0,481.4,481.4,481.4,0.0,0.0,490.6,490.6,490.6,0.0,0.0
2018-03-18,491.6,491.6,491.6,0.0,0.0,497.0,497.0,497.0,0.0,0.0,482.0,482.0,482.0,0.0,0.0,482.8,482.8,482.8,0.0,0.0
2018-03-25,469.4,469.4,469.4,0.0,0.0,480.2,480.2,480.2,0.0,0.0,468.6,468.6,468.6,0.0,0.0,477.4,477.4,477.4,0.0,0.0
