Date,Guggenheim Invest Defensive Equity_etf_Open_average,Guggenheim Invest Defensive Equity_etf_Open_max,Guggenheim Invest Defensive Equity_etf_Open_min,Guggenheim Invest Defensive Equity_etf_Open_volatility,Guggenheim Invest Defensive Equity_etf_Open_change,Guggenheim Invest Defensive Equity_etf_High_average,Guggenheim Invest Defensive Equity_etf_High_max,Guggenheim Invest Defensive Equity_etf_High_min,Guggenheim Invest Defensive Equity_etf_High_volatility,Guggenheim Invest Defensive Equity_etf_High_change,Guggenheim Invest Defensive Equity_etf_Low_average,Guggenheim Invest Defensive Equity_etf_Low_max,Guggenheim Invest Defensive Equity_etf_Low_min,Guggenheim Invest Defensive Equity_etf_Low_volatility,Guggenheim Invest Defensive Equity_etf_Low_change,Guggenheim Invest Defensive Equity_etf_Close_average,Guggenheim Invest Defensive Equity_etf_Close_max,Guggenheim Invest Defensive Equity_etf_Close_min,Guggenheim Invest Defensive Equity_etf_Close_volatility,Guggenheim Invest Defensive Equity_etf_Close_change
2018-01-14,48.05,48.05,48.05,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2018-01-21,48.89,48.89,48.89,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.83,48.83,48.83,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-01-28,48.2,48.2,48.2,0.0,0.0,48.22,48.22,48.22,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2018-02-04,45.03,45.03,45.03,0.0,0.0,45.5,45.5,45.5,0.0,0.0,44.01,44.01,44.01,0.0,0.0,45.16,45.16,45.16,0.0,0.0
2018-02-11,46.94,46.94,46.94,0.0,0.0,47.45,47.45,47.45,0.0,0.0,46.93,46.93,46.93,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-02-18,46.68,46.68,46.68,0.0,0.0,47.18,47.18,47.18,0.0,0.0,46.68,46.68,46.68,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2018-02-25,45.84,45.84,45.84,0.0,0.0,46.48,46.48,46.48,0.0,0.0,45.79,45.79,45.79,0.0,0.0,46.47,46.47,46.47,0.0,0.0
2018-03-04,47.3,47.3,47.3,0.0,0.0,47.94,47.94,47.94,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2018-03-11,47.37,47.37,47.37,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2018-03-18,46.08,46.08,46.08,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.19,45.19,45.19,0.0,0.0
