Date,Pacer US Cash Cows 100_Open_average,Pacer US Cash Cows 100_Open_max,Pacer US Cash Cows 100_Open_min,Pacer US Cash Cows 100_Open_volatility,Pacer US Cash Cows 100_Open_change,Pacer US Cash Cows 100_High_average,Pacer US Cash Cows 100_High_max,Pacer US Cash Cows 100_High_min,Pacer US Cash Cows 100_High_volatility,Pacer US Cash Cows 100_High_change,Pacer US Cash Cows 100_Low_average,Pacer US Cash Cows 100_Low_max,Pacer US Cash Cows 100_Low_min,Pacer US Cash Cows 100_Low_volatility,Pacer US Cash Cows 100_Low_change,Pacer US Cash Cows 100_Close_average,Pacer US Cash Cows 100_Close_max,Pacer US Cash Cows 100_Close_min,Pacer US Cash Cows 100_Close_volatility,Pacer US Cash Cows 100_Close_change
2018-01-14,30.64,30.64,30.64,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-01-21,31.16,31.16,31.16,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-01-28,29.98,29.98,29.98,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-02-04,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,27.56,27.56,27.56,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-02-11,29.9,29.9,29.9,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.79,29.79,29.79,0.0,0.0
2018-02-18,29.89,29.89,29.89,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-02-25,28.97,28.97,28.97,0.0,0.0,29.51,29.51,29.51,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-03-04,30.26,30.26,30.26,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-03-11,30.28,30.28,30.28,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-03-18,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0
