Date,ProShares Ultra High Yield_Open_average,ProShares Ultra High Yield_Open_max,ProShares Ultra High Yield_Open_min,ProShares Ultra High Yield_Open_volatility,ProShares Ultra High Yield_Open_change,ProShares Ultra High Yield_High_average,ProShares Ultra High Yield_High_max,ProShares Ultra High Yield_High_min,ProShares Ultra High Yield_High_volatility,ProShares Ultra High Yield_High_change,ProShares Ultra High Yield_Low_average,ProShares Ultra High Yield_Low_max,ProShares Ultra High Yield_Low_min,ProShares Ultra High Yield_Low_volatility,ProShares Ultra High Yield_Low_change,ProShares Ultra High Yield_Close_average,ProShares Ultra High Yield_Close_max,ProShares Ultra High Yield_Close_min,ProShares Ultra High Yield_Close_volatility,ProShares Ultra High Yield_Close_change
2018-01-14,65.57,65.57,65.57,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-01-21,66.86,66.86,66.86,0.0,0.0,66.86,66.86,66.86,0.0,0.0,65.73,65.73,65.73,0.0,0.0,65.73,65.73,65.73,0.0,0.0
2018-01-28,64.7,64.7,64.7,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.7,64.7,64.7,0.0,0.0
2018-02-04,63.0,63.0,63.0,0.0,0.0,63.0,63.0,63.0,0.0,0.0,62.89,62.89,62.89,0.0,0.0,62.89,62.89,62.89,0.0,0.0
2018-02-11,64.94,64.94,64.94,0.0,0.0,64.94,64.94,64.94,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.29,64.29,64.29,0.0,0.0
2018-02-18,65.16,65.16,65.16,0.0,0.0,65.16,65.16,65.16,0.0,0.0,64.66,64.66,64.66,0.0,0.0,64.66,64.66,64.66,0.0,0.0
2018-02-25,63.32,63.32,63.32,0.0,0.0,63.32,63.32,63.32,0.0,0.0,63.32,63.32,63.32,0.0,0.0,63.32,63.32,63.32,0.0,0.0
2018-03-04,64.46,64.46,64.46,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2018-03-11,63.52,63.52,63.52,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.48,63.48,63.48,0.0,0.0,63.48,63.48,63.48,0.0,0.0
2018-03-18,62.93,62.93,62.93,0.0,0.0,62.99,62.99,62.99,0.0,0.0,62.93,62.93,62.93,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2018-03-25,64.47,64.47,64.47,0.0,0.0,65.1,65.1,65.1,0.0,0.0,64.47,64.47,64.47,0.0,0.0,65.1,65.1,65.1,0.0,0.0
2018-04-01,64.03,64.03,64.03,0.0,0.0,64.03,64.03,64.03,0.0,0.0,64.03,64.03,64.03,0.0,0.0,64.03,64.03,64.03,0.0,0.0
2018-04-08,64.03,64.03,64.03,0.0,0.0,64.05,64.05,64.05,0.0,0.0,64.03,64.03,64.03,0.0,0.0,64.05,64.05,64.05,0.0,0.0
2018-04-15,64.23,64.23,64.23,0.0,0.0,64.23,64.23,64.23,0.0,0.0,64.23,64.23,64.23,0.0,0.0,64.23,64.23,64.23,0.0,0.0
2018-04-22,64.63,64.63,64.63,0.0,0.0,64.63,64.63,64.63,0.0,0.0,64.63,64.63,64.63,0.0,0.0,64.63,64.63,64.63,0.0,0.0
2018-04-29,64.09,64.09,64.09,0.0,0.0,64.14,64.14,64.14,0.0,0.0,64.09,64.09,64.09,0.0,0.0,64.1,64.1,64.1,0.0,0.0
2018-05-06,64.58,64.58,64.58,0.0,0.0,64.58,64.58,64.58,0.0,0.0,64.58,64.58,64.58,0.0,0.0,64.58,64.58,64.58,0.0,0.0
2018-05-13,63.6,63.6,63.6,0.0,0.0,63.6,63.6,63.6,0.0,0.0,63.6,63.6,63.6,0.0,0.0,63.6,63.6,63.6,0.0,0.0
2018-05-20,63.97,63.97,63.97,0.0,0.0,63.97,63.97,63.97,0.0,0.0,63.97,63.97,63.97,0.0,0.0,63.97,63.97,63.97,0.0,0.0
2018-05-27,64.55,64.55,64.55,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.55,64.55,64.55,0.0,0.0
2018-06-03,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0
2018-06-10,65.43,65.43,65.43,0.0,0.0,65.43,65.43,65.43,0.0,0.0,65.35,65.35,65.35,0.0,0.0,65.35,65.35,65.35,0.0,0.0
2018-06-17,63.95,63.95,63.95,0.0,0.0,63.95,63.95,63.95,0.0,0.0,63.95,63.95,63.95,0.0,0.0,63.95,63.95,63.95,0.0,0.0
2018-06-24,63.93,63.93,63.93,0.0,0.0,63.93,63.93,63.93,0.0,0.0,63.93,63.93,63.93,0.0,0.0,63.93,63.93,63.93,0.0,0.0
2018-07-01,64.84,64.84,64.84,0.0,0.0,64.84,64.84,64.84,0.0,0.0,64.84,64.84,64.84,0.0,0.0,64.84,64.84,64.84,0.0,0.0
2018-07-08,65.38,65.38,65.38,0.0,0.0,65.38,65.38,65.38,0.0,0.0,64.99,64.99,64.99,0.0,0.0,64.99,64.99,64.99,0.0,0.0
2018-07-15,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0,65.23,65.23,65.23,0.0,0.0,65.23,65.23,65.23,0.0,0.0
2018-07-22,65.41,65.41,65.41,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.84,65.84,65.84,0.0,0.0
2018-07-29,66.68,66.68,66.68,0.0,0.0,66.68,66.68,66.68,0.0,0.0,66.68,66.68,66.68,0.0,0.0,66.68,66.68,66.68,0.0,0.0
2018-08-05,66.67,66.67,66.67,0.0,0.0,66.67,66.67,66.67,0.0,0.0,66.67,66.67,66.67,0.0,0.0,66.67,66.67,66.67,0.0,0.0
2018-08-12,68.43,68.43,68.43,0.0,0.0,68.43,68.43,68.43,0.0,0.0,68.43,68.43,68.43,0.0,0.0,68.43,68.43,68.43,0.0,0.0
2018-08-19,66.95,66.95,66.95,0.0,0.0,66.95,66.95,66.95,0.0,0.0,66.8,66.8,66.8,0.0,0.0,66.8,66.8,66.8,0.0,0.0
2018-08-26,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2018-09-02,66.31,66.31,66.31,0.0,0.0,66.31,66.31,66.31,0.0,0.0,66.31,66.31,66.31,0.0,0.0,66.31,66.31,66.31,0.0,0.0
2018-09-09,66.77,66.77,66.77,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.77,66.77,66.77,0.0,0.0
2018-09-16,64.65,64.65,64.65,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.65,64.65,64.65,0.0,0.0
2018-09-23,64.37,64.37,64.37,0.0,0.0,66.17,66.17,66.17,0.0,0.0,64.37,64.37,64.37,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2018-09-30,64.75,64.75,64.75,0.0,0.0,64.75,64.75,64.75,0.0,0.0,64.75,64.75,64.75,0.0,0.0,64.75,64.75,64.75,0.0,0.0
2018-10-07,64.92,64.92,64.92,0.0,0.0,64.95,64.95,64.95,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.71,64.71,64.71,0.0,0.0
2018-10-14,63.83,63.83,63.83,0.0,0.0,64.67,64.67,64.67,0.0,0.0,63.83,63.83,63.83,0.0,0.0,64.56,64.56,64.56,0.0,0.0
2018-10-21,65.82,65.82,65.82,0.0,0.0,65.82,65.82,65.82,0.0,0.0,64.98,64.98,64.98,0.0,0.0,64.98,64.98,64.98,0.0,0.0
2018-10-28,64.37,64.37,64.37,0.0,0.0,64.37,64.37,64.37,0.0,0.0,64.37,64.37,64.37,0.0,0.0,64.37,64.37,64.37,0.0,0.0
2018-11-04,64.82,64.82,64.82,0.0,0.0,64.82,64.82,64.82,0.0,0.0,64.82,64.82,64.82,0.0,0.0,64.82,64.82,64.82,0.0,0.0
2018-11-11,62.26,62.26,62.26,0.0,0.0,62.26,62.26,62.26,0.0,0.0,62.26,62.26,62.26,0.0,0.0,62.26,62.26,62.26,0.0,0.0
2018-11-18,63.17,63.17,63.17,0.0,0.0,63.17,63.17,63.17,0.0,0.0,63.17,63.17,63.17,0.0,0.0,63.17,63.17,63.17,0.0,0.0
2018-11-25,62.87,62.87,62.87,0.0,0.0,62.87,62.87,62.87,0.0,0.0,62.87,62.87,62.87,0.0,0.0,62.87,62.87,62.87,0.0,0.0
2018-12-02,63.28,63.28,63.28,0.0,0.0,63.28,63.28,63.28,0.0,0.0,63.28,63.28,63.28,0.0,0.0,63.28,63.28,63.28,0.0,0.0
2018-12-09,62.18,62.18,62.18,0.0,0.0,62.18,62.18,62.18,0.0,0.0,62.18,62.18,62.18,0.0,0.0,62.18,62.18,62.18,0.0,0.0
2018-12-16,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0
2018-12-23,60.17,60.17,60.17,0.0,0.0,60.17,60.17,60.17,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.69,59.69,59.69,0.0,0.0
2018-12-30,62.56,62.56,62.56,0.0,0.0,62.56,62.56,62.56,0.0,0.0,62.56,62.56,62.56,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2019-01-06,63.15,63.15,63.15,0.0,0.0,63.15,63.15,63.15,0.0,0.0,63.15,63.15,63.15,0.0,0.0,63.15,63.15,63.15,0.0,0.0
2019-01-13,64.01,64.01,64.01,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.01,64.01,64.01,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2019-01-20,63.34,63.34,63.34,0.0,0.0,64.86,64.86,64.86,0.0,0.0,63.34,63.34,63.34,0.0,0.0,64.86,64.86,64.86,0.0,0.0
2019-01-27,65.3,65.3,65.3,0.0,0.0,65.3,65.3,65.3,0.0,0.0,65.3,65.3,65.3,0.0,0.0,65.3,65.3,65.3,0.0,0.0
2019-02-03,65.61,65.61,65.61,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.61,65.61,65.61,0.0,0.0
2019-02-10,66.05,66.05,66.05,0.0,0.0,66.05,66.05,66.05,0.0,0.0,66.05,66.05,66.05,0.0,0.0,66.05,66.05,66.05,0.0,0.0
2019-02-17,67.14,67.14,67.14,0.0,0.0,67.14,67.14,67.14,0.0,0.0,66.95,66.95,66.95,0.0,0.0,66.95,66.95,66.95,0.0,0.0
2019-02-24,67.47,67.47,67.47,0.0,0.0,67.47,67.47,67.47,0.0,0.0,67.47,67.47,67.47,0.0,0.0,67.47,67.47,67.47,0.0,0.0
2019-03-03,66.35,66.35,66.35,0.0,0.0,66.57,66.57,66.57,0.0,0.0,66.35,66.35,66.35,0.0,0.0,66.57,66.57,66.57,0.0,0.0
2019-03-10,67.24,67.24,67.24,0.0,0.0,67.24,67.24,67.24,0.0,0.0,67.24,67.24,67.24,0.0,0.0,67.24,67.24,67.24,0.0,0.0
2019-03-17,68.3,68.3,68.3,0.0,0.0,68.3,68.3,68.3,0.0,0.0,67.29,67.29,67.29,0.0,0.0,67.29,67.29,67.29,0.0,0.0
2019-03-24,67.8,67.8,67.8,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.8,67.8,67.8,0.0,0.0
2019-03-31,68.7,68.7,68.7,0.0,0.0,68.7,68.7,68.7,0.0,0.0,68.29,68.29,68.29,0.0,0.0,68.36,68.36,68.36,0.0,0.0
2019-04-07,70.67,70.67,70.67,0.0,0.0,70.67,70.67,70.67,0.0,0.0,69.68,69.68,69.68,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2019-04-14,70.12,70.12,70.12,0.0,0.0,70.12,70.12,70.12,0.0,0.0,68.71,68.71,68.71,0.0,0.0,68.71,68.71,68.71,0.0,0.0
2019-04-21,69.77,69.77,69.77,0.0,0.0,69.77,69.77,69.77,0.0,0.0,69.77,69.77,69.77,0.0,0.0,69.77,69.77,69.77,0.0,0.0
2019-04-28,69.2,69.2,69.2,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.2,69.2,69.2,0.0,0.0
2019-05-05,68.99,68.99,68.99,0.0,0.0,68.99,68.99,68.99,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2019-05-12,68.93,68.93,68.93,0.0,0.0,68.93,68.93,68.93,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.58,68.58,68.58,0.0,0.0
2019-05-19,69.13,69.13,69.13,0.0,0.0,69.13,69.13,69.13,0.0,0.0,68.53,68.53,68.53,0.0,0.0,68.53,68.53,68.53,0.0,0.0
2019-05-26,66.7,66.7,66.7,0.0,0.0,66.82,66.82,66.82,0.0,0.0,66.7,66.7,66.7,0.0,0.0,66.82,66.82,66.82,0.0,0.0
2019-06-02,69.84,69.84,69.84,0.0,0.0,70.19,70.19,70.19,0.0,0.0,69.79,69.79,69.79,0.0,0.0,70.19,70.19,70.19,0.0,0.0
2019-06-09,69.73,69.73,69.73,0.0,0.0,69.73,69.73,69.73,0.0,0.0,69.72,69.72,69.72,0.0,0.0,69.72,69.72,69.72,0.0,0.0
2019-06-16,70.97,70.97,70.97,0.0,0.0,70.97,70.97,70.97,0.0,0.0,70.97,70.97,70.97,0.0,0.0,70.97,70.97,70.97,0.0,0.0
2019-06-23,71.11,71.11,71.11,0.0,0.0,71.11,71.11,71.11,0.0,0.0,71.11,71.11,71.11,0.0,0.0,71.11,71.11,71.11,0.0,0.0
2019-06-30,70.87,70.87,70.87,0.0,0.0,70.87,70.87,70.87,0.0,0.0,70.87,70.87,70.87,0.0,0.0,70.87,70.87,70.87,0.0,0.0
2019-07-07,70.93,70.93,70.93,0.0,0.0,70.93,70.93,70.93,0.0,0.0,70.93,70.93,70.93,0.0,0.0,70.93,70.93,70.93,0.0,0.0
2019-07-14,70.35,70.35,70.35,0.0,0.0,70.47,70.47,70.47,0.0,0.0,70.35,70.35,70.35,0.0,0.0,70.47,70.47,70.47,0.0,0.0
2019-07-21,70.92,70.92,70.92,0.0,0.0,70.92,70.92,70.92,0.0,0.0,70.92,70.92,70.92,0.0,0.0,70.92,70.92,70.92,0.0,0.0
2019-07-28,68.4,68.4,68.4,0.0,0.0,68.4,68.4,68.4,0.0,0.0,68.4,68.4,68.4,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2019-08-04,69.5,69.5,69.5,0.0,0.0,69.5,69.5,69.5,0.0,0.0,69.5,69.5,69.5,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2019-08-11,70.3,70.3,70.3,0.0,0.0,70.3,70.3,70.3,0.0,0.0,70.3,70.3,70.3,0.0,0.0,70.3,70.3,70.3,0.0,0.0
2019-08-18,70.94,70.94,70.94,0.0,0.0,70.94,70.94,70.94,0.0,0.0,70.94,70.94,70.94,0.0,0.0,70.94,70.94,70.94,0.0,0.0
2019-08-25,71.27,71.27,71.27,0.0,0.0,71.27,71.27,71.27,0.0,0.0,71.27,71.27,71.27,0.0,0.0,71.27,71.27,71.27,0.0,0.0
2019-09-01,72.31,72.31,72.31,0.0,0.0,72.31,72.31,72.31,0.0,0.0,72.31,72.31,72.31,0.0,0.0,72.31,72.31,72.31,0.0,0.0
2019-09-08,72.85,72.85,72.85,0.0,0.0,72.9,72.9,72.9,0.0,0.0,72.77,72.77,72.77,0.0,0.0,72.83,72.83,72.83,0.0,0.0
