Date,ProShares MSCI Europe Dividend Growers_etf_Open_average,ProShares MSCI Europe Dividend Growers_etf_Open_max,ProShares MSCI Europe Dividend Growers_etf_Open_min,ProShares MSCI Europe Dividend Growers_etf_Open_volatility,ProShares MSCI Europe Dividend Growers_etf_Open_change,ProShares MSCI Europe Dividend Growers_etf_High_average,ProShares MSCI Europe Dividend Growers_etf_High_max,ProShares MSCI Europe Dividend Growers_etf_High_min,ProShares MSCI Europe Dividend Growers_etf_High_volatility,ProShares MSCI Europe Dividend Growers_etf_High_change,ProShares MSCI Europe Dividend Growers_etf_Low_average,ProShares MSCI Europe Dividend Growers_etf_Low_max,ProShares MSCI Europe Dividend Growers_etf_Low_min,ProShares MSCI Europe Dividend Growers_etf_Low_volatility,ProShares MSCI Europe Dividend Growers_etf_Low_change,ProShares MSCI Europe Dividend Growers_etf_Close_average,ProShares MSCI Europe Dividend Growers_etf_Close_max,ProShares MSCI Europe Dividend Growers_etf_Close_min,ProShares MSCI Europe Dividend Growers_etf_Close_volatility,ProShares MSCI Europe Dividend Growers_etf_Close_change
2018-01-14,43.21,43.21,43.21,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2018-01-21,43.92,43.92,43.92,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.92,43.92,43.92,0.0,0.0
2018-01-28,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2018-02-04,40.4,40.4,40.4,0.0,0.0,40.4,40.4,40.4,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2018-02-11,41.69,41.69,41.69,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2018-02-18,41.41,41.41,41.41,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.46,41.46,41.46,0.0,0.0
2018-02-25,40.35,40.35,40.35,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2018-03-04,41.03,41.03,41.03,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-03-11,41.22,41.22,41.22,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.21,41.21,41.21,0.0,0.0
2018-03-18,40.27,40.27,40.27,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.05,40.05,40.05,0.0,0.0,40.05,40.05,40.05,0.0,0.0
2018-03-25,41.14,41.14,41.14,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.93,40.93,40.93,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-04-01,41.15,41.15,41.15,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-04-08,42.22,42.22,42.22,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.1,42.1,42.1,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2018-04-15,42.18,42.18,42.18,0.0,0.0,42.18,42.18,42.18,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.14,42.14,42.14,0.0,0.0
2018-04-22,41.78,41.78,41.78,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-04-29,41.72,41.72,41.72,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2018-05-06,42.34,42.34,42.34,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2018-05-13,42.51,42.51,42.51,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-05-20,42.23,42.23,42.23,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2018-05-27,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2018-06-03,42.55,42.55,42.55,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2018-06-10,42.5,42.5,42.5,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.86,42.86,42.86,0.0,0.0
2018-06-17,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-06-24,41.72,41.72,41.72,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2018-07-01,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-07-08,42.69,42.69,42.69,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.69,42.69,42.69,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2018-07-15,42.62,42.62,42.62,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.62,42.62,42.62,0.0,0.0
