Date,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Open_average,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Open_max,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Open_min,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Open_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Open_change,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_High_average,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_High_max,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_High_min,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_High_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_High_change,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Low_average,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Low_max,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Low_min,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Low_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Low_change,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Close_average,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Close_max,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Close_min,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Close_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REIT_Close_change
2018-01-14,15.89,15.89,15.89,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.8,15.8,15.8,0.0,0.0
2018-01-21,15.6,15.6,15.6,0.0,0.0,15.62,15.62,15.62,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2018-01-28,14.08,14.08,14.08,0.0,0.0,14.08,14.08,14.08,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.86,12.86,12.86,0.0,0.0
2018-02-04,13.62,13.62,13.62,0.0,0.0,13.92,13.92,13.92,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.89,13.89,13.89,0.0,0.0
2018-02-11,14.67,14.67,14.67,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.95,14.95,14.95,0.0,0.0
2018-02-18,14.5,14.5,14.5,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.33,14.33,14.33,0.0,0.0,14.43,14.43,14.43,0.0,0.0
2018-02-25,13.8,13.8,13.8,0.0,0.0,14.31,14.31,14.31,0.0,0.0,13.8,13.8,13.8,0.0,0.0,14.07,14.07,14.07,0.0,0.0
2018-03-04,14.55,14.55,14.55,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2018-03-11,14.96,14.96,14.96,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.83,14.83,14.83,0.0,0.0
2018-03-18,14.67,14.67,14.67,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.75,14.75,14.75,0.0,0.0
2018-03-25,15.2,15.2,15.2,0.0,0.0,15.21,15.21,15.21,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.98,14.98,14.98,0.0,0.0
