Date,MTW_Open_average,MTW_Open_max,MTW_Open_min,MTW_Open_volatility,MTW_Open_change,MTW_High_average,MTW_High_max,MTW_High_min,MTW_High_volatility,MTW_High_change,MTW_Low_average,MTW_Low_max,MTW_Low_min,MTW_Low_volatility,MTW_Low_change,MTW_Close_average,MTW_Close_max,MTW_Close_min,MTW_Close_volatility,MTW_Close_change,MTW_Volume_average,MTW_Volume_max,MTW_Volume_min,MTW_Volume_volatility,MTW_Volume_change
2018-01-14,39.142,39.83,38.17,1.6599999999999966,0.35999999999999943,39.986,40.65,39.43,1.2199999999999989,0.35999999999999943,38.6,39.47,38.1,1.3699999999999974,0.6499999999999986,39.397999999999996,40.64,38.26,2.3800000000000026,1.8100000000000023,780751,1056806,624444,432362,147181
2018-01-21,41.776,43.31,40.39,2.9200000000000017,2.9200000000000017,42.514,44.03,40.84,3.1899999999999977,3.1899999999999977,41.064,42.3,39.91,2.3900000000000006,2.3900000000000006,42.034,43.59,40.82,2.770000000000003,1.5799999999999983,560466,731962,334721,397241,91995
2018-01-28,39.833999999999996,41.72,36.47,5.25,-5.25,40.316,41.99,37.1,4.890000000000001,-4.890000000000001,38.226,40.17,34.53,5.640000000000001,-5.640000000000001,38.792,41.07,35.35,5.719999999999999,-5.719999999999999,682038,1081386,458263,623123,441677
2018-02-04,35.242,36.7,34.25,2.450000000000003,0.5499999999999972,37.05,38.88,35.53,3.3500000000000014,-0.7100000000000009,33.926,35.33,32.27,3.059999999999995,-0.14000000000000057,35.136,36.67,34.2,2.469999999999999,-1.8599999999999994,1384413,2726565,807738,1918827,687788
2018-02-11,34.4525,35.31,33.54,1.7700000000000031,1.4699999999999989,35.2225,35.85,34.55,1.3000000000000043,1.3000000000000043,33.754999999999995,34.54,33.32,1.2199999999999989,0.0,34.425000000000004,35.27,33.59,1.6799999999999997,-0.35999999999999943,758801,809844,697756,112088,-23442
2018-02-18,32.672,33.0,32.18,0.8200000000000003,-0.3999999999999986,33.164,33.69,32.6,1.0899999999999963,-1.0899999999999963,31.988,32.73,31.16,1.5699999999999967,-1.5699999999999967,32.162,32.98,31.25,1.7299999999999969,-1.7299999999999969,871898,1213666,663247,550419,171781
2018-02-25,29.162,31.28,26.73,4.550000000000001,-4.550000000000001,29.65,31.73,27.36,4.370000000000001,-3.9299999999999997,28.154,30.72,26.0,4.719999999999999,-4.07,28.556,30.97,26.93,4.039999999999999,-3.759999999999998,1101894,1710104,560789,1149315,-94430
2018-03-04,28.412,29.87,27.4,2.4700000000000024,2.4700000000000024,29.184,30.07,28.5,1.5700000000000003,1.5199999999999996,28.008,29.34,27.23,2.1099999999999994,2.1099999999999994,28.945999999999998,29.97,28.16,1.8099999999999987,1.4000000000000021,868791,1151771,590097,561674,-281234
2018-03-11,29.778,30.16,29.39,0.7699999999999996,-0.5999999999999979,30.162,30.6,29.45,1.1500000000000021,-1.1500000000000021,29.102,29.69,28.37,1.3200000000000003,-1.3200000000000003,29.448,29.98,28.74,1.240000000000002,-1.240000000000002,658244,922707,392044,530663,-530663
2018-03-18,28.654,29.22,28.13,1.0899999999999999,-0.3200000000000003,29.258,29.56,28.93,0.629999999999999,0.07000000000000028,28.23,28.83,27.9,0.9299999999999997,-0.8399999999999999,28.722,29.48,28.07,1.4100000000000001,0.21000000000000085,667742,762641,613729,148912,-148350
