Date,ALPS Emerging Sector Dividend Dogs_Open_average,ALPS Emerging Sector Dividend Dogs_Open_max,ALPS Emerging Sector Dividend Dogs_Open_min,ALPS Emerging Sector Dividend Dogs_Open_volatility,ALPS Emerging Sector Dividend Dogs_Open_change,ALPS Emerging Sector Dividend Dogs_High_average,ALPS Emerging Sector Dividend Dogs_High_max,ALPS Emerging Sector Dividend Dogs_High_min,ALPS Emerging Sector Dividend Dogs_High_volatility,ALPS Emerging Sector Dividend Dogs_High_change,ALPS Emerging Sector Dividend Dogs_Low_average,ALPS Emerging Sector Dividend Dogs_Low_max,ALPS Emerging Sector Dividend Dogs_Low_min,ALPS Emerging Sector Dividend Dogs_Low_volatility,ALPS Emerging Sector Dividend Dogs_Low_change,ALPS Emerging Sector Dividend Dogs_Close_average,ALPS Emerging Sector Dividend Dogs_Close_max,ALPS Emerging Sector Dividend Dogs_Close_min,ALPS Emerging Sector Dividend Dogs_Close_volatility,ALPS Emerging Sector Dividend Dogs_Close_change
2018-01-14,26.48,26.48,26.48,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2018-01-21,26.81,26.81,26.81,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-01-28,25.95,25.95,25.95,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2018-02-04,25.28,25.28,25.28,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2018-02-11,26.18,26.18,26.18,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-02-18,26.52,26.52,26.52,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-02-25,25.7,25.7,25.7,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-03-04,25.92,25.92,25.92,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-03-11,25.05,25.05,25.05,0.0,0.0,25.07,25.07,25.07,0.0,0.0,24.86,24.86,24.86,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-03-18,24.73,24.73,24.73,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-03-25,24.81,24.81,24.81,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2018-04-01,24.43,24.43,24.43,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-04-08,24.27,24.27,24.27,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2018-04-15,24.27,24.27,24.27,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2018-04-22,24.04,24.04,24.04,0.0,0.0,24.12,24.12,24.12,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2018-04-29,23.22,23.22,23.22,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2018-05-06,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2018-05-13,23.08,23.08,23.08,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.99,22.99,22.99,0.0,0.0,23.03,23.03,23.03,0.0,0.0
2018-05-20,23.12,23.12,23.12,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2018-05-27,23.2,23.2,23.2,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.21,23.21,23.21,0.0,0.0
2018-06-03,23.03,23.03,23.03,0.0,0.0,23.04,23.04,23.04,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2018-06-10,22.23,22.23,22.23,0.0,0.0,22.23,22.23,22.23,0.0,0.0,22.01,22.01,22.01,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2018-06-17,21.36,21.36,21.36,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.43,21.43,21.43,0.0,0.0
