Date,CCIHYStock_Open_average,CCIHYStock_Open_max,CCIHYStock_Open_min,CCIHYStock_Open_volatility,CCIHYStock_Open_change,CCIHYStock_High_average,CCIHYStock_High_max,CCIHYStock_High_min,CCIHYStock_High_volatility,CCIHYStock_High_change,CCIHYStock_Low_average,CCIHYStock_Low_max,CCIHYStock_Low_min,CCIHYStock_Low_volatility,CCIHYStock_Low_change,CCIHYStock_Close_average,CCIHYStock_Close_max,CCIHYStock_Close_min,CCIHYStock_Close_volatility,CCIHYStock_Close_change,CCIHYStock_Volume_average,CCIHYStock_Volume_max,CCIHYStock_Volume_min,CCIHYStock_Volume_volatility,CCIHYStock_Volume_change
2018-01-14,2.325,2.41,2.25,0.16000000000000014,-0.06000000000000005,2.505,2.59,2.43,0.1599999999999997,0.08999999999999986,2.2800000000000002,2.35,2.2,0.1499999999999999,0.050000000000000266,2.3825000000000003,2.47,2.29,0.18000000000000016,0.15000000000000036,812147,1383593,368345,1015248,-1015248
2018-01-21,2.296,2.44,2.15,0.29000000000000004,-0.29000000000000004,2.35,2.5,2.22,0.2799999999999998,-0.2799999999999998,2.168,2.3,2.0,0.2999999999999998,-0.25,2.212,2.32,2.02,0.2999999999999998,-0.29000000000000004,537119,690375,471593,218782,210180
2018-01-28,1.782,2.03,1.55,0.47999999999999976,-0.47999999999999976,1.832,2.05,1.6,0.44999999999999973,-0.44999999999999973,1.67,1.92,1.38,0.54,-0.54,1.698,1.92,1.42,0.5,-0.5,488089,729510,269768,459742,249171
2018-02-04,1.346,1.42,1.29,0.1299999999999999,-0.1299999999999999,1.466,1.57,1.3,0.27,-0.27,1.262,1.32,1.18,0.14000000000000012,-0.13000000000000012,1.312,1.37,1.24,0.13000000000000012,-0.13000000000000012,561002,878628,367573,511055,-333488
2018-02-11,1.3960000000000001,1.59,1.25,0.3400000000000001,0.26,1.534,1.73,1.33,0.3999999999999999,0.19999999999999996,1.322,1.46,1.25,0.20999999999999996,0.1200000000000001,1.436,1.63,1.28,0.34999999999999987,0.1299999999999999,1049478,2721253,322665,2398588,53231
2018-02-18,1.39,1.41,1.37,0.039999999999999813,0.009999999999999787,1.4575,1.48,1.43,0.050000000000000044,-0.030000000000000027,1.37,1.39,1.36,0.029999999999999805,0.010000000000000009,1.4049999999999998,1.42,1.38,0.040000000000000036,-0.010000000000000009,153832,187018,125063,61955,-61955
2018-02-25,1.376,1.45,1.25,0.19999999999999996,-0.19999999999999996,1.426,1.54,1.32,0.21999999999999997,-0.1499999999999999,1.312,1.4,1.22,0.17999999999999994,-0.17999999999999994,1.354,1.47,1.28,0.18999999999999995,-0.16999999999999993,315093,485220,126691,358529,-139069
2018-03-04,1.288,1.31,1.26,0.050000000000000044,0.010000000000000009,1.314,1.33,1.3,0.030000000000000027,-0.010000000000000009,1.26,1.27,1.25,0.020000000000000018,0.0,1.294,1.32,1.27,0.050000000000000044,0.020000000000000018,103381,155238,63326,91912,5039
2018-03-11,1.33,1.36,1.3,0.06000000000000005,0.040000000000000036,1.372,1.43,1.32,0.10999999999999988,0.04999999999999982,1.276,1.3,1.26,0.040000000000000036,-0.040000000000000036,1.334,1.4,1.29,0.10999999999999988,0.010000000000000009,369076,1139505,54669,1084836,219108
2018-03-18,1.362,1.45,1.29,0.15999999999999992,0.1399999999999999,1.46,1.62,1.32,0.30000000000000004,0.15999999999999992,1.288,1.37,1.26,0.1100000000000001,-0.010000000000000009,1.346,1.45,1.27,0.17999999999999994,-0.020000000000000018,1002465,2261787,76935,2184852,443266
2018-03-25,1.23,1.34,1.1,0.24,-0.24,1.2325,1.34,1.1,0.24,-0.24,1.1375,1.22,1.03,0.18999999999999995,-0.18999999999999995,1.165,1.26,1.07,0.18999999999999995,-0.18999999999999995,358332,556322,219270,337052,-70752
