Date,PIMCO Broad US TIPS Exchange-Traded_Open_average,PIMCO Broad US TIPS Exchange-Traded_Open_max,PIMCO Broad US TIPS Exchange-Traded_Open_min,PIMCO Broad US TIPS Exchange-Traded_Open_volatility,PIMCO Broad US TIPS Exchange-Traded_Open_change,PIMCO Broad US TIPS Exchange-Traded_High_average,PIMCO Broad US TIPS Exchange-Traded_High_max,PIMCO Broad US TIPS Exchange-Traded_High_min,PIMCO Broad US TIPS Exchange-Traded_High_volatility,PIMCO Broad US TIPS Exchange-Traded_High_change,PIMCO Broad US TIPS Exchange-Traded_Low_average,PIMCO Broad US TIPS Exchange-Traded_Low_max,PIMCO Broad US TIPS Exchange-Traded_Low_min,PIMCO Broad US TIPS Exchange-Traded_Low_volatility,PIMCO Broad US TIPS Exchange-Traded_Low_change,PIMCO Broad US TIPS Exchange-Traded_Close_average,PIMCO Broad US TIPS Exchange-Traded_Close_max,PIMCO Broad US TIPS Exchange-Traded_Close_min,PIMCO Broad US TIPS Exchange-Traded_Close_volatility,PIMCO Broad US TIPS Exchange-Traded_Close_change
2018-01-14,57.71,57.71,57.71,0.0,0.0,57.87,57.87,57.87,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.8,57.8,57.8,0.0,0.0
2018-01-21,57.94,57.94,57.94,0.0,0.0,57.94,57.94,57.94,0.0,0.0,57.84,57.84,57.84,0.0,0.0,57.9,57.9,57.9,0.0,0.0
2018-01-28,57.33,57.33,57.33,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.31,57.31,57.31,0.0,0.0,57.31,57.31,57.31,0.0,0.0
2018-02-04,56.99,56.99,56.99,0.0,0.0,57.0,57.0,57.0,0.0,0.0,56.93,56.93,56.93,0.0,0.0,56.93,56.93,56.93,0.0,0.0
2018-02-11,57.02,57.02,57.02,0.0,0.0,57.02,57.02,57.02,0.0,0.0,57.02,57.02,57.02,0.0,0.0,57.02,57.02,57.02,0.0,0.0
2018-02-18,56.97,56.97,56.97,0.0,0.0,57.12,57.12,57.12,0.0,0.0,56.97,56.97,56.97,0.0,0.0,57.02,57.02,57.02,0.0,0.0
2018-02-25,57.14,57.14,57.14,0.0,0.0,57.28,57.28,57.28,0.0,0.0,57.09,57.09,57.09,0.0,0.0,57.26,57.26,57.26,0.0,0.0
2018-03-04,57.16,57.16,57.16,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.05,57.05,57.05,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2018-03-11,57.22,57.22,57.22,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2018-03-18,57.3,57.3,57.3,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.34,57.34,57.34,0.0,0.0
2018-03-25,57.65,57.65,57.65,0.0,0.0,57.69,57.69,57.69,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.66,57.66,57.66,0.0,0.0
2018-04-01,57.38,57.38,57.38,0.0,0.0,57.48,57.48,57.48,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.47,57.47,57.47,0.0,0.0
2018-04-08,57.63,57.63,57.63,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.63,57.63,57.63,0.0,0.0
2018-04-15,57.34,57.34,57.34,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.34,57.34,57.34,0.0,0.0
2018-04-22,57.24,57.24,57.24,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.24,57.24,57.24,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2018-04-29,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0
2018-05-06,57.2,57.2,57.2,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2018-05-13,56.63,56.63,56.63,0.0,0.0,56.82,56.82,56.82,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.77,56.77,56.77,0.0,0.0
2018-05-20,57.03,57.03,57.03,0.0,0.0,57.1,57.1,57.1,0.0,0.0,57.03,57.03,57.03,0.0,0.0,57.1,57.1,57.1,0.0,0.0
2018-05-27,57.17,57.17,57.17,0.0,0.0,57.17,57.17,57.17,0.0,0.0,57.09,57.09,57.09,0.0,0.0,57.09,57.09,57.09,0.0,0.0
2018-06-03,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.11,57.11,57.11,0.0,0.0,57.11,57.11,57.11,0.0,0.0
2018-06-10,57.26,57.26,57.26,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.25,57.25,57.25,0.0,0.0
