Date,iShares Russell 1000 Pure US Revenue_etf_Open_average,iShares Russell 1000 Pure US Revenue_etf_Open_max,iShares Russell 1000 Pure US Revenue_etf_Open_min,iShares Russell 1000 Pure US Revenue_etf_Open_volatility,iShares Russell 1000 Pure US Revenue_etf_Open_change,iShares Russell 1000 Pure US Revenue_etf_High_average,iShares Russell 1000 Pure US Revenue_etf_High_max,iShares Russell 1000 Pure US Revenue_etf_High_min,iShares Russell 1000 Pure US Revenue_etf_High_volatility,iShares Russell 1000 Pure US Revenue_etf_High_change,iShares Russell 1000 Pure US Revenue_etf_Low_average,iShares Russell 1000 Pure US Revenue_etf_Low_max,iShares Russell 1000 Pure US Revenue_etf_Low_min,iShares Russell 1000 Pure US Revenue_etf_Low_volatility,iShares Russell 1000 Pure US Revenue_etf_Low_change,iShares Russell 1000 Pure US Revenue_etf_Close_average,iShares Russell 1000 Pure US Revenue_etf_Close_max,iShares Russell 1000 Pure US Revenue_etf_Close_min,iShares Russell 1000 Pure US Revenue_etf_Close_volatility,iShares Russell 1000 Pure US Revenue_etf_Close_change
2018-01-14,28.08,28.08,28.08,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2018-01-21,28.37,28.37,28.37,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2018-01-28,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2018-02-04,25.83,25.83,25.83,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-02-11,27.26,27.26,27.26,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-02-18,26.84,26.84,26.84,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-02-25,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-03-04,26.88,26.88,26.88,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.88,26.88,26.88,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-03-11,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-03-18,26.08,26.08,26.08,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2018-03-25,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-04-01,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-04-08,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-04-15,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-04-22,26.45,26.45,26.45,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.58,26.58,26.58,0.0,0.0
2018-04-29,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2018-05-06,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-05-13,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-05-20,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2018-05-27,26.76,26.76,26.76,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.58,26.58,26.58,0.0,0.0
2018-06-03,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-06-10,27.22,27.22,27.22,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.21,27.21,27.21,0.0,0.0
